,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red
0,Barry, ,Barry,AL,31.0069,-88.0103,1954,Coal,2839,11673453000.0,91895874.8,6846726.2,Gas,-4.790255804054783,2863344.873302883
1,Greene County, ,Greene County,AL,32.6017,-87.7811,1965,Gas_SC,1288,1153839000.0,11641749.925,696954.552,Gas,-154.70478198107548,303225.2307259198
2,E C Gaston, ,E C Gaston,AL,33.244211,-86.458056,1960,Gas_SC,2033,4159470000.0,44005747.7,3832358.702,Gas,-49.36427036648057,2413005.3087103833
3,Colbert, ,Colbert,AL,34.7439,-87.8486,1955,Coal,1822,3731000.0,53425.0,3304.1,Wind,-82473.19064664328,3304.1
4,Dolet Hills,2022,Dolet Hills,LA,32.030556,-93.569167,1986,Coal,720,793116000.0,7632777.63,830981.316,Wind,-55.91718744190005,830981.316
5,J K Smith, ,J K Smith,KY,37.8833,-84.1017,1999,Gas_SC,1663,333852000.0,3852807.891,229094.517,Wind,-692.0260670189489,229094.517
6,,,Lowman Energy Center,AL,31.488019,-87.910747,1969,Coal,538,394730000.0,4043808.636,414894.287,Wind,-109.9850619205565,414894.287
7,Platte, ,Platte,NE,40.854765,-98.348222,1982,Coal,109,409993000.0,4842587.007,507889.874,Gas,-78.31107890275135,367986.2430626474
8,Whelan Energy Center, ,Whelan Energy Center,NE,40.580872,-98.312437,1981,Coal,324,1163179000.0,11683032.735,1225316.813,Gas,-62.27125954395248,828400.3643531236
9,,,Escalante,NM,35.4159,-108.082,1984,Coal,257,637931000.0,6378643.973,668993.557,Gas,-20.655831832817988,451309.686330266
10,Holcomb, ,Holcomb,KS,37.9308,-100.9725,1983,Coal,348,1590954000.0,15249576.28,1599375.823,Gas,-24.415886035550542,1056487.916976471
11,Cholla, ,Cholla,AZ,34.9394,-110.3033,1962,Coal,1127,3529723000.0,40707844.837,4176620.563,Gas,-66.32273510587835,2972158.3797356887
12,Ocotillo, ,Ocotillo,AZ,33.4225,-111.9122,1960,Gas_SC,1137,778366000.0,6998883.022,415931.12,Gas,-287.56235896018256,150326.02528330148
13,West Phoenix, ,West Phoenix,AZ,33.4417,-112.1583,1948,Gas_CC,1324,2726067000.0,20384204.648,1211403.972,Gas,-86.05298957379607,281176.69622091134
14,Saguaro, ,Saguaro,AZ,32.5517,-111.3,1954,Gas_SC,435,87338000.0,1160786.078,68982.795,Solar,-765.420523738746,68982.795
15,Yucca, ,Yucca,AZ,32.7214,-114.7106,1959,Gas_SC,421,425651000.0,4890130.695,290612.052,Gas,-216.94232029318044,145365.37605159343
16,Demoss Petrie, ,Demoss Petrie,AZ,32.252273,-110.992148,2001,Gas_SC,85,1949000.0,21859.563,1299.097,Wind,-6705.359168651104,1299.097
17,H Wilson Sundt Generating Station, ,H Wilson Sundt Generating Station,AZ,32.16,-110.9047,1958,Gas_SC,736,1016524000.0,10599106.418,629887.725,Gas,-190.81559629152088,283014.9770873249
18,,,Oklaunion,TX,34.0825,-99.1753,1986,Coal,720,1209201000.0,12914358.63,1354458.972,Gas,-32.83192333380456,941838.2432727348
19,Cross, ,Cross,SC,33.371506,-80.113235,1984,Coal,2389,6832826000.0,71046981.476,7289416.468,Gas,-33.188328548746156,4957822.594535949
20,Seminole (FL), ,Seminole (FL),FL,29.733056,-81.632778,1984,Coal,2278,7093448000.0,68315035.552,7009117.937,Gas,-8.985790184870556,4588590.925403944
21,Agua Fria, ,Agua Fria,AZ,33.5561,-112.2153,1957,Gas_SC,611,346970000.0,3546740.864,210779.456,Gas,-299.0889518774284,92381.42767675247
