### Emissions were gathered from EPA: https://www.epa.gov/system/files/documents/2023-03/ghg_emission_factors_hub.pdf,,
"### Technically waste and biomass emit, but we may want to set those values to 0 (or some lower number) because over a lifecycle biomass is burned then regrown (net zero)",,
primary_fuel,co2_kg_per_mmbtu,co2_lb_per_mmbtu
Coal,95.52,210.5853024
Gas,53.06,116.9771372
Gas_SC,53.06,116.9771372
Gas_CC,53.06,116.9771372
Oil,53.06,116.9771372
Solar,0,0
Wind,0,0
Waste,53.06,116.9771372
Hydro,0,0
Geothermal,0,0
CSP,0,0
Biomass,52.07,114.7945634
Nuclear,0,0
