# Units: NA, NA, lat, lon, year, NA, NA, MW, kWh, mmbtu, metric tonne CO2
name,state,lat,lon,commissioning_year,prime_mover,primary_fuel,capacity,generation,fuel_consumption,emissions
Barry,AL,31.0069,-88.0103,1954,ST,Coal,2839,12296272000.0,96915175.7,7341728.3
Gadsden,AL,34.0128,-85.9708,1949,ST,Gas,138,0.0,3266577.975,193727.525
Gorgas,AL,33.644344,-87.196486,1951,ST,Coal,1415,4868338000.0,49520149.5,5080765.437
Copper,TX,31.7569,-106.375,1980,GT,Gas,80,19465000.0,335226.663,0.0
Greene County,AL,32.6017,-87.7811,1965,GT,Gas,1288,965655000.0,9881313.3,594431.158
E C Gaston,AL,33.244211,-86.458056,1960,ST,Gas,2033,5349340000.0,58507463.275,5322164.876
Colbert,AL,34.7439,-87.8486,1955,ST,Coal,1822,16387000.0,234498.2,14591.0
Dolet Hills,LA,32.030556,-93.569167,1986,ST,Coal,720,2168905000.0,20374318.086,2218354.205
J K Smith,KY,37.8833,-84.1017,1999,GT,Gas,1663,176105000.0,2072401.463,123330.289
Charles R Lowman,AL,31.488019,-87.910747,1969,ST,Coal,538,1513992000.0,16880651.249,1731947.299
Platte,NE,40.854765,-98.348222,1982,ST,Coal,109,363983000.0,4079930.104,427906.548
Whelan Energy Center,NE,40.580872,-98.312437,1981,ST,Coal,324,1295300000.0,13536728.596,1419731.787
Escalante,NM,35.4159,-108.082,1984,ST,Coal,257,1187080000.0,11836703.513,1241435.953
Holcomb,KS,37.9308,-100.9725,1983,ST,Coal,348,1120854000.0,11351678.742,1190563.088
Cholla,AZ,34.9394,-110.3033,1962,ST,Coal,1127,4022229000.0,45937179.893,4713155.073
Ocotillo,AZ,33.4225,-111.9122,1960,ST,Gas,332,213682000.0,2507600.611,149023.951
West Phoenix,AZ,33.4417,-112.1583,1948,CT,Gas,1324,2314082000.0,18229138.614,1083332.98
Saguaro,AZ,32.5517,-111.3,1954,ST,Gas,435,35504000.0,392075.567,23300.774
Yucca,AZ,32.7214,-114.7106,1959,GT,Gas,421,324944000.0,3514423.44,208853.308
Demoss Petrie,AZ,32.252273,-110.992148,2001,GT,Gas,85,11413000.0,134077.095,7968.367999999999
H Wilson Sundt Generating Station,AZ,32.16,-110.9047,1958,ST,Gas,556,795789000.0,8576327.103,519258.154
Oklaunion,TX,34.0825,-99.1753,1986,ST,Coal,720,1818423000.0,18114622.505,1899857.319
