,state,Coal_variable_om_per_mwh,Coal_fixed_om_per_kw_year,Coal_capital_cost_per_kw,Gas_variable_om_per_mwh,Gas_fixed_om_per_kw_year,Gas_capital_cost_per_kw,Gas_CC_variable_om_per_mwh,Gas_CC_fixed_om_per_kw_year,Gas_CC_capital_cost_per_kw,Gas_SC_variable_om_per_mwh,Gas_SC_fixed_om_per_kw_year,Gas_SC_capital_cost_per_kw,Wind_variable_om_per_mwh,Wind_fixed_om_per_kw_year,Wind_capital_cost_per_kw,Solar_variable_om_per_mwh,Solar_fixed_om_per_kw_year,Solar_capital_cost_per_kw,Wind_storage_om_per_kw_year,Wind_storage_cap_per_kw,Solar_storage_om_per_kw_year,Solar_storage_cap_per_kw,Gas_storage_om_per_kw_year,Gas_storage_cap_per_kw,Gas_CC_storage_om_per_kw_year,Gas_CC_storage_cap_per_kw,Gas_SC_storage_om_per_kw_year,Gas_SC_storage_cap_per_kw,Coal_storage_cap_per_kw,Coal_storage_om_per_kw_year
0,FL,12.22190460162,100.109855823,4170.282849798,1.6806699816200001,25.6588650136,942.334078182,1.6806699816200001,25.6588650136,942.334078182,4.315681441459999,57.920459535799985,2142.5920435,0.0,38.417803498830004,1238.038531611,0.0,18.75108975306,1052.4344208195,28.851635131515,1154.078033346,29.777851347615,1191.127087386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MI,13.318625347626664,109.09311656177775,4544.499133361777,1.761273541963,26.889443233639998,987.5276513192999,1.761273541963,26.889443233639998,987.5276513192999,4.377600064082889,58.751465050175554,2173.3325765944446,0.0,40.59894625736887,1308.3272657937773,0.0,19.840880062422222,1113.6006169261111,30.48966566183999,1219.5999715093328,31.508503499550002,1260.3539309533335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CO,12.622921605699998,103.39459382166665,4307.115396696667,1.787569738954333,27.29090846854666,1002.2716539030998,1.787569738954333,27.29090846854666,1002.2716539030998,4.5279738618813345,60.76962129937335,2247.9881569666672,0.0,39.06872044771334,1259.0147507126667,0.0,19.59030389614666,1099.5366352643332,29.340471467790003,1173.631700756,31.110573569669995,1244.436559588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,VT,14.135849393820001,115.787014453,4823.347278178,1.9121908464350001,29.1935045818,1072.1454052785,1.9121908464350001,29.1935045818,1072.1454052785,4.62993009011,62.1379687253,2298.6060272500004,0.0,41.480539037259994,1336.7371625419999,0.0,20.76325957104,1165.370618388,31.151738734829998,1246.0831842119999,32.97329729316,1318.946323824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MD,13.787238020955,112.93153198824999,4704.3962572945,1.8538818878890004,28.303299060920004,1039.4521821579,1.8538818878890004,28.303299060920004,1039.4521821579,4.5346080000194995,60.858657604484996,2251.2817855125,0.0,41.39831794898,1334.087534866,0.0,20.214044137629998,1134.5450378922499,31.089990987089998,1243.6132472759998,32.1011103563325,1284.058464603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TX,12.4508944249725,101.985515873375,4248.41734390775,1.69481847891425,25.87487076499,950.266992615675,1.69481847891425,25.87487076499,950.266992615675,4.3125389549735,57.878284443905,2141.0319036625,0.0,38.47946931504001,1240.0257523680002,0.0,19.27600361862,1081.8960375765,28.897945942320003,1155.9304860480001,30.611445942105004,1224.471236022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WY,12.611529077175,103.30127740124999,4303.2281084325,1.709824460893,26.10396777404,958.6806897423,1.709824460893,26.10396777404,958.6806897423,4.347106306325,58.34221045475,2158.193441875,0.0,39.75389618338,1281.094981346,0.0,19.655108077079998,1103.1738719009998,29.85503603229,1194.214508556,31.213486482569998,1248.553121148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,IN,13.490576578164001,110.5015724006,4603.1712708956,1.8020898129451992,27.512587098255988,1010.4129075037196,1.8020898129451992,27.512587098255988,1010.4129075037196,4.452274854073201,59.75367019683601,2210.4061217700005,0.0,41.291430534216,1330.6430188872,0.0,19.896179630152,1116.7043921894,31.009718915028,1240.4023292592,31.596322518558004,1263.8667301512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,MN,12.864443210429998,105.37290193449998,4389.525907896999,1.6727811225226001,25.538425443128002,937.9108774068601,1.6727811225226001,25.538425443128002,937.9108774068601,4.227691819837999,56.73955696274,2098.90812805,0.0,39.50723291854,1273.146098318,0.0,19.810638111319996,1111.9032398289999,29.669792789069998,1186.804697748,31.46047747353,1258.432868892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NM,12.5944402843875,103.161302770625,4297.39717603625,1.757843603225,26.837078202999997,985.6045205475,1.757843603225,26.837078202999997,985.6045205475,4.4487133693885,59.705871759355,2208.6379632875,0.0,39.11668274921,1260.560366857,0.0,19.45583522071,1091.98936924325,29.376490987305,1175.072497302,30.897029275402502,1235.894694351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,NH,14.135849393820001,115.787014453,4823.347278178,1.9121908464350001,29.1935045818,1072.1454052785,1.9121908464350001,29.1935045818,1072.1454052785,4.62993009011,62.1379687253,2298.6060272500004,0.0,41.480539037259994,1336.7371625419999,0.0,20.76325957104,1165.370618388,31.151738734829998,1246.0831842119999,32.97329729316,1318.946323824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,DC,13.87154273204,113.62207349933333,4733.162190449333,1.811579310120333,27.657463683026663,1015.7335693056998,1.811579310120333,27.657463683026663,1015.7335693056998,4.448364204223332,59.701185638033316,2208.464614416666,0.0,41.042026566433336,1322.6058149366668,0.0,20.238345705479997,1135.909001631,30.822417413550003,1232.9101872200001,32.13970269867,1285.602175188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,SC,12.29025977277,100.6697543455,4193.606579383,1.66352028793,25.3970398604,932.718424323,1.66352028793,25.3970398604,932.718424323,4.265401657675999,57.24565806547999,2117.6298060999998,0.0,38.68502203574,1246.649821558,0.0,18.75108975306,1052.4344208195,29.05231531167,1162.1053283879999,29.777851347615,1191.127087386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
