,state,Coal_variable_om_per_mwh,Coal_fixed_om_per_kw_year,Coal_capital_cost_per_kw,Gas_variable_om_per_mwh,Gas_fixed_om_per_kw_year,Gas_capital_cost_per_kw,Gas_CC_variable_om_per_mwh,Gas_CC_fixed_om_per_kw_year,Gas_CC_capital_cost_per_kw,Gas_SC_variable_om_per_mwh,Gas_SC_fixed_om_per_kw_year,Gas_SC_capital_cost_per_kw,Wind_variable_om_per_mwh,Wind_fixed_om_per_kw_year,Wind_capital_cost_per_kw,Solar_variable_om_per_mwh,Solar_fixed_om_per_kw_year,Solar_capital_cost_per_kw,Wind_storage_om_per_kw_year,Wind_storage_cap_per_kw,Solar_storage_om_per_kw_year,Solar_storage_cap_per_kw,Gas_storage_om_per_kw_year,Gas_storage_cap_per_kw,Gas_CC_storage_om_per_kw_year,Gas_CC_storage_cap_per_kw,Gas_SC_storage_om_per_kw_year,Gas_SC_storage_cap_per_kw,Coal_storage_cap_per_kw,Coal_storage_om_per_kw_year
0,FL,12.22190460162,100.109855823,4170.282849798,1.6806699816200001,25.6588650136,942.334078182,1.6806699816200001,25.6588650136,942.334078182,4.315681441459999,57.920459535799985,2142.5920435,0.0,38.417803498830004,742.8231189666001,0.0,18.75108975306,631.4606524917,28.851635131515,692.4468200076,29.777851347615,714.6762524316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,MI,13.318625347626664,109.09311656177775,4544.499133361777,1.761273541963,26.889443233639998,987.5276513192999,1.761273541963,26.889443233639998,987.5276513192999,4.377600064082889,58.751465050175554,2173.3325765944446,0.0,40.59894625736887,784.9963594762663,0.0,19.840880062422222,668.1603701556667,30.48966566183999,731.7599829055996,31.508503499550002,756.2123585720001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,CO,12.622921605699998,103.39459382166665,4307.115396696667,1.787569738954333,27.29090846854666,1002.2716539030998,1.787569738954333,27.29090846854666,1002.2716539030998,4.5279738618813345,60.76962129937335,2247.9881569666672,0.0,39.06872044771334,718.8974226569326,0.0,19.59030389614666,627.8354187359341,29.340471467790003,670.1437011316759,31.110573569669995,710.5732755247479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,VT,14.135849393820001,115.787014453,4823.347278178,1.9121908464350001,29.1935045818,1072.1454052785,1.9121908464350001,29.1935045818,1072.1454052785,4.62993009011,62.1379687253,2298.6060272500004,0.0,41.480539037259994,802.0422975251998,0.0,20.76325957104,699.2223710327999,31.151738734829998,747.6499105271998,32.97329729316,791.3677942944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,MD,13.787238020955,112.93153198824999,4704.3962572945,1.8538818878890004,28.303299060920004,1039.4521821579,1.8538818878890004,28.303299060920004,1039.4521821579,4.5346080000194995,60.858657604484996,2251.2817855125,0.0,41.39831794898,800.4525209195999,0.0,20.214044137629998,612.6543204618149,31.089990987089998,746.1679483655998,32.1011103563325,693.3915708856199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TX,12.4508944249725,101.985515873375,4248.41734390775,1.69481847891425,25.87487076499,950.266992615675,1.69481847891425,25.87487076499,950.266992615675,4.3125389549735,57.878284443905,2141.0319036625,0.0,38.47946931504001,744.0154514208001,0.0,19.27600361862,649.1376225459001,28.897945942320003,693.5582916288001,30.611445942105004,734.6827416132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,WY,12.611529077175,103.30127740124999,4303.2281084325,1.709824460893,26.10396777404,958.6806897423,1.709824460893,26.10396777404,958.6806897423,4.347106306325,58.34221045475,2158.193441875,0.0,39.75389618338,768.6569888076,0.0,19.655108077079998,661.9043231405999,29.85503603229,716.5287051335999,31.213486482569998,749.1318726888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,IN,13.490576578164001,110.5015724006,4603.1712708956,1.8020898129451992,27.512587098255988,1010.4129075037196,1.8020898129451992,27.512587098255988,1010.4129075037196,4.452274854073201,59.75367019683601,2210.4061217700005,0.0,41.291430534216,705.2408000102159,0.0,19.896179630152,591.853327860382,31.009718915028,657.413234507376,31.596322518558004,669.849366980136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,MN,12.864443210429998,105.37290193449998,4389.525907896999,1.6727811225226001,25.538425443128002,937.9108774068601,1.6727811225226001,25.538425443128002,937.9108774068601,4.227691819837999,56.73955696274,2098.90812805,0.0,39.50723291854,763.8876589908,0.0,19.810638111319996,590.6985961591562,29.669792789069998,712.0828186488,31.46047747353,668.542461598875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,NM,12.5944402843875,103.161302770625,4297.39717603625,1.757843603225,26.837078202999997,985.6045205475,1.757843603225,26.837078202999997,985.6045205475,4.4487133693885,59.705871759355,2208.6379632875,0.0,39.11668274921,756.3362201141999,0.0,19.45583522071,600.5941530837874,29.376490987305,705.0434983812,30.897029275402502,679.74208189305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
