,state,Coal_variable_om_per_mwh,Coal_fixed_om_per_kw_year,Coal_capital_cost_per_kw,Gas_variable_om_per_mwh,Gas_fixed_om_per_kw_year,Gas_capital_cost_per_kw,Gas_CC_variable_om_per_mwh,Gas_CC_fixed_om_per_kw_year,Gas_CC_capital_cost_per_kw,Gas_SC_variable_om_per_mwh,Gas_SC_fixed_om_per_kw_year,Gas_SC_capital_cost_per_kw,Wind_variable_om_per_mwh,Wind_fixed_om_per_kw_year,Wind_capital_cost_per_kw,Solar_variable_om_per_mwh,Solar_fixed_om_per_kw_year,Solar_capital_cost_per_kw
0,VT,15.0873008,123.5803712,5147.995653,4.98628,66.920516,2475.521885,2.040896,31.158452,1144.309038,4.94156,66.320332,2453.319895,0,44.2724984,1141.367885,0,22.16078666,313.8090251
1,OH,14.39665067,117.9232427,4912.336277,4.691128,62.9593016,2328.988751,1.9200896,29.3140952,1076.574154,4.745537333,63.68952547,2356.001172,0,43.80447067,1129.301888,0,21.30658655,265.8656997
2,AR,13.7740928,112.8238592,4699.910925,4.432497333,59.48823747,2200.587242,1.814231467,27.69795427,1017.220605,4.576346667,61.41882933,2272.003643,0,42.0786184,1084.808525,0,20.88813224,242.3792933
3,NJ,14.4124578,118.0527192,4917.72989,4.73473,63.544481,2350.635691,1.937936,29.586557,1086.580443,4.787276,64.2496972,2376.72303,0,42.4186698,1093.575226,0,21.29966995,265.4774946
4,LA,13.41514928,109.8837459,4577.434432,4.4067088,59.14213136,2187.784095,1.80367616,27.53680592,1011.302355,4.5855888,61.54286736,2276.592055,0,41.244944,1063.315968,0,20.45930304,218.3105793
5,NM,13.442143,110.104852,4586.645063,4.5838,61.51886,2275.703975,1.87616,28.64342,1051.943286,4.748146,63.7245362,2357.296288,0,41.7495364,1076.324621,0,20.76536259,235.4886534
6,CT,16.0940936,131.8270304,5491.527278,5.281432,70.8817304,2622.055019,2.1617024,33.0028088,1212.043923,5.124912,68.7810864,2544.348054,0,44.2724984,1141.367885,0,22.43053406,328.9490226
7,ID,13.7376148,112.5250672,4687.464127,4.523428,60.7086116,2245.731288,1.8514496,28.2661652,1038.088424,4.67324,62.719228,2320.107955,0,42.4296392,1093.858022,0,21.15442134,257.3251882
8,WY,13.460382,110.254248,4592.868462,4.458584,59.8383448,2213.538403,1.8249088,27.8609656,1023.207275,4.6397,62.26909,2303.456463,0,42.4296392,1093.858022,0,20.97804804,247.4259591
9,AL,12.9423944,106.0114016,4416.12393,4.318461333,57.95776827,2143.972168,1.767556267,26.98536187,991.0503091,4.546533333,61.01870667,2257.202317,0,40.6306576,1047.479347,0,19.98205763,191.5244299
10,RI,15.0873008,123.5803712,5147.995653,4.98628,66.920516,2475.521885,2.040896,31.158452,1144.309038,4.94156,66.320332,2453.319895,0,44.2724984,1141.367885,0,22.16078666,313.8090251
11,ND,13.85191253,113.4612821,4726.464094,4.396721333,59.00809027,2182.82565,1.799588267,27.47439587,1009.010316,4.536844,60.8886668,2252.391886,0,42.4077004,1093.292429,0,21.25471205,262.9541617
