ORISPL_CODE,GLOAD (MW),CO2_MASS (tons),HEAT_INPUT (mmBtu)
3,11673453.0,6846726.2,91895874.8
7,0.0,52695.925,886757.55
9,36071.0,0.0,672535.49
10,1153839.0,696954.552,11641749.924999999
26,4159470.0,3832358.702,44005747.7
47,3731.0,3304.1,53425.0
51,793116.0,830981.316,7632777.63
54,333852.0,229094.517,3852807.891
56,394730.0,414894.287,4043808.636
59,409993.0,507889.874,4842587.007
60,1163179.0,1225316.813,11683032.735
87,637931.0,668993.557,6378643.973
108,1590954.0,1599375.823,15249576.28
113,3529723.0,4176620.563,40707844.837
116,778366.0,415931.12,6998883.022
117,2726067.0,1211403.972,20384204.648000002
118,87338.0,68982.795,1160786.078
120,425651.0,290612.052,4890130.695
124,1949.0,1299.097,21859.563
126,1016524.0,629887.725,10599106.418
127,1209201.0,1354458.972,12914358.629999999
130,6832826.0,7289416.468,71046981.476
136,7093448.0,7009117.937,68315035.552
141,346970.0,210779.456,3546740.864
147,1697711.0,681150.912,11461683.53
160,2354923.0,1683841.084,24173837.737
165,2615424.0,1099988.09,17736827.73
170,499406.0,311859.148,5247637.251
201,434792.0,223336.403,3751482.31
202,0.0,3185.11,44763.78
203,0.0,23141.59,388052.698
260,5487443.0,2185318.142,38567163.41
298,6332172.0,6702640.393999999,63944990.991
302,453763.0,265896.726,4474181.036
315,1785596.0,901172.842,15163913.192
330,440008.0,210389.77300000002,3540209.776
335,1322790.0,562099.998,9458494.236
341,37891.0,34052.905,573005.9990000001
350,757790.0,429541.632,7227871.532
356,320561.0,264167.6,4445420.7
358,2973461.0,1270879.594,21384891.706
377,116596.0,99537.634,1676318.122
384,1091451.0,670585.4299999999,11312187.924999999
389,660521.0,318738.575,5363384.605
399,78120.0,44720.597,765275.759
400,3802589.0,1636605.754,28051436.0
404,1773127.0,794092.53,13597388.757
408,893450.0,373259.724,6397637.384
422,59400.0,32911.778,553801.559
469,4021840.0,1862330.822,31338454.353
470,4648786.0,4883250.386,47269634.09
478,0.0,0.0,0.0
492,449750.0,504985.45399999997,5251736.758
525,2286358.0,2474266.67,24115724.321
533,2879239.0,1776162.766,29887417.483
540,136.0,0.0,2575.0
542,477.0,0.0,4361.0
544,15755.0,9750.459,133434.107
546,23676.0,20825.821,294037.173
557,519.0,0.0,7578.7
561,168.0,0.0,2257.5
562,325261.0,211537.738,3439297.0379999997
563,1656.0,1812.2,22375.8
564,5925807.0,4917903.897,54802139.683
565,465.0,0.0,8015.0
568,3720970.0,1423097.917,23911423.42
581,215.0,0.0,2978.0
589,259684.0,384304.775,3675110.2
591,69.0,135.60000000000002,1675.0
592,27.0,0.0,459.0
593,192386.0,123945.743,2080091.785
594,158029.0,163735.061,1606279.7349999999
597,49.0,0.0,1243.0
