Plant Code,Plant Name,Prime Mover,Energy Source 1,Operating Year,Nameplate Capacity (MW),State,Latitude,Longitude,primary_fuel
61902.0,Holtsville Solar Project,PV,SUN,2017,1,NY,40.797667,-73.033977,Solar
61901.0,Redstone Arsenal,PV,SUN,2017,11,AL,34.610987,-86.611551,Solar
61898.0,Solean Solar Project,PV,SUN,2016,4,NY,42.086926,-78.448212,Solar
61895.0,Toyota HQ Plan,PV,SUN,2017,7,TX,33.084219,-96.84113,Solar
61894.0,National Raisin,PV,SUN,2015,2,CA,36.624512,-119.673088,Solar
61893.0,BNB Camden Solar,PV,SUN,2017,3,NJ,39.93903,-75.10802,Solar
61890.0,NRG Chalk Point CT,GT,NG,1990,94,MD,38.5444,-76.6861,Gas
61884.0,Kearney NPPD Solar Project,PV,SUN,2017,5,NE,40.721688,-99.041196,Solar
61869.0,Scenic Hill Solar III,PV,SUN,2017,5,AR,35.46715,-93.51517,Solar
61864.0,"Dix Solar, L.L.C",PV,SUN,2017,13,NJ,39.977433,-74.621862,Solar
61857.0,Toray Plastic America's CHP Plant,IC,NG,2003,19,RI,41.593802,-71.427609,Gas
61853.0,Jordanelle Dam Hydroelectric Project,HY,WAT,2008,12,UT,40.596605,-111.423589,
61851.0,Campbell Industrial Park BESS,BA,MWH,2016,1,HI,21.3064,-158.105,
61850.0,Amana Society Service Company,IC,DFO,2001,12,IA,41.79323,-91.89179,Oil
61848.0,"PYCO Industries, Inc. Wind Farm",WT,WND,2008,10,TX,33.553184,-101.792412,
61839.0,FECC Solar Benton,PV,SUN,2017,1,AR,34.638429,-92.578347,Solar
61838.0,Cleveland Thermal,ST,NG,2017,0,OH,41.5094,-81.682272,Gas
61835.0,Grand Ronde Solar,PV,SUN,2017,2,OR,45.054,-123.61,Solar
61834.0,Soboba Community Solar Project,PV,SUN,2016,1,CA,33.767061,-116.905874,Solar
61833.0,Freedom Solar,PV,SUN,2017,5,SC,34.287,-79.148,Solar
61832.0,Interstate Solar,PV,SUN,2017,2,OR,45.129,-122.899,Solar
61831.0,Colton Solar,PV,SUN,2017,2,OR,45.17,-122.473,Solar
61830.0,Sheep Solar,PV,SUN,2017,2,OR,44.826,-122.949,Solar
61829.0,Silverton Solar,PV,SUN,2017,2,OR,45.014,-122.807,Solar
61828.0,Valley Creek Solar,PV,SUN,2017,2,OR,45.033,-123.094,Solar
61827.0,Dayton Cutoff Solar,PV,SUN,2017,2,OR,45.17,-123.135,Solar
61826.0,O'Fallon Renewable Energy Center,PV,SUN,2014,4,MO,38.826648,-90.678124,Solar
61822.0,"Princeton Energy Center, LLC",IC,DFO,2012,10,NJ,40.339838,-74.62393,Oil
61821.0,IKEA Jacksonville Rooftop PV System,PV,SUN,2017,1,FL,30.23,-81.51,Solar
61820.0,IKEA New Haven Rooftop PV &  Fuel Cell,FC,NG,2012,0,CT,41.295715,-72.91995,Gas
61819.0,IKEA Conshohocken Rooftop PV System,PV,SUN,2013,1,PA,40.095176,-75.306372,Solar
61815.0,Kearsarge Granby,PV,SUN,2017,0,MA,42.222962,-72.508328,Solar
61814.0,Kearsarge Concord II,PV,SUN,2017,4,MA,42.449306,-71.420429,Solar
61813.0,"Ranchland Solar, LLC",PV,SUN,2017,60,NC,36.472591,-76.154089,Solar
61804.0,City of Rochester Solar,PV,SUN,2017,1,NY,43.176918,-77.678512,Solar
61798.0,Prairie Sky Solar Farm,PV,SUN,2017,1,KS,37.751716,-97.074497,Solar
61788.0,Hilltop Power,WT,WND,2008,2,MN,43.912882,-96.193221,
61780.0,Seminole Energy,IC,LFG,2007,4,FL,28.790186,-81.089015,Biomass
61779.0,Hernando,IC,LFG,2010,1,FL,28.66898,-82.485733,Biomass
61777.0,Brevard,IC,LFG,2008,6,FL,28.39265,-80.828666,Biomass
61774.0,"Syncarpha Still River, LLC",PV,SUN,2016,2,MA,42.42075,-71.641533,Solar
61771.0,Syncarpha Hancock III CSG,PV,SUN,2017,1,MA,42.428054,-73.332624,Solar
61770.0,Syncarpha Hancock II CSG,PV,SUN,2017,2,MA,42.426866,-73.346996,Solar
61769.0,Syncarpha Hancock I CSG,PV,SUN,2017,2,MA,42.433031,-73.336092,Solar
61765.0,HGS Solar I,PV,SUN,2016,2,NY,43.543716,-73.325257,Solar
61764.0,Gore Mountain Solar II,PV,SUN,2016,2,NY,43.543378,-73.32307,Solar
61761.0,Douglas County Forest Products,ST,WDS,2006,6,OR,43.2898,-123.361638,Biomass
61758.0,Gaston County Renewable Energy Center,IC,LFG,2011,3,NC,35.3857,-81.172,Biomass
61755.0,"East Acres Solar NG, LLC",PV,SUN,2017,5,MA,42.487476,-73.242331,Solar
61748.0,"Southern Current One, LLC",PV,SUN,2017,10,SC,32.947262,-81.215942,Solar
61744.0,L'Oreal Solar - Florence,PV,SUN,2017,1,KY,38.987696,-84.608172,Solar
61742.0,System Control Center,FW,MWH,2012,4,TX,30.219946,-97.708808,
61739.0,Lockheed Martin RMS Syracuse,BA,MWH,2017,1,NY,43.109574,-76.189224,
61738.0,GWCC PV Solar Farm,PV,SUN,2015,1,MD,39.017238,-76.908997,Solar
61737.0,Navy Yard Peaker Station,IC,NG,2017,6,PA,39.890223,-75.185539,Gas
61734.0,Seneca Nation Cattaraugus Wind Turbine,WT,WND,2017,1,NY,42.5809,-79.1027,
61733.0,Haywood Solar,PV,SUN,2017,3,TN,35.5775,-89.286944,Solar
61732.0,Randolph,PV,SUN,2017,3,MA,42.177563,-71.077386,Solar
61731.0,"Solten Plainville 6000, LLC",PV,SUN,2017,4,MA,42.041166,-71.293279,Solar
61728.0,Barrett Farm Solar - Phase I,PV,SUN,2017,1,CT,41.946333,-71.883799,Solar
61727.0,Onyx - Brockton Thatcher Landfill Solar,PV,SUN,2017,3,MA,42.066369,-70.983446,Solar
61726.0,Onyx - Pembroke Landfill Solar,PV,SUN,2017,2,MA,42.049906,-70.802417,Solar
61725.0,Madison County,PV,SUN,2017,1,NY,43.028289,-75.700978,Solar
61724.0,Onyx - Saratoga Springs Landfill Solar,PV,SUN,2017,2,NY,43.096874,-73.744855,Solar
61717.0,"IRE Solar I, LLC",PV,SUN,2017,1,NY,44.3,-75.5,Solar
61703.0,Sikorsky Aircraft CHP,GT,NG,2010,9,CT,41.250009,-73.09865,Gas
61702.0,Greater New Bedford LFG Utiliz. Facility,IC,LFG,2005,3,MA,41.72496,-70.977965,Biomass
61699.0,Otarre Solar Park,PV,SUN,2017,1,SC,33.9324,-81.0514,Solar
61694.0,Lockheed Martin Solar,PV,SUN,2017,1,FL,28.539415,-81.216368,Solar
61692.0,IVC Solar,PV,SUN,2016,3,CA,32.83186,-115.506629,Solar
61688.0,North Gooding Main Hydro,HY,WAT,2016,1,ID,43.0451,-114.5588,
61685.0,Slana Generating Station ,IC,DFO,2016,0,AK,62.592756,-143.588869,Oil
61684.0,Klawock Power Generation Station,IC,DFO,2017,2,AK,55.553197,-133.08535,Oil
61683.0,USG 2,PV,SUN,2015,1,CA,32.790403,-115.863214,Solar
61682.0,USG 1,PV,SUN,2014,1,CA,32.79278,-115.857336,Solar
61681.0,Middle Daisy,PV,SUN,2017,5,NM,32.978636,-103.371284,Solar
61680.0,Tatanka Wi,PV,SUN,2017,7,MN,45.210766,-93.884273,Solar
61679.0,Cox Battery Energy Storage,BA,MWH,2017,1,MO,37.135022,-93.324363,
61676.0,NCSU Cates Cogeneration Plant,GT,NG,2012,10,NC,35.784027,-78.674704,Gas
61668.0,"Creston Ridge II, LLC",WT,WND,2017,6,NE,41.677,-97.391,
61658.0,"Cougar Solar, LLC",PV,SUN,2017,1,NC,35.462405,-79.180654,Solar
61652.0,"Fiber Recovery, Inc.",IC,LFG,2008,0,WI,44.8875,-89.3859,Biomass
61647.0,New Orleans Solar Power Plant,PV,SUN,2016,1,LA,30.05,-90.03,Solar
61644.0,August Wind Farm,WT,WND,2017,1,IA,40.764914,-94.475628,
61642.0,Waterloo Hydroelectric Project,HY,WAT,1915,0,NY,42.901914,-76.86233,
61641.0,Seneca Falls Hydroelectric Project,HY,WAT,1917,3,NY,42.915299,-76.78672,
61640.0,Texon Hydroelectric Project,HY,WAT,1982,1,MA,42.221412,-72.85964,
61637.0,Denison Solar Array,PV,SUN,2017,1,OH,40.073337,-82.517957,Solar
61636.0,NRG DG Webster LLC,PV,SUN,2017,1,MA,42.41389,-71.513556,Solar
61635.0,NRG DG Tufts Knoll LLC,PV,SUN,2017,2,MA,42.24325,-71.672328,Solar
61634.0,NRG DG Dighton LLC,PV,SUN,2017,3,MA,41.801491,-71.144835,Solar
61633.0,NRG DG Tufts Science LLC,PV,SUN,2017,1,MA,42.237583,-71.686069,Solar
61632.0,"Golden Renewable Energy, LLC",GT,NG,2017,4,IA,43.115868,-93.22703,Gas
61630.0,William G Mennen Sports Solar,PV,SUN,2011,1,NJ,40.814851,-74.47586,Solar
61629.0,West Brookfield Solar - Gilbertsville Rd,PV,SUN,2017,4,MA,42.272516,-72.210291,Solar
61622.0,WED Kingstown Solar I - East Array,PV,SUN,2017,3,RI,41.492253,-71.619114,Solar
61621.0,CDCR (CA) - Wasco State Prison,PV,SUN,2013,1,CA,35.60053,-119.40366,Solar
61620.0,CDCR (CA) - Corcoran State Prison,PV,SUN,2013,5,CA,36.06502,-119.55756,Solar
61619.0,CDCR (CA) - Solano State Prison,PV,SUN,2013,1,CA,38.32272,-121.97062,Solar
