Plant Code,Plant Name,Technology,Operating Year,Nameplate Capacity (MW),State,Latitude,Longitude,primary_fuel
64837.0,Marina South,Solar Photovoltaic,2020,1,CA,33.717993,-118.275617,Solar
64836.0,Catalina Express,Solar Photovoltaic,2020,1,CA,33.749947,-118.278469,Solar
64816.0,WAL1232,Natural Gas Internal Combustion Engine,2020,0,TX,31.080808,-97.457755,Gas_SC
64815.0,WAL1103,Natural Gas Internal Combustion Engine,2019,0,TX,29.998163,-95.486202,Gas_SC
64813.0,WAL1040,Natural Gas Internal Combustion Engine,2019,0,TX,29.877618,-95.651482,Gas_SC
64812.0,WAL972,Natural Gas Internal Combustion Engine,2020,0,TX,32.811848,-97.424739,Gas_SC
64810.0,WAL947,Natural Gas Internal Combustion Engine,2020,0,TX,33.673162,-96.612131,Gas_SC
64809.0,WAL940,Natural Gas Internal Combustion Engine,2020,0,TX,32.755036,-97.433843,Gas_SC
64806.0,WAL872,Natural Gas Internal Combustion Engine,2020,0,TX,29.573168,-95.283899,Gas_SC
64805.0,WAL849,Natural Gas Internal Combustion Engine,2020,0,TX,30.064779,-95.429453,Gas_SC
64802.0,WAL768,Natural Gas Internal Combustion Engine,2019,0,TX,29.789117,-95.722232,Gas_SC
64801.0,WAL752,Natural Gas Internal Combustion Engine,2020,0,TX,29.64662,-95.161425,Gas_SC
64800.0,WAL744,Natural Gas Internal Combustion Engine,2020,0,TX,29.995621,-95.176468,Gas_SC
64799.0,WAL602,Natural Gas Internal Combustion Engine,2020,0,TX,30.12423,-95.45769,Gas_SC
64797.0,WAL546,Natural Gas Internal Combustion Engine,2020,0,TX,29.558105,-95.761271,Gas_SC
64794.0,WAL529,Natural Gas Internal Combustion Engine,2019,1,TX,29.372305,-95.000453,Gas_SC
64793.0,WAL522,Natural Gas Internal Combustion Engine,2020,0,TX,29.894458,-95.06497,Gas_SC
64791.0,WAL462,Natural Gas Internal Combustion Engine,2019,1,TX,29.421764,-95.230784,Gas_SC
64783.0,Kearsarge East Providence,Solar Photovoltaic,2020,2,RI,41.833746,-71.369746,Solar
64782.0,Kearsarge Fogland,Solar Photovoltaic,2020,2,RI,41.555955,-71.188221,Solar
64781.0,Kearsarge Westerly,Solar Photovoltaic,2020,4,RI,41.385761,-71.732202,Solar
64770.0,WAL202,Petroleum Liquids,2020,1,TX,33.100353,-96.800708,Oil
64765.0,Madison ESS,Batteries,2019,4,ME,44.793,-69.876,Battery
64764.0,Madison BTM,Batteries,2020,1,ME,44.804,-69.841,Battery
64756.0,EQX005.0 Toyama Fuel Cell,Other Natural Gas,2019,1,CA,37.39961,-122.01457,Gas_SC
64753.0,FDX010.0 FedEx Fuel Cell,Other Natural Gas,2018,1,CT,41.5948,-72.71316,Gas_SC
64749.0,Fuel Cell 18B Sneden Avenue,Other Natural Gas,2020,4,NY,40.540457,-74.176559,Gas_SC
64748.0,Fuel Cell 18A Sneden Avenue,Other Natural Gas,2020,3,NY,40.540377,-74.17676,Gas_SC
64746.0,Goldman Sachs Carports Solar,Solar Photovoltaic,2020,1,NY,42.76573,-73.75055,Solar
64723.0,Alton Road Solar,Solar Photovoltaic,2019,13,RI,41.407547,-71.748328,Solar
64714.0,Rice Lake Solar Array,Solar Photovoltaic,2019,3,WI,45.526558,-91.756931,Solar
64687.0,Van der Hoek Solar Array/ Dairy,Solar Photovoltaic,2017,1,CA,36.504015,-120.098148,Solar
64681.0,"Clifton Park Solar 2, LLC",Solar Photovoltaic,2020,2,NY,42.84037,-73.83546,Solar
64680.0,"Clifton Park Solar 1, LLC",Solar Photovoltaic,2020,5,NY,42.839013,-73.834722,Solar
64679.0,"Hamlin Solar 1, LLC",Solar Photovoltaic,2020,5,NY,43.30141,-77.94429,Solar
64664.0,"Clark Road Solar 1, LLC",Solar Photovoltaic,2020,5,MA,42.59613,-72.020244,Solar
64663.0,WLWPCF Cogeneration Facility,Other Waste Biomass,2020,1,OR,45.00812,-123.05286,Waste
64647.0,"Bulldog Solar One, LLC",Solar Photovoltaic,2020,2,MD,38.9152,-76.6972,Solar
64646.0,Pittman Solar One LLC,Solar Photovoltaic,2020,2,MD,39.68753,-78.108,Solar
64645.0,Mason Solar One LLC,Solar Photovoltaic,2020,1,MD,39.69196,-75.91848,Solar
64644.0,P52ES Raphel Rd Community Solar LLC,Solar Photovoltaic,2020,1,MD,39.4167,-76.403,Solar
64611.0,SEPV Sierra,Batteries,2020,8,CA,34.733011,-118.138525,Battery
64610.0,Amazon MDW6 Solar Project,Solar Photovoltaic,2020,1,IL,41.6721,-88.11549,Solar
