,region,combined_cycle,combined_cycle_cc,combustion_turbine,land_turbine,solar_pv_storage,coal,coal_30_ccs,coal_90_ccs,Coal,Coal_30_CCS,Coal_90_CCS,Gas,Gas_CC,Gas_CC_CCS,Gas_SC,Solar,Wind
0,ERC_PHDL,,,,,,,,,0.916,0.9,1.005,1.006,1.006,1.006,1.042,1.002,0.92
1,ERC_REST,,,,,,,,,0.889,0.9,0.981,0.977,0.977,0.977,1.027,0.968,0.92
2,ERC_WEST,,,,,,,,,0.909,0.9,0.997,0.999,0.999,0.999,1.038,0.989,0.92
3,FRCC,,,,,,,,,0.899,1.0,1.001,0.983,0.983,0.983,1.033,0.961,0.949
4,MIS_AMSO,,,,,,,,,0.865,0.9,0.958,0.955,0.955,0.955,1.015,0.949,0.933
5,MIS_AR,,,,,,,,,0.914,0.9,0.995,0.977,0.977,0.977,1.022,0.977,0.933
6,MIS_MS,,,,,,,,,0.884,0.9,0.972,0.958,0.958,0.958,1.013,0.958,0.933
7,MIS_IA,,,,,,,,,0.993,1.0,1.013,1.001,1.001,1.001,1.017,1.041,0.968
8,MIS_IL,,,,,,,,,0.99,1.0,1.021,1.0,1.0,1.0,1.016,1.014,1.019
9,MIS_INKY,,,,,,,,,0.972,1.0,1.009,0.987,0.987,0.987,1.007,1.003,0.994
10,MIS_LA,,,,,,,,,0.879,0.9,0.968,0.958,0.958,0.958,1.013,0.957,0.933
11,MIS_LMI,,,,,,,,,1.002,1.0,1.025,1.009,1.009,1.009,1.015,1.024,0.997
12,MIS_MAPP,,,,,,,,,0.945,1.0,0.976,0.97,0.97,0.97,1.003,1.035,0.968
13,MIS_MIDA,,,,,,,,,0.984,1.0,1.007,0.996,0.996,0.996,1.015,1.04,0.968
14,MIS_MNWI,,,,,,,,,1.008,1.0,1.015,1.006,1.006,1.006,1.02,1.05,0.968
15,MIS_MO,,,,,,,,,0.981,1.0,1.013,0.995,0.995,0.995,1.015,1.016,1.019
16,MIS_WOTA,,,,,,,,,0.875,0.9,0.964,0.956,0.956,0.956,1.01,0.956,0.933
17,MIS_WUMS,,,,,,,,,1.029,1.0,1.046,1.028,1.028,1.028,1.032,1.045,0.994
18,NENG_CT,,,,,,,,,1.103,1.0,1.112,1.181,1.181,1.181,1.146,1.081,1.009
19,NENG_ME,,,,,,,,,0.993,1.0,1.048,1.064,1.064,1.064,1.074,1.065,1.009
20,NENGREST,,,,,,,,,1.034,1.0,1.075,1.115,1.115,1.115,1.105,1.068,1.009
21,NY_Z_A,,,,,,,,,0.988,1.0,1.05,1.061,1.061,1.061,1.072,1.021,0.999
22,NY_Z_B,,,,,,,,,0.992,1.0,1.058,1.076,1.076,1.076,1.081,1.027,0.999
23,NY_Z_C&E,,,,,,,,,1.005,1.0,1.08,1.11,1.11,1.11,1.111,1.038,0.999
24,NY_Z_D,,,,,,,,,0.986,1.0,1.056,1.076,1.076,1.076,1.092,1.043,0.999
25,NY_Z_F,,,,,,,,,1.04,1.0,1.085,1.129,1.129,1.129,1.122,1.06,0.999
26,NY_Z_G-I,,,,,,,,,1.13,1.0,1.119,1.195,1.195,1.195,1.161,1.079,0.999
27,NY_Z_J,,,,,,,,,1.216,1.2,1.157,1.257,1.257,1.257,1.205,1.093,1.26
28,NY_Z_K,,,,,,,,,1.163,1.2,1.153,1.241,1.241,1.241,1.196,1.092,1.26
29,PJM_AP,,,,,,,,,0.961,1.0,1.072,1.073,1.073,1.073,1.088,1.008,0.994
30,PJM_ATSI,,,,,,,,,0.974,1.0,1.043,1.031,1.031,1.031,1.046,1.007,0.994
31,PJM_COMD,,,,,,,,,1.042,1.0,1.039,1.022,1.022,1.022,1.026,1.04,0.994
32,PJM_Dom,,,,,,,,,0.964,0.9,1.13,1.144,1.144,1.144,1.153,1.018,0.911
33,PJM_EMAC,,,,,,,,,1.09,1.0,1.144,1.209,1.209,1.209,1.179,1.066,1.033
