,state,Gas,Gas_CC,Gas_CC_CCS,Gas_SC,Wind,Solar,Coal,Coal_30_CCS,Coal_90_CCS
0,AL,0.9656666666666666,0.9656666666666666,0.9656666666666666,1.0166666666666666,0.9260000000000002,0.963,0.887,0.9,0.9813333333333333
1,AK,1.232,1.232,1.232,1.173,1.055,1.124,1.112,1.0,1.208
2,AZ,1.0723999999999998,1.0723999999999998,1.0724,1.0896000000000001,0.9640000000000001,1.0188000000000001,0.9538,0.96,1.0734
3,AR,0.9911666666666669,0.9911666666666669,0.9911666666666666,1.0233333333333334,0.9590000000000001,1.0066666666666666,0.944,0.9500000000000001,1.0013333333333334
4,CA,1.125125,1.125125,1.125125,1.1156249999999999,0.9981249999999999,1.054375,1.0070000000000001,0.975,1.118625
5,CO,1.0423333333333333,1.0423333333333333,1.0423333333333333,1.0806666666666667,0.9503333333333334,1.0076666666666665,0.9233333333333333,1.0,1.0453333333333334
6,CT,1.181,1.181,1.181,1.146,1.009,1.081,1.103,1.0,1.112
7,DC,1.0563333333333333,1.0563333333333333,1.0563333333333331,1.0616666666666665,0.9983333333333334,1.0410000000000001,1.0146666666666666,1.0,1.053
8,DE,1.0303333333333333,1.0303333333333333,1.0303333333333333,1.043,0.9853333333333333,1.0293333333333334,0.9956666666666667,1.0,1.0393333333333332
9,FL,0.98,0.98,0.98,1.0299999999999998,0.9345,0.9644999999999999,0.894,0.95,0.9909999999999999
10,GA,0.97,0.97,0.97,1.02075,0.9317500000000001,0.9624999999999999,0.8900000000000001,0.9249999999999999,0.9862499999999998
11,HI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,ID,1.0114999999999998,1.0114999999999998,1.0114999999999998,1.045,0.967,1.0195,0.9415,1.0,1.0275
13,IL,1.0533999999999997,1.0533999999999997,1.0534,1.0644000000000002,1.0093999999999999,1.0256,0.9904,1.0,1.0472000000000001
14,IN,1.0507999999999997,1.0507999999999997,1.0508,1.0626000000000002,1.0044,1.0234,0.9867999999999999,1.0,1.0448
15,IA,0.9819999999999999,0.9819999999999999,0.982,1.0097999999999998,0.9782,1.0303999999999998,0.9601999999999998,1.0,0.991
16,KS,0.9786666666666667,0.9786666666666667,0.9786666666666667,1.0208333333333333,0.9500000000000001,0.9939999999999999,0.9141666666666667,0.9666666666666667,0.984
17,KY,0.9971666666666666,0.9971666666666666,0.9971666666666666,1.0253333333333332,0.9758333333333332,0.9996666666666667,0.9436666666666667,0.9666666666666668,1.0111666666666668
18,LA,0.9854,0.9854,0.9853999999999999,1.0253999999999999,0.9400000000000001,0.986,0.9193999999999999,0.9199999999999999,0.9944
19,ME,1.064,1.064,1.064,1.074,1.009,1.065,0.993,1.0,1.048
20,MD,1.0810000000000002,1.0810000000000002,1.081,1.08225,1.0070000000000001,1.03975,1.0085,1.0,1.0692499999999998
21,MA,1.115,1.115,1.115,1.105,1.009,1.068,1.034,1.0,1.075
22,MI,1.0270000000000001,1.0270000000000001,1.027,1.0447777777777778,0.9875555555555553,1.0205555555555557,0.9742222222222221,0.9888888888888889,1.0267777777777778
23,MN,0.9753999999999999,0.9753999999999999,0.9753999999999999,1.009,0.961,1.019,0.9409999999999998,0.9800000000000001,0.9827999999999999
24,MS,0.9765999999999998,0.9765999999999998,0.9766,1.0190000000000001,0.9410000000000001,0.9784,0.9148,0.9199999999999999,0.9924
25,MO,0.977,0.977,0.977,1.0138333333333334,0.9711666666666666,1.0016666666666667,0.9326666666666666,0.9666666666666667,0.9858333333333333
26,MT,0.991,0.991,0.991,1.0266666666666666,0.9673333333333334,1.0213333333333334,0.9393333333333334,1.0,1.0016666666666667
27,NE,0.9757999999999999,0.9757999999999999,0.9757999999999999,1.0157999999999998,0.9591999999999998,1.004,0.9241999999999999,0.9800000000000001,0.9827999999999999
28,NV,1.0757999999999999,1.0757999999999999,1.0757999999999999,1.0947999999999998,0.9494,1.0226,0.9620000000000001,0.96,1.0826
29,NH,1.115,1.115,1.115,1.105,1.009,1.068,1.034,1.0,1.075
30,NJ,1.05875,1.05875,1.05875,1.0705,0.96675,1.0265,0.98775,0.975,1.0619999999999998
