,Cost Type,Year,Unit,Cost
236344,CAPEX,2020,$/kW,5130.889431
236345,CAPEX,2021,$/kW,5130.889431
236346,CAPEX,2022,$/kW,4787.233593
236347,CAPEX,2023,$/kW,4750.113972
236348,CAPEX,2024,$/kW,4714.191759
236349,CAPEX,2025,$/kW,4647.136962
236350,CAPEX,2026,$/kW,4580.082164
236351,CAPEX,2027,$/kW,4514.224773
236352,CAPEX,2028,$/kW,4448.367383
236353,CAPEX,2029,$/kW,4383.707399
236354,CAPEX,2030,$/kW,4319.047416
236355,CAPEX,2031,$/kW,4254.387432
236356,CAPEX,2032,$/kW,4190.924856
236357,CAPEX,2033,$/kW,4128.659687
236358,CAPEX,2034,$/kW,4036.45934
236359,CAPEX,2035,$/kW,3946.653807
236360,CAPEX,2036,$/kW,3858.045682
236361,CAPEX,2037,$/kW,3769.437556
236362,CAPEX,2038,$/kW,3682.026838
236363,CAPEX,2039,$/kW,3649.696846
236364,CAPEX,2040,$/kW,3618.564261
236365,CAPEX,2041,$/kW,3586.23427
236366,CAPEX,2042,$/kW,3553.904278
236367,CAPEX,2043,$/kW,3522.771693
236368,CAPEX,2044,$/kW,3490.441701
236369,CAPEX,2045,$/kW,3458.11171
236370,CAPEX,2046,$/kW,3426.979125
236371,CAPEX,2047,$/kW,3394.649133
236372,CAPEX,2048,$/kW,3362.319142
236373,CAPEX,2049,$/kW,3331.186557
236374,CAPEX,2050,$/kW,3298.856565
236375,CAPEX,2020,$/kW,5130.889431
236376,CAPEX,2021,$/kW,5130.889431
236377,CAPEX,2022,$/kW,4787.233593
236378,CAPEX,2023,$/kW,4750.113972
236379,CAPEX,2024,$/kW,4714.191759
236380,CAPEX,2025,$/kW,4647.136962
236381,CAPEX,2026,$/kW,4580.082164
236382,CAPEX,2027,$/kW,4514.224773
236383,CAPEX,2028,$/kW,4448.367383
236384,CAPEX,2029,$/kW,4383.707399
236385,CAPEX,2030,$/kW,4319.047416
236386,CAPEX,2031,$/kW,4254.387432
236387,CAPEX,2032,$/kW,4190.924856
236388,CAPEX,2033,$/kW,4128.659687
236389,CAPEX,2034,$/kW,4036.45934
236390,CAPEX,2035,$/kW,3946.653807
236391,CAPEX,2036,$/kW,3858.045682
236392,CAPEX,2037,$/kW,3769.437556
236393,CAPEX,2038,$/kW,3682.026838
236394,CAPEX,2039,$/kW,3649.696846
236395,CAPEX,2040,$/kW,3618.564261
236396,CAPEX,2041,$/kW,3586.23427
236397,CAPEX,2042,$/kW,3553.904278
236398,CAPEX,2043,$/kW,3522.771693
236399,CAPEX,2044,$/kW,3490.441701
236400,CAPEX,2045,$/kW,3458.11171
236401,CAPEX,2046,$/kW,3426.979125
236402,CAPEX,2047,$/kW,3394.649133
236403,CAPEX,2048,$/kW,3362.319142
236404,CAPEX,2049,$/kW,3331.186557
236405,CAPEX,2050,$/kW,3298.856565
236406,CAPEX,2020,$/kW,5130.889431
236407,CAPEX,2021,$/kW,5130.889431
236408,CAPEX,2022,$/kW,4787.233593
236409,CAPEX,2023,$/kW,4750.113972
236410,CAPEX,2024,$/kW,4714.191759
236411,CAPEX,2025,$/kW,4647.136962
236412,CAPEX,2026,$/kW,4580.082164
236413,CAPEX,2027,$/kW,4514.224773
236414,CAPEX,2028,$/kW,4448.367383
236415,CAPEX,2029,$/kW,4383.707399
236416,CAPEX,2030,$/kW,4319.047416
236417,CAPEX,2031,$/kW,4254.387432
236418,CAPEX,2032,$/kW,4190.924856
236419,CAPEX,2033,$/kW,4128.659687
236420,CAPEX,2034,$/kW,4036.45934
236421,CAPEX,2035,$/kW,3946.653807
236422,CAPEX,2036,$/kW,3858.045682
236423,CAPEX,2037,$/kW,3769.437556
236424,CAPEX,2038,$/kW,3682.026838
236425,CAPEX,2039,$/kW,3649.696846
236426,CAPEX,2040,$/kW,3618.564261
236427,CAPEX,2041,$/kW,3586.23427
