,Cost Type,Year,Unit,Cost
96968,CAPEX,2020,$/kW,1462.0
96969,CAPEX,2021,$/kW,1410.8
96970,CAPEX,2022,$/kW,1359.6
96971,CAPEX,2023,$/kW,1308.4
96972,CAPEX,2024,$/kW,1257.2
96973,CAPEX,2025,$/kW,1206.0
96974,CAPEX,2026,$/kW,1156.237172
96975,CAPEX,2027,$/kW,1106.347809
96976,CAPEX,2028,$/kW,1056.331787
96977,CAPEX,2029,$/kW,1006.188983
96978,CAPEX,2030,$/kW,955.919273
96979,CAPEX,2031,$/kW,946.3600803
96980,CAPEX,2032,$/kW,936.8008876
96981,CAPEX,2033,$/kW,927.2416949
96982,CAPEX,2034,$/kW,917.6825021
96983,CAPEX,2035,$/kW,908.1233094
96984,CAPEX,2036,$/kW,898.5641167
96985,CAPEX,2037,$/kW,889.0049239
96986,CAPEX,2038,$/kW,879.4457312
96987,CAPEX,2039,$/kW,869.8865385
96988,CAPEX,2040,$/kW,860.3273457
96989,CAPEX,2041,$/kW,850.768153
96990,CAPEX,2042,$/kW,841.2089603
96991,CAPEX,2043,$/kW,831.6497675
96992,CAPEX,2044,$/kW,822.0905748
96993,CAPEX,2045,$/kW,812.5313821
96994,CAPEX,2046,$/kW,802.9721894
96995,CAPEX,2047,$/kW,793.4129966
96996,CAPEX,2048,$/kW,783.8538039
96997,CAPEX,2049,$/kW,774.2946112
96998,CAPEX,2050,$/kW,764.7354184
96999,CF,2020,,0.437
97000,CF,2021,,0.4403608
97001,CF,2022,,0.4437216
97002,CF,2023,,0.4470824
97003,CF,2024,,0.4504432
97004,CF,2025,,0.453804
97005,CF,2026,,0.4571648
97006,CF,2027,,0.4605256
97007,CF,2028,,0.4638864
97008,CF,2029,,0.4672472
97009,CF,2030,,0.470608
97010,CF,2031,,0.47119626
97011,CF,2032,,0.47178452
97012,CF,2033,,0.47237278
97013,CF,2034,,0.47296104
97014,CF,2035,,0.4735493
97015,CF,2036,,0.47413756
97016,CF,2037,,0.47472582
97017,CF,2038,,0.47531408
97018,CF,2039,,0.47590234
97019,CF,2040,,0.4764906
97020,CF,2041,,0.47707886
97021,CF,2042,,0.47766712
97022,CF,2043,,0.47825538
97023,CF,2044,,0.47884364
97024,CF,2045,,0.4794319
97025,CF,2046,,0.48002016
97026,CF,2047,,0.48060842
97027,CF,2048,,0.48119668
97028,CF,2049,,0.48178494
97029,CF,2050,,0.4823732
97030,Fixed O&M,2020,$/KW-yr,43.0
97031,Fixed O&M,2021,$/KW-yr,42.595
97032,Fixed O&M,2022,$/KW-yr,42.19
97033,Fixed O&M,2023,$/KW-yr,41.785
97034,Fixed O&M,2024,$/KW-yr,41.38
97035,Fixed O&M,2025,$/KW-yr,40.975
97036,Fixed O&M,2026,$/KW-yr,40.57
97037,Fixed O&M,2027,$/KW-yr,40.165
97038,Fixed O&M,2028,$/KW-yr,39.76
97039,Fixed O&M,2029,$/KW-yr,39.355
97040,Fixed O&M,2030,$/KW-yr,38.95
97041,Fixed O&M,2031,$/KW-yr,38.657875
97042,Fixed O&M,2032,$/KW-yr,38.36575
97043,Fixed O&M,2033,$/KW-yr,38.073625
97044,Fixed O&M,2034,$/KW-yr,37.7815
97045,Fixed O&M,2035,$/KW-yr,37.489375
97046,Fixed O&M,2036,$/KW-yr,37.19725
97047,Fixed O&M,2037,$/KW-yr,36.905125
