,Cost Type,Year,Unit,Cost
248248,CAPEX,2020,$/kW,1038.084037
248249,CAPEX,2021,$/kW,1033.446912
248250,CAPEX,2022,$/kW,1028.809787
248251,CAPEX,2023,$/kW,1026.097817
248252,CAPEX,2024,$/kW,1014.160724
248253,CAPEX,2025,$/kW,1009.975902
248254,CAPEX,2026,$/kW,1009.98717
248255,CAPEX,2027,$/kW,1005.624159
248256,CAPEX,2028,$/kW,997.3816957
248257,CAPEX,2029,$/kW,992.5042417
248258,CAPEX,2030,$/kW,988.5116499
248259,CAPEX,2031,$/kW,984.2173905
248260,CAPEX,2032,$/kW,981.0515184
248261,CAPEX,2033,$/kW,976.1076594
248262,CAPEX,2034,$/kW,970.6456833
248263,CAPEX,2035,$/kW,966.5046637
248264,CAPEX,2036,$/kW,962.2748698
248265,CAPEX,2037,$/kW,957.4631119
248266,CAPEX,2038,$/kW,953.1428988
248267,CAPEX,2039,$/kW,949.171
248268,CAPEX,2040,$/kW,945.5320728
248269,CAPEX,2041,$/kW,941.2661065
248270,CAPEX,2042,$/kW,936.3397458
248271,CAPEX,2043,$/kW,932.494052
248272,CAPEX,2044,$/kW,928.7988754
248273,CAPEX,2045,$/kW,925.0375011
248274,CAPEX,2046,$/kW,922.0216895
248275,CAPEX,2047,$/kW,918.1165894
248276,CAPEX,2048,$/kW,913.6432385
248277,CAPEX,2049,$/kW,909.0536715
248278,CAPEX,2050,$/kW,904.7484864
248279,CAPEX,2020,$/kW,1038.084037
248280,CAPEX,2021,$/kW,1033.446912
248281,CAPEX,2022,$/kW,1028.809787
248282,CAPEX,2023,$/kW,1026.097817
248283,CAPEX,2024,$/kW,1014.160724
248284,CAPEX,2025,$/kW,1009.975902
248285,CAPEX,2026,$/kW,1009.98717
248286,CAPEX,2027,$/kW,1005.624159
248287,CAPEX,2028,$/kW,997.3816957
248288,CAPEX,2029,$/kW,992.5042417
248289,CAPEX,2030,$/kW,988.5116499
248290,CAPEX,2031,$/kW,984.2173905
248291,CAPEX,2032,$/kW,981.0515184
248292,CAPEX,2033,$/kW,976.1076594
248293,CAPEX,2034,$/kW,970.6456833
248294,CAPEX,2035,$/kW,966.5046637
248295,CAPEX,2036,$/kW,962.2748698
248296,CAPEX,2037,$/kW,957.4631119
248297,CAPEX,2038,$/kW,953.1428988
248298,CAPEX,2039,$/kW,949.171
248299,CAPEX,2040,$/kW,945.5320728
248300,CAPEX,2041,$/kW,941.2661065
248301,CAPEX,2042,$/kW,936.3397458
248302,CAPEX,2043,$/kW,932.494052
248303,CAPEX,2044,$/kW,928.7988754
248304,CAPEX,2045,$/kW,925.0375011
248305,CAPEX,2046,$/kW,922.0216895
248306,CAPEX,2047,$/kW,918.1165894
248307,CAPEX,2048,$/kW,913.6432385
248308,CAPEX,2049,$/kW,909.0536715
248309,CAPEX,2050,$/kW,904.7484864
248310,CAPEX,2020,$/kW,1038.084037
248311,CAPEX,2021,$/kW,1033.446912
248312,CAPEX,2022,$/kW,1028.809787
248313,CAPEX,2023,$/kW,1026.097817
248314,CAPEX,2024,$/kW,1014.160724
248315,CAPEX,2025,$/kW,1009.975902
248316,CAPEX,2026,$/kW,1009.98717
248317,CAPEX,2027,$/kW,1005.624159
248318,CAPEX,2028,$/kW,997.3816957
248319,CAPEX,2029,$/kW,992.5042417
248320,CAPEX,2030,$/kW,988.5116499
248321,CAPEX,2031,$/kW,984.2173905
248322,CAPEX,2032,$/kW,981.0515184
248323,CAPEX,2033,$/kW,976.1076594
248324,CAPEX,2034,$/kW,970.6456833
248325,CAPEX,2035,$/kW,966.5046637
248326,CAPEX,2036,$/kW,962.2748698
248327,CAPEX,2037,$/kW,957.4631119
248328,CAPEX,2038,$/kW,953.1428988
248329,CAPEX,2039,$/kW,949.171
248330,CAPEX,2040,$/kW,945.5320728
248331,CAPEX,2041,$/kW,941.2661065
248332,CAPEX,2042,$/kW,936.3397458
248333,CAPEX,2043,$/kW,932.494052
248334,CAPEX,2044,$/kW,928.7988754
248335,CAPEX,2045,$/kW,925.0375011
248336,CAPEX,2046,$/kW,922.0216895
248337,CAPEX,2047,$/kW,918.1165894
248338,CAPEX,2048,$/kW,913.6432385
248339,CAPEX,2049,$/kW,909.0536715
248340,CAPEX,2050,$/kW,904.7484864
248434,Fixed O&M,2020,$/KW-yr,27.94
248435,Fixed O&M,2021,$/KW-yr,27.94
248436,Fixed O&M,2022,$/KW-yr,27.94
248437,Fixed O&M,2023,$/KW-yr,27.94
248438,Fixed O&M,2024,$/KW-yr,27.94
248439,Fixed O&M,2025,$/KW-yr,27.94
248440,Fixed O&M,2026,$/KW-yr,27.94
248441,Fixed O&M,2027,$/KW-yr,27.94
248442,Fixed O&M,2028,$/KW-yr,27.94
248443,Fixed O&M,2029,$/KW-yr,27.94
248444,Fixed O&M,2030,$/KW-yr,27.94
248445,Fixed O&M,2031,$/KW-yr,27.94
248446,Fixed O&M,2032,$/KW-yr,27.94
248447,Fixed O&M,2033,$/KW-yr,27.94
