,Cost Type,Year,Unit,Cost
251596,CAPEX,2020,$/kW,922.2101929
251597,CAPEX,2021,$/kW,913.7792928
251598,CAPEX,2022,$/kW,905.3483927
251599,CAPEX,2023,$/kW,900.4827457
251600,CAPEX,2024,$/kW,882.2443396
251601,CAPEX,2025,$/kW,872.1538672
251602,CAPEX,2026,$/kW,869.1848487
251603,CAPEX,2027,$/kW,863.193892
251604,CAPEX,2028,$/kW,850.1394149
251605,CAPEX,2029,$/kW,843.299778
251606,CAPEX,2030,$/kW,838.4397337
251607,CAPEX,2031,$/kW,833.9251225
251608,CAPEX,2032,$/kW,830.3657179
251609,CAPEX,2033,$/kW,825.3012905
251610,CAPEX,2034,$/kW,819.8009815
251611,CAPEX,2035,$/kW,815.4174459
251612,CAPEX,2036,$/kW,810.9591397
251613,CAPEX,2037,$/kW,806.0110779
251614,CAPEX,2038,$/kW,801.4776218
251615,CAPEX,2039,$/kW,797.2372261
251616,CAPEX,2040,$/kW,793.2757593
251617,CAPEX,2041,$/kW,788.7879351
251618,CAPEX,2042,$/kW,783.7477385
251619,CAPEX,2043,$/kW,779.6125955
251620,CAPEX,2044,$/kW,775.6024827
251621,CAPEX,2045,$/kW,771.536385
251622,CAPEX,2046,$/kW,768.0906494
251623,CAPEX,2047,$/kW,763.9028291
251624,CAPEX,2048,$/kW,759.2422064
251625,CAPEX,2049,$/kW,754.4858513
251626,CAPEX,2050,$/kW,749.9663282
251627,CAPEX,2020,$/kW,922.2101929
251628,CAPEX,2021,$/kW,913.7792928
251629,CAPEX,2022,$/kW,905.3483927
251630,CAPEX,2023,$/kW,900.4827457
251631,CAPEX,2024,$/kW,882.2443396
251632,CAPEX,2025,$/kW,872.1538672
251633,CAPEX,2026,$/kW,869.1848487
251634,CAPEX,2027,$/kW,863.193892
251635,CAPEX,2028,$/kW,850.1394149
251636,CAPEX,2029,$/kW,843.299778
251637,CAPEX,2030,$/kW,838.4397337
251638,CAPEX,2031,$/kW,833.9251225
251639,CAPEX,2032,$/kW,830.3657179
251640,CAPEX,2033,$/kW,825.3012905
251641,CAPEX,2034,$/kW,819.8009815
251642,CAPEX,2035,$/kW,815.4174459
251643,CAPEX,2036,$/kW,810.9591397
251644,CAPEX,2037,$/kW,806.0110779
251645,CAPEX,2038,$/kW,801.4776218
251646,CAPEX,2039,$/kW,797.2372261
251647,CAPEX,2040,$/kW,793.2757593
251648,CAPEX,2041,$/kW,788.7879351
251649,CAPEX,2042,$/kW,783.7477385
251650,CAPEX,2043,$/kW,779.6125955
251651,CAPEX,2044,$/kW,775.6024827
251652,CAPEX,2045,$/kW,771.536385
251653,CAPEX,2046,$/kW,768.0906494
251654,CAPEX,2047,$/kW,763.9028291
251655,CAPEX,2048,$/kW,759.2422064
251656,CAPEX,2049,$/kW,754.4858513
251657,CAPEX,2050,$/kW,749.9663282
251658,CAPEX,2020,$/kW,922.2101929
251659,CAPEX,2021,$/kW,913.7792928
251660,CAPEX,2022,$/kW,905.3483927
251661,CAPEX,2023,$/kW,900.4827457
251662,CAPEX,2024,$/kW,882.2443396
251663,CAPEX,2025,$/kW,872.1538672
251664,CAPEX,2026,$/kW,869.1848487
251665,CAPEX,2027,$/kW,863.193892
251666,CAPEX,2028,$/kW,850.1394149
251667,CAPEX,2029,$/kW,843.299778
251668,CAPEX,2030,$/kW,838.4397337
251669,CAPEX,2031,$/kW,833.9251225
251670,CAPEX,2032,$/kW,830.3657179
251671,CAPEX,2033,$/kW,825.3012905
251672,CAPEX,2034,$/kW,819.8009815
251673,CAPEX,2035,$/kW,815.4174459
251674,CAPEX,2036,$/kW,810.9591397
251675,CAPEX,2037,$/kW,806.0110779
251676,CAPEX,2038,$/kW,801.4776218
251677,CAPEX,2039,$/kW,797.2372261
251678,CAPEX,2040,$/kW,793.2757593
251679,CAPEX,2041,$/kW,788.7879351
251680,CAPEX,2042,$/kW,783.7477385
251681,CAPEX,2043,$/kW,779.6125955
251682,CAPEX,2044,$/kW,775.6024827
251683,CAPEX,2045,$/kW,771.536385
251684,CAPEX,2046,$/kW,768.0906494
251685,CAPEX,2047,$/kW,763.9028291
251686,CAPEX,2048,$/kW,759.2422064
251687,CAPEX,2049,$/kW,754.4858513
251688,CAPEX,2050,$/kW,749.9663282
251782,Fixed O&M,2020,$/KW-yr,21.43
251783,Fixed O&M,2021,$/KW-yr,21.43
251784,Fixed O&M,2022,$/KW-yr,21.43
251785,Fixed O&M,2023,$/KW-yr,21.43
251786,Fixed O&M,2024,$/KW-yr,21.43
251787,Fixed O&M,2025,$/KW-yr,21.43
251788,Fixed O&M,2026,$/KW-yr,21.43
251789,Fixed O&M,2027,$/KW-yr,21.43
251790,Fixed O&M,2028,$/KW-yr,21.43
251791,Fixed O&M,2029,$/KW-yr,21.43
251792,Fixed O&M,2030,$/KW-yr,21.43
251793,Fixed O&M,2031,$/KW-yr,21.43
251794,Fixed O&M,2032,$/KW-yr,21.43
251795,Fixed O&M,2033,$/KW-yr,21.43
251796,Fixed O&M,2034,$/KW-yr,21.43
251797,Fixed O&M,2035,$/KW-yr,21.43
251798,Fixed O&M,2036,$/KW-yr,21.43
251799,Fixed O&M,2037,$/KW-yr,21.43
251800,Fixed O&M,2038,$/KW-yr,21.43
251801,Fixed O&M,2039,$/KW-yr,21.43
251802,Fixed O&M,2040,$/KW-yr,21.43
251803,Fixed O&M,2041,$/KW-yr,21.43
251804,Fixed O&M,2042,$/KW-yr,21.43
251805,Fixed O&M,2043,$/KW-yr,21.43
251806,Fixed O&M,2044,$/KW-yr,21.43
251807,Fixed O&M,2045,$/KW-yr,21.43
251808,Fixed O&M,2046,$/KW-yr,21.43
251809,Fixed O&M,2047,$/KW-yr,21.43
251810,Fixed O&M,2048,$/KW-yr,21.43
251811,Fixed O&M,2049,$/KW-yr,21.43
251812,Fixed O&M,2050,$/KW-yr,21.43
251813,Fixed O&M,2020,$/KW-yr,21.43
251814,Fixed O&M,2021,$/KW-yr,21.43
251815,Fixed O&M,2022,$/KW-yr,21.43
251816,Fixed O&M,2023,$/KW-yr,21.43
251817,Fixed O&M,2024,$/KW-yr,21.43
251818,Fixed O&M,2025,$/KW-yr,21.43
251819,Fixed O&M,2026,$/KW-yr,21.43
251820,Fixed O&M,2027,$/KW-yr,21.43
251821,Fixed O&M,2028,$/KW-yr,21.43
