,Cost Type,Year,Unit,Cost
248806,CAPEX,2020,$/kW,2288.311067
248807,CAPEX,2021,$/kW,2288.311067
248808,CAPEX,2022,$/kW,2134.806731
248809,CAPEX,2023,$/kW,2104.105864
248810,CAPEX,2024,$/kW,2063.536861
248811,CAPEX,2025,$/kW,2028.450156
248812,CAPEX,2026,$/kW,1996.652829
248813,CAPEX,2027,$/kW,1963.759043
248814,CAPEX,2028,$/kW,1935.251094
248815,CAPEX,2029,$/kW,1905.646687
248816,CAPEX,2030,$/kW,1878.235198
248817,CAPEX,2031,$/kW,1850.82371
248818,CAPEX,2032,$/kW,1823.412221
248819,CAPEX,2033,$/kW,1797.097192
248820,CAPEX,2034,$/kW,1762.010487
248821,CAPEX,2035,$/kW,1725.827322
248822,CAPEX,2036,$/kW,1691.837076
248823,CAPEX,2037,$/kW,1656.75037
248824,CAPEX,2038,$/kW,1622.760124
248825,CAPEX,2039,$/kW,1608.50615
248826,CAPEX,2040,$/kW,1594.252176
248827,CAPEX,2041,$/kW,1581.094662
248828,CAPEX,2042,$/kW,1566.840688
248829,CAPEX,2043,$/kW,1552.586714
248830,CAPEX,2044,$/kW,1538.33274
248831,CAPEX,2045,$/kW,1524.078766
248832,CAPEX,2046,$/kW,1510.921251
248833,CAPEX,2047,$/kW,1496.667277
248834,CAPEX,2048,$/kW,1482.413303
248835,CAPEX,2049,$/kW,1470.352248
248836,CAPEX,2050,$/kW,1458.291193
248837,CAPEX,2020,$/kW,2288.311067
248838,CAPEX,2021,$/kW,2288.311067
248839,CAPEX,2022,$/kW,2134.806731
248840,CAPEX,2023,$/kW,2104.105864
248841,CAPEX,2024,$/kW,2063.536861
248842,CAPEX,2025,$/kW,2028.450156
248843,CAPEX,2026,$/kW,1996.652829
248844,CAPEX,2027,$/kW,1963.759043
248845,CAPEX,2028,$/kW,1935.251094
248846,CAPEX,2029,$/kW,1905.646687
248847,CAPEX,2030,$/kW,1878.235198
248848,CAPEX,2031,$/kW,1850.82371
248849,CAPEX,2032,$/kW,1823.412221
248850,CAPEX,2033,$/kW,1797.097192
248851,CAPEX,2034,$/kW,1762.010487
248852,CAPEX,2035,$/kW,1725.827322
248853,CAPEX,2036,$/kW,1691.837076
248854,CAPEX,2037,$/kW,1656.75037
248855,CAPEX,2038,$/kW,1622.760124
248856,CAPEX,2039,$/kW,1608.50615
248857,CAPEX,2040,$/kW,1594.252176
248858,CAPEX,2041,$/kW,1581.094662
248859,CAPEX,2042,$/kW,1566.840688
248860,CAPEX,2043,$/kW,1552.586714
248861,CAPEX,2044,$/kW,1538.33274
248862,CAPEX,2045,$/kW,1524.078766
248863,CAPEX,2046,$/kW,1510.921251
248864,CAPEX,2047,$/kW,1496.667277
248865,CAPEX,2048,$/kW,1482.413303
248866,CAPEX,2049,$/kW,1470.352248
248867,CAPEX,2050,$/kW,1458.291193
248868,CAPEX,2020,$/kW,2288.311067
248869,CAPEX,2021,$/kW,2288.311067
248870,CAPEX,2022,$/kW,2134.806731
248871,CAPEX,2023,$/kW,2104.105864
248872,CAPEX,2024,$/kW,2063.536861
248873,CAPEX,2025,$/kW,2028.450156
248874,CAPEX,2026,$/kW,1996.652829
248875,CAPEX,2027,$/kW,1963.759043
248876,CAPEX,2028,$/kW,1935.251094
248877,CAPEX,2029,$/kW,1905.646687
248878,CAPEX,2030,$/kW,1878.235198
248879,CAPEX,2031,$/kW,1850.82371
248880,CAPEX,2032,$/kW,1823.412221
248881,CAPEX,2033,$/kW,1797.097192
248882,CAPEX,2034,$/kW,1762.010487
