,Cost Type,Year,Unit,Cost
101556,CAPEX,2020,$/kW,1333.262285
101557,CAPEX,2021,$/kW,1165.860545
101558,CAPEX,2022,$/kW,1119.822298
101559,CAPEX,2023,$/kW,1073.78405
101560,CAPEX,2024,$/kW,1027.745802
101561,CAPEX,2025,$/kW,981.7075546
101562,CAPEX,2026,$/kW,936.3879048
101563,CAPEX,2027,$/kW,890.9968813
101564,CAPEX,2028,$/kW,845.5345881
101565,CAPEX,2029,$/kW,800.001129
101566,CAPEX,2030,$/kW,754.3966071
101567,CAPEX,2031,$/kW,747.6742875
101568,CAPEX,2032,$/kW,740.9519678
101569,CAPEX,2033,$/kW,734.2296481
101570,CAPEX,2034,$/kW,727.5073285
101571,CAPEX,2035,$/kW,720.7850088
101572,CAPEX,2036,$/kW,714.0626892
101573,CAPEX,2037,$/kW,707.3403695
101574,CAPEX,2038,$/kW,700.6180499
101575,CAPEX,2039,$/kW,693.8957302
101576,CAPEX,2040,$/kW,687.1734106
101577,CAPEX,2041,$/kW,680.4510909
101578,CAPEX,2042,$/kW,673.7287712
101579,CAPEX,2043,$/kW,667.0064516
101580,CAPEX,2044,$/kW,660.2841319
101581,CAPEX,2045,$/kW,653.5618123
101582,CAPEX,2046,$/kW,646.8394926
101583,CAPEX,2047,$/kW,640.117173
101584,CAPEX,2048,$/kW,633.3948533
101585,CAPEX,2049,$/kW,626.6725337
101586,CAPEX,2050,$/kW,619.950214
101587,CF,2020,,0.2608404
101588,CF,2021,,0.263625538
101589,CF,2022,,0.266410676
101590,CF,2023,,0.269195814
101591,CF,2024,,0.271980952
101592,CF,2025,,0.27476609
101593,CF,2026,,0.277551229
101594,CF,2027,,0.280336367
101595,CF,2028,,0.283121505
101596,CF,2029,,0.285906643
101597,CF,2030,,0.288691781
101598,CF,2031,,0.289737601
101599,CF,2032,,0.290783422
101600,CF,2033,,0.291829242
101601,CF,2034,,0.292875063
101602,CF,2035,,0.293920883
101603,CF,2036,,0.294966703
101604,CF,2037,,0.296012524
101605,CF,2038,,0.297058344
101606,CF,2039,,0.298104164
101607,CF,2040,,0.299149985
101608,CF,2041,,0.300195805
101609,CF,2042,,0.301241625
101610,CF,2043,,0.302287446
101611,CF,2044,,0.303333266
101612,CF,2045,,0.304379087
101613,CF,2046,,0.305424907
101614,CF,2047,,0.306470727
101615,CF,2048,,0.307516548
101616,CF,2049,,0.308562368
101617,CF,2050,,0.309608188
101618,Fixed O&M,2020,$/KW-yr,22.62369024
101619,Fixed O&M,2021,$/KW-yr,20.5568
101620,Fixed O&M,2022,$/KW-yr,19.95173096
101621,Fixed O&M,2023,$/KW-yr,19.35442986
101622,Fixed O&M,2024,$/KW-yr,18.75899579
101623,Fixed O&M,2025,$/KW-yr,18.1653519
101624,Fixed O&M,2026,$/KW-yr,17.57342551
101625,Fixed O&M,2027,$/KW-yr,16.9831478
101626,Fixed O&M,2028,$/KW-yr,16.39445359
101627,Fixed O&M,2029,$/KW-yr,15.80728111
101628,Fixed O&M,2030,$/KW-yr,15.22157173
101629,Fixed O&M,2031,$/KW-yr,15.12086937
101630,Fixed O&M,2032,$/KW-yr,15.02042613
101631,Fixed O&M,2033,$/KW-yr,14.92023778
101632,Fixed O&M,2034,$/KW-yr,14.82030016
101633,Fixed O&M,2035,$/KW-yr,14.72060919
101634,Fixed O&M,2036,$/KW-yr,14.62116091
101635,Fixed O&M,2037,$/KW-yr,14.52195142
101636,Fixed O&M,2038,$/KW-yr,14.42297691
101637,Fixed O&M,2039,$/KW-yr,14.32423365
101638,Fixed O&M,2040,$/KW-yr,14.22571798
101639,Fixed O&M,2041,$/KW-yr,14.12742634
101640,Fixed O&M,2042,$/KW-yr,14.02935522
101641,Fixed O&M,2043,$/KW-yr,13.93150119
101642,Fixed O&M,2044,$/KW-yr,13.8338609
101643,Fixed O&M,2045,$/KW-yr,13.73643107
101644,Fixed O&M,2046,$/KW-yr,13.63920846
101645,Fixed O&M,2047,$/KW-yr,13.54218992
101646,Fixed O&M,2048,$/KW-yr,13.44537236
101647,Fixed O&M,2049,$/KW-yr,13.34875275
101648,Fixed O&M,2050,$/KW-yr,13.25232813
101649,LCOE,2020,$/MWh,36.10280644
101650,LCOE,2021,$/MWh,31.57130901
101651,LCOE,2022,$/MWh,30.09614384
101652,LCOE,2023,$/MWh,28.6547971
101653,LCOE,2024,$/MWh,28.30705689
101654,LCOE,2025,$/MWh,26.86743685
101655,LCOE,2026,$/MWh,29.20004378
101656,LCOE,2027,$/MWh,27.859853
101657,LCOE,2028,$/MWh,26.51956187
101658,LCOE,2029,$/MWh,25.1791642
101659,LCOE,2030,$/MWh,23.83866672
101660,LCOE,2031,$/MWh,23.55472802
101661,LCOE,2032,$/MWh,23.27293346
101662,LCOE,2033,$/MWh,22.99325831
101663,LCOE,2034,$/MWh,22.71567827
101664,LCOE,2035,$/MWh,22.44016937
101665,LCOE,2036,$/MWh,22.16670806
101666,LCOE,2037,$/MWh,21.89527113
101667,LCOE,2038,$/MWh,21.62583574
101668,LCOE,2039,$/MWh,21.35837939
101669,LCOE,2040,$/MWh,21.09287992
101670,LCOE,2041,$/MWh,20.82931554
101671,LCOE,2042,$/MWh,20.56766476
101672,LCOE,2043,$/MWh,20.30790642
101673,LCOE,2044,$/MWh,20.05001969
101674,LCOE,2045,$/MWh,19.79398403
101675,LCOE,2046,$/MWh,19.53977924
101676,LCOE,2047,$/MWh,19.2873854
101677,LCOE,2048,$/MWh,19.03678287
101678,LCOE,2049,$/MWh,18.78795232
101679,LCOE,2050,$/MWh,18.54087471
117707,CAPEX,2020,$/kW,1333.262285
117708,CAPEX,2021,$/kW,1165.860545
117709,CAPEX,2022,$/kW,1119.822298
117710,CAPEX,2023,$/kW,1073.78405
117711,CAPEX,2024,$/kW,1027.745802
117712,CAPEX,2025,$/kW,981.7075546
117713,CAPEX,2026,$/kW,936.3879048
117714,CAPEX,2027,$/kW,890.9968813
117715,CAPEX,2028,$/kW,845.5345881
117716,CAPEX,2029,$/kW,800.001129
117717,CAPEX,2030,$/kW,754.3966071
117718,CAPEX,2031,$/kW,747.6742875
117719,CAPEX,2032,$/kW,740.9519678
117720,CAPEX,2033,$/kW,734.2296481
117721,CAPEX,2034,$/kW,727.5073285
117722,CAPEX,2035,$/kW,720.7850088
117723,CAPEX,2036,$/kW,714.0626892
117724,CAPEX,2037,$/kW,707.3403695
117725,CAPEX,2038,$/kW,700.6180499
117726,CAPEX,2039,$/kW,693.8957302
117727,CAPEX,2040,$/kW,687.1734106
117728,CAPEX,2041,$/kW,680.4510909
117729,CAPEX,2042,$/kW,673.7287712
117730,CAPEX,2043,$/kW,667.0064516
117731,CAPEX,2044,$/kW,660.2841319
117732,CAPEX,2045,$/kW,653.5618123
117733,CAPEX,2046,$/kW,646.8394926
117734,CAPEX,2047,$/kW,640.117173
117735,CAPEX,2048,$/kW,633.3948533
117736,CAPEX,2049,$/kW,626.6725337
117737,CAPEX,2050,$/kW,619.950214
117738,CF,2020,,0.2608404
117739,CF,2021,,0.263625538
117740,CF,2022,,0.266410676
117741,CF,2023,,0.269195814
117742,CF,2024,,0.271980952
117743,CF,2025,,0.27476609
117744,CF,2026,,0.277551229
117745,CF,2027,,0.280336367
117746,CF,2028,,0.283121505
117747,CF,2029,,0.285906643
117748,CF,2030,,0.288691781
117749,CF,2031,,0.289737601
117750,CF,2032,,0.290783422
117751,CF,2033,,0.291829242
117752,CF,2034,,0.292875063
117753,CF,2035,,0.293920883
117754,CF,2036,,0.294966703
117755,CF,2037,,0.296012524
117756,CF,2038,,0.297058344
117757,CF,2039,,0.298104164
117758,CF,2040,,0.299149985
117759,CF,2041,,0.300195805
117760,CF,2042,,0.301241625
