,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
626,MEPI GT Facility,IL,37.2175,-88.8661,1974,Gas_SC,300,19836000.0,345110.868,20510.279,Gas,-184.93712303478102,13740.234601500799,1.3740234601500799e-05,0.0,Gas_Gas,20510.279
259,Schiller,NH,43.0978,-70.7842,1952,Coal,171,26631000.0,516433.601,50943.944,Gas,-180.13265575657095,41854.7600729768,5.55949946744776e-05,1.37402346015008e-05,Coal_Gas,71454.223
377,Laredo,TX,27.5667,-99.5089,1951,Gas_SC,448,78048000.0,700677.91,41638.487,Gas,-176.3265985864997,15000.635355814404,7.0595630030292e-05,5.559499467447759e-05,Gas_Gas,113092.70999999999
137,Streeter Station,IA,42.5267,-92.4394,1963,Gas_SC,51,3070000.0,60445.821,3659.517,Gas,-171.53959732811228,2611.723276296,7.3207353306588e-05,7.0595630030292e-05,Gas_Gas,116752.22699999998
177,Big Cajun 1,LA,30.6739,-91.3556,1972,Gas_SC,490,58208000.0,692928.76,41180.423,Gas,-170.29972656257195,21313.980957862404,9.452133426445041e-05,7.320735330658801e-05,Gas_Gas,157932.65
340,Mooreland,OK,36.43725,-99.22543,1964,Gas_SC,305,41683000.0,449061.798,26698.286,Gas,-170.0248745332848,12471.841118842402,0.00010699317538329282,9.452133426445041e-05,Gas_Gas,184630.936
108,Will County,IL,41.6334,-88.0629,1955,Coal,1267,372616000.0,4087933.475,431771.475,Gas,-165.10051014649417,304597.3036150848,0.0004115904789983776,0.00010699317538329283,Coal_Gas,616402.411
466,Big Cajun 2,LA,30.7261,-91.3692,1981,Coal,2632,1373749000.0,15225489.627,1075686.12,Gas,-163.3488789288613,606824.3675098873,0.001018414846508265,0.00041159047899837767,Coal_Gas,1692088.531
154,Big Sandy,KY,38.1707,-82.6176,1963,Coal,1096,948161000.0,9072868.604,539187.029,Gas,-159.67637633445176,215578.83849156077,0.0012339936849998258,0.0010184148465082652,Coal_Gas,2231275.56
326,West Lorain,OH,41.429444,-82.264444,1973,Gas_SC,555,73356000.0,888018.975,51151.294,Gas,-159.323500512964,26114.826118556804,0.0012601085111183827,0.0012339936849998258,Gas_Gas,2282426.8540000003
772,Indeck Oswego Energy Center,NY,43.471745,-76.493474,1990,Gas_CC,57,20428000.0,184664.225,10974.925,Gas,-158.9579007648474,4002.8304762784,0.001264111341594661,0.0012601085111183827,Gas_Gas,2293401.779
159,Paddys Run,KY,38.223592,-85.841704,1968,Gas_SC,226,37974000.0,373420.159,22061.642,Gas,-158.65506856671462,9101.082109467201,0.0012732124237041283,0.001264111341594661,Gas_Gas,2315463.421
683,Waterford 1 & 2,LA,29.998884,-90.47684,1975,Gas_SC,931,134210000.0,1479339.405,88188.89199999999,Gas,-154.6519254405165,42382.89992888799,0.0013155953236330164,0.0012732124237041283,Gas_Gas,2403652.313
145,Gordon Evans Energy Center,KS,37.7903,-97.521667,1961,Gas_SC,902,134118000.0,1473745.773,87637.59,Gas,-151.16886069367465,41862.9976105104,0.0013574583212435265,0.0013155953236330164,Gas_Gas,2491289.903
708,Carson Cogeneration,CA,33.8759,-118.2491,1989,Gas_CC,55,21575000.0,188613.65,11209.479,Gas,-149.73378614588103,3845.91235866,0.0013613042336021867,0.0013574583212435265,Gas_Gas,2502499.3819999998
254,Clark (NVE),NV,36.0875,-115.0507,1955,Gas_SC,1556,305307000.0,2762815.958,164189.31399999998,Gas,-149.57550892928234,59987.76403162959,0.0014212919976338161,0.0013613042336021867,Gas_Gas,2666688.6959999995
341,Brunot Island,PA,40.464851,-80.043761,1972,Gas_CC,414,96989000.0,1344596.326,79904.876,Gas,-139.95044071795758,46802.44425135921,0.0014680944418851755,0.0014212919976338161,Gas_Gas,2746593.5719999997
