,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
1092,Limon Generating Station,CO,39.2038,-103.7005,2002,Gas_SC,154,71243000.0,874973.2860000001,52077.904,Wind,-199.90924349904859,52077.904,5.2077904e-05,0.0,Gas_SC→Wind,52077.904,296.1538461538462
1322,Bacliff,TX,29.49233,-94.98483,2018,Gas_SC,426,129998000.0,1566138.4,92408.2,Wind,-198.3932634973979,92408.2,0.000144486104,5.2077903999999996e-05,Gas_SC→Wind,144486.104,819.2307692307693
103,Grand Tower Energy Center LLC,IL,37.6577,-89.511161,1951,Gas_CC,639,1171248000.0,11380872.664,676329.532,Gas,-195.20246054762782,276659.664641015,0.000421145768641015,0.000144486104,Gas_CC→Gas,820815.6359999999,983.0769230769231
601,Tilton,IL,40.106125,-87.653818,1999,Gas_SC,188,123190000.0,1187466.184,70570.855,Wind,-193.2074297700994,70570.855,0.0004917166236410149,0.000421145768641015,Gas_SC→Wind,891386.4909999999,361.53846153846155
860,Grays Ferry Cogeneration,PA,39.942219,-75.188069,1997,Gas_SC,192,865346000.0,12846683.748,638441.926,Gas,-190.70347233314342,343156.2810813933,0.0008348729047224083,0.0004917166236410149,Gas_SC→Gas,1529828.417,295.38461538461536
1049,Zion Energy Center,IL,42.4776,-87.895,2002,Gas_SC,990,582706000.0,6015143.555,358080.61600000004,Wind,-189.04370521052445,358080.61600000004,0.0011929535207224084,0.0008348729047224083,Gas_SC→Wind,1887909.0329999998,1903.846153846154
581,Combustion Turbine Project No 2,CA,38.088138,-121.386944,1996,Gas_SC,50,36125000.0,277134.767,16469.095,Wind,-189.02214789328255,16469.095,0.0012094226157224083,0.0011929535207224084,Gas_SC→Wind,1904378.1279999998,96.15384615384616
308,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Wind,-188.75086445668845,585379.488,0.0017948021037224083,0.0012094226157224085,Coal→Wind,2489757.616,2207.692307692308
1330,Chamon Power LLC,TX,29.883214,-95.111345,2017,Gas_SC,120,44814000.0,403419.687,23972.504,Wind,-186.17608831111284,23972.504,0.0018187746077224084,0.0017948021037224083,Gas_SC→Wind,2513730.12,230.76923076923077
401,Decker Creek,TX,30.3033,-97.6128,1971,Gas_SC,930,718600000.0,8587296.678,486626.463,Wind,-185.99973981310802,486626.463,0.0023054010707224087,0.0018187746077224086,Gas_SC→Wind,3000356.583,1788.4615384615386
998,Edward L. Addison Generating Plant,GA,32.9111,-84.3064,2000,Gas_SC,700,369666000.0,3899301.86,231913.1,Wind,-185.03415389975794,231913.1,0.0025373141707224086,0.0023054010707224087,Gas_SC→Wind,3232269.683,1346.1538461538462
1178,Equus Freeport Power,NY,40.6439,-73.5683,2004,Gas_SC,120,72764000.0,614735.0869999999,36532.631,Wind,-183.68577292860056,36532.631,0.002573846801722409,0.0025373141707224086,Gas_SC→Wind,3268802.3140000002,230.76923076923077
1165,Riverview Energy Center,CA,38.014423,-121.790679,2003,Gas_SC,47,25786000.0,253745.559,15079.223,Wind,-182.57581331170493,15079.223,0.002588926024722409,0.002573846801722409,Gas_SC→Wind,3283881.5370000005,90.38461538461539
854,NAEA Lakewood LLC,NJ,40.0613,-74.1686,1994,Gas_CC,235,165175000.0,1943860.847,115518.244,Wind,-180.92719640439293,115518.244,0.0027044442687224088,0.002588926024722409,Gas_CC→Wind,3399399.7810000004,451.92307692307696
983,Energy Shelby County,IL,39.2794,-88.4772,2000,Gas_SC,480,331805000.0,3069795.5,181122.5,Wind,-177.61716142251518,181122.5,0.002885566768722409,0.0027044442687224088,Gas_SC→Wind,3580522.2810000004,923.0769230769231
628,Glenwood Landing,NY,40.8275,-73.6478,1967,Gas_SC,122,116181000.0,1116843.675,66625.55,Wind,-173.15951641447054,66625.55,0.002952192318722409,0.002885566768722409,Gas_SC→Wind,3647147.8310000002,234.61538461538464
1329,Port Comfort Power LLC,TX,28.64807,-96.54621,2017,Gas_SC,120,50094000.0,444437.984,26412.332,Wind,-172.78605916491034,26412.332,0.002978604650722409,0.002952192318722409,Gas_SC→Wind,3673560.163,230.76923076923077
875,De Pere Energy Center,WI,44.44861,-88.07204,1999,Gas_SC,192,127959000.0,1335709.702,79382.394,Wind,-169.86833145016857,79382.394,0.0030579870447224084,0.002978604650722409,Gas_SC→Wind,3752942.557,369.2307692307692
264,Bergen Generating Station,NJ,40.8375,-74.0244,1959,Gas_CC,1415,1137911000.0,13251579.657,787560.252,Wind,-169.62986165424567,787560.252,0.0038455472967224083,0.0030579870447224084,Gas_CC→Wind,4540502.809,2721.153846153846
351,New Castle Plant,PA,40.937939,-80.369007,1939,Gas_SC,424,595298000.0,6338136.165,376668.958,Gas,-167.28689224730584,173532.92472688528,0.004019080221449293,0.0038455472967224083,Gas_SC→Gas,4917171.767,652.3076923076924
212,Black Dog,MN,44.8108,-93.2501,1952,Gas_CC,1678,1610073000.0,13281633.484,789309.6950000001,Wind,-166.9762105041416,789309.6950000001,0.004808389916449294,0.004019080221449293,Gas_CC→Wind,5706481.462,3226.9230769230767
782,Frontier,OK,35.439722,-97.625,1989,Gas_CC,131,224609000.0,1829087.25,90563.621,Gas,-166.82811706677438,13919.349899742621,0.004822309266349036,0.004808389916449294,Gas_CC→Gas,5797045.083000001,201.53846153846155
385,Cedar Bayou,TX,29.75,-94.9256,1970,Gas_SC,2295,2006819000.0,20382213.632,1211289.521,Wind,-166.18025243151044,1211289.521,0.006033598787349036,0.004822309266349036,Gas_SC→Wind,7008334.604,4413.461538461539
106,Powerton,IL,40.5408,-89.6786,1972,Coal,1784,1043563000.0,12096674.75,1286625.38,Wind,-164.98798605733367,1286625.38,0.007320224167349036,0.006033598787349036,Coal→Wind,8294959.984,3430.7692307692305
1309,Cove Point LNG Terminal,MD,38.385456,-76.409796,1978,Gas_SC,224,1458257000.0,18978570.575,1012755.91,Gas,-161.29747857287606,515148.7578295704,0.007835372925178606,0.007320224167349036,Gas_SC→Gas,9307715.894,344.6153846153846
391,Wilkes,TX,32.848163,-94.547986,1964,Gas_SC,882,751984000.0,7860591.172,467167.276,Gas,-160.87018041180934,210564.62179177173,0.008045937546970378,0.007835372925178606,Gas_SC→Gas,9774883.17,1356.923076923077
1227,Center Hybrid,CA,33.9296,-118.1046,2007,Gas_SC,59,24636000.0,231665.641,13767.381,Solar,-160.04950817131004,13767.381,0.008059704927970378,0.008045937546970378,Gas_SC→Solar,9788650.550999999,184.37499999999997
460,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498,Wind,-159.3278148445003,642438.498,0.008702143425970378,0.008059704927970378,Gas_SC→Wind,10431089.048999999,2057.6923076923076
279,Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,Gas_SC,895,937632000.0,10129449.587,601846.01,Gas,-159.08235028508352,281893.9101274369,0.008984037336097815,0.008702143425970378,Gas_SC→Gas,11032935.058999998,1376.923076923077
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Gas,-158.66677869114372,165127.4086727236,0.009149164744770538,0.008984037336097815,Gas_SC→Gas,11402805.713999998,907.6923076923076
1334,Stanton Energy Reliability Center Hybrid,CA,33.806801,-117.985758,2020,Gas_SC,160,49860000.0,474567.421,28204.887,Solar,-156.3561854887319,28204.887,0.009177369631770538,0.009149164744770538,Gas_SC→Solar,11431010.600999998,500.0
92,Larsen Memorial,FL,28.0797,-81.9228,1956,Gas_CC,158,103643000.0,1452965.512,86352.363,Wind,-156.1077036631856,86352.363,0.009263721994770538,0.009177369631770538,Gas_CC→Wind,11517362.963999998,303.84615384615387
286,74th Street,NY,40.768,-73.9515,1968,Oil,36,280000.0,2475553.925,147554.775,Gas,-155.14102039177857,147459.22942565492,0.009411181224196194,0.009263721994770538,Oil→Gas,11664917.738999998,55.38461538461539
718,Greenleaf 2 Power Plant,CA,39.1365,-121.6397,1989,Gas_SC,49,63901000.0,647270.177,38468.761,Gas,-154.2455522957484,16663.554763484335,0.00942784477895968,0.009411181224196194,Gas_SC→Gas,11703386.499999998,75.38461538461539
154,Big Sandy,KY,38.1707,-82.6176,1963,Coal,1096,948161000.0,9072868.604,539187.029,Gas,-154.17588805021458,215642.07429786812,0.009643486853257546,0.00942784477895968,Coal→Gas,12242573.528999997,1686.1538461538462
512,Dansby,TX,30.7217,-96.4608,1978,Gas_SC,203,184525000.0,2087481.998,124061.837,Gas,-150.60827116401853,61095.59733562772,0.009704582450593174,0.009643486853257546,Gas_SC→Gas,12366635.365999997,312.3076923076923
