,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
837,Birchwood Power,VA,38.2667,-77.3147,1996,Coal,258,99801000.0,1058633.744,108615.784,Wind,-198.92835410994422,108615.784,0.000108615784,0.0,Coal→Wind,108615.784,496.1538461538462
867,Sun Peak Generating Station,NV,36.1375,-115.0339,1991,Gas_SC,222,128077000.0,1529402.831,90890.914,Gas,-198.03954265027897,47186.662123594055,0.00015580244612359406,0.00010861578400000001,Gas_SC→Gas,199506.698,341.53846153846155
699,Energy Center Dover,DE,39.149549,-75.547335,1985,Gas_CC,118,94464000.0,844882.022,50212.926,Wind,-197.11098985628652,50212.926,0.00020601537212359408,0.00015580244612359406,Gas_CC→Wind,249719.624,226.9230769230769
705,Colver Green Energy,PA,40.55,-78.8,1995,Coal,118,558903000.0,6389007.942,238324.927,Gas,-196.9695824210052,47608.112220774085,0.0002536234843443682,0.00020601537212359408,Coal→Gas,488044.551,181.53846153846155
437,West Marinette,WI,45.0869,-87.6881,1971,Gas_SC,185,116588000.0,1464473.521,86512.441,Wind,-194.58801918048084,86512.441,0.00034013592534436817,0.0002536234843443682,Gas_SC→Wind,574556.992,355.7692307692308
128,Whitewater Valley,IN,39.8028,-84.8953,1955,Coal,93,40843000.0,461185.104,47316.611,Wind,-194.0758507664905,47316.611,0.0003874525363443681,0.00034013592534436817,Coal→Wind,621873.603,178.84615384615384
1280,Algonquin Power Sanger LLC,CA,36.6842,-119.5522,1990,Gas_CC,73,52836000.0,536778.508,31900.404,Gas,-193.4961466145459,13870.954121085088,0.0004013234904654532,0.0003874525363443681,Gas_CC→Gas,653774.007,112.3076923076923
909,Madison,OH,39.4522,-84.4647,2000,Gas_SC,688,336247000.0,4064198.31,241521.752,Wind,-193.20121184597983,241521.752,0.0006428452424654533,0.0004013234904654532,Gas_SC→Wind,895295.759,1323.0769230769233
700,Gilroy Power Plant,CA,37.0001,-121.5367,1987,Gas_CC,130,116154000.0,940467.78,55885.3,Gas,-192.87612532443188,16249.583419723633,0.0006590948258851769,0.0006428452424654533,Gas_CC→Gas,951181.059,200.0
1178,Equus Freeport Power,NY,40.6439,-73.5683,2004,Gas_SC,120,72764000.0,614735.0869999999,36532.631,Wind,-192.42684032070673,36532.631,0.0006956274568851769,0.0006590948258851769,Gas_SC→Wind,987713.6900000001,230.76923076923077
92,Larsen Memorial,FL,28.0797,-81.9228,1956,Gas_CC,158,103643000.0,1452965.512,86352.363,Gas,-192.2709670249665,50985.827421977854,0.0007466132843071548,0.0006956274568851769,Gas_CC→Gas,1074066.053,243.0769230769231
743,Camden Plant Holdings LLC,NJ,39.9175,-75.1192,1993,Gas_CC,172,119443000.0,1073546.751,63797.797,Wind,-191.32578138031846,63797.797,0.0008104110813071548,0.0007466132843071548,Gas_CC→Wind,1137863.85,330.76923076923083
