,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
1092,Limon Generating Station,CO,39.2038,-103.7005,2002,Gas_SC,154,71243000.0,874973.2860000001,52077.904,Wind,-199.90924349904859,52077.904,5.2077904e-05,0.0,Gas_SC→Wind,52077.904,296.1538461538462
1322,Bacliff,TX,29.49233,-94.98483,2018,Gas_SC,426,129998000.0,1566138.4,92408.2,Wind,-198.3932634973979,92408.2,0.000144486104,5.2077903999999996e-05,Gas_SC→Wind,144486.104,819.2307692307693
601,Tilton,IL,40.106125,-87.653818,1999,Gas_SC,188,123190000.0,1187466.184,70570.855,Wind,-193.2074297700994,70570.855,0.00021505695899999997,0.000144486104,Gas_SC→Wind,215056.95899999997,361.53846153846155
695,Astoria Generating Station,NY,40.787674,-73.912561,1954,Gas_SC,1345,1522144000.0,8977037.817,533408.173,Wind,-192.07554404444505,533408.173,0.0007484651319999999,0.00021505695900000003,Gas_SC→Wind,748465.132,2586.538461538462
14,Ocotillo,AZ,33.4225,-111.9122,1960,Gas_SC,1137,778366000.0,6998883.022,415931.12,Solar,-189.15452639858785,415931.12,0.001164396252,0.0007484651319999998,Gas_SC→Solar,1164396.2519999999,3553.1249999999995
1049,Zion Energy Center,IL,42.4776,-87.895,2002,Gas_SC,990,582706000.0,6015143.555,358080.61600000004,Wind,-189.04370521052445,358080.61600000004,0.0015224768679999998,0.001164396252,Gas_SC→Wind,1522476.8679999998,1903.846153846154
581,Combustion Turbine Project No 2,CA,38.088138,-121.386944,1996,Gas_SC,50,36125000.0,277134.767,16469.095,Wind,-189.02214789328255,16469.095,0.0015389459629999997,0.0015224768679999998,Gas_SC→Wind,1538945.9629999998,96.15384615384616
308,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Wind,-188.75086445668845,585379.488,0.0021243254509999998,0.001538945963,Coal→Wind,2124325.451,2207.692307692308
1330,Chamon Power LLC,TX,29.883214,-95.111345,2017,Gas_SC,120,44814000.0,403419.687,23972.504,Wind,-186.17608831111284,23972.504,0.002148297955,0.0021243254509999998,Gas_SC→Wind,2148297.955,230.76923076923077
401,Decker Creek,TX,30.3033,-97.6128,1971,Gas_SC,930,718600000.0,8587296.678,486626.463,Wind,-185.99973981310802,486626.463,0.002634924418,0.002148297955,Gas_SC→Wind,2634924.418,1788.4615384615386
998,Edward L. Addison Generating Plant,GA,32.9111,-84.3064,2000,Gas_SC,700,369666000.0,3899301.86,231913.1,Wind,-185.03415389975794,231913.1,0.002866837518,0.002634924418,Gas_SC→Wind,2866837.518,1346.1538461538462
1178,Equus Freeport Power,NY,40.6439,-73.5683,2004,Gas_SC,120,72764000.0,614735.0869999999,36532.631,Wind,-183.68577292860056,36532.631,0.002903370149,0.002866837518,Gas_SC→Wind,2903370.149,230.76923076923077
1165,Riverview Energy Center,CA,38.014423,-121.790679,2003,Gas_SC,47,25786000.0,253745.559,15079.223,Wind,-182.57581331170493,15079.223,0.0029184493720000003,0.002903370149,Gas_SC→Wind,2918449.3720000004,90.38461538461539
854,NAEA Lakewood LLC,NJ,40.0613,-74.1686,1994,Gas_CC,235,165175000.0,1943860.847,115518.244,Wind,-180.92719640439293,115518.244,0.0030339676160000004,0.0029184493720000003,Gas_CC→Wind,3033967.6160000004,451.92307692307696
983,Energy Shelby County,IL,39.2794,-88.4772,2000,Gas_SC,480,331805000.0,3069795.5,181122.5,Wind,-177.61716142251518,181122.5,0.0032150901160000003,0.0030339676160000004,Gas_SC→Wind,3215090.1160000004,923.0769230769231
628,Glenwood Landing,NY,40.8275,-73.6478,1967,Gas_SC,122,116181000.0,1116843.675,66625.55,Wind,-173.15951641447054,66625.55,0.003281715666,0.0032150901160000003,Gas_SC→Wind,3281715.666,234.61538461538464
1329,Port Comfort Power LLC,TX,28.64807,-96.54621,2017,Gas_SC,120,50094000.0,444437.984,26412.332,Wind,-172.78605916491034,26412.332,0.003308127998,0.003281715666,Gas_SC→Wind,3308127.998,230.76923076923077
875,De Pere Energy Center,WI,44.44861,-88.07204,1999,Gas_SC,192,127959000.0,1335709.702,79382.394,Wind,-169.86833145016857,79382.394,0.003387510392,0.003308127998,Gas_SC→Wind,3387510.392,369.2307692307692
264,Bergen Generating Station,NJ,40.8375,-74.0244,1959,Gas_CC,1415,1137911000.0,13251579.657,787560.252,Wind,-169.62986165424567,787560.252,0.0041750706439999995,0.003387510392,Gas_CC→Wind,4175070.644,2721.153846153846
212,Black Dog,MN,44.8108,-93.2501,1952,Gas_CC,1678,1610073000.0,13281633.484,789309.6950000001,Wind,-166.9762105041416,789309.6950000001,0.004964380339,0.0041750706439999995,Gas_CC→Wind,4964380.339,3226.9230769230767
385,Cedar Bayou,TX,29.75,-94.9256,1970,Gas_SC,2295,2006819000.0,20382213.632,1211289.521,Wind,-166.18025243151044,1211289.521,0.006175669859999999,0.004964380339,Gas_SC→Wind,6175669.859999999,4413.461538461539
106,Powerton,IL,40.5408,-89.6786,1972,Coal,1784,1043563000.0,12096674.75,1286625.38,Wind,-164.98798605733367,1286625.38,0.007462295239999999,0.006175669859999999,Coal→Wind,7462295.239999999,3430.7692307692305
391,Wilkes,TX,32.848163,-94.547986,1964,Gas_SC,882,751984000.0,7860591.172,467167.276,Wind,-160.12918765345074,467167.276,0.007929462516,0.007462295239999999,Gas_SC→Wind,7929462.515999999,1696.1538461538462
1227,Center Hybrid,CA,33.9296,-118.1046,2007,Gas_SC,59,24636000.0,231665.641,13767.381,Solar,-160.04950817131004,13767.381,0.007943229896999998,0.007929462516,Gas_SC→Solar,7943229.896999999,184.37499999999997
460,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498,Wind,-159.3278148445003,642438.498,0.008585668395,0.007943229897,Gas_SC→Wind,8585668.395,2057.6923076923076
1334,Stanton Energy Reliability Center Hybrid,CA,33.806801,-117.985758,2020,Gas_SC,160,49860000.0,474567.421,28204.887,Solar,-156.3561854887319,28204.887,0.008613873281999999,0.008585668395,Gas_SC→Solar,8613873.282,500.0
92,Larsen Memorial,FL,28.0797,-81.9228,1956,Gas_CC,158,103643000.0,1452965.512,86352.363,Wind,-156.1077036631856,86352.363,0.008700225645,0.008613873281999999,Gas_CC→Wind,8700225.645,303.84615384615387
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Wind,-152.05621654763678,369870.655,0.009070096299999999,0.008700225645,Gas_SC→Wind,9070096.299999999,1134.6153846153845
641,Harlem River Yard,NY,40.7991,-73.9156,2001,Gas_SC,94,68281000.0,612916.188,36424.699,Wind,-143.8911530748994,36424.699,0.009106520998999997,0.009070096299999999,Gas_SC→Wind,9106520.998999998,180.76923076923077
512,Dansby,TX,30.7217,-96.4608,1978,Gas_SC,203,184525000.0,2087481.998,124061.837,Wind,-143.671580234739,124061.837,0.009230582835999998,0.009106520998999997,Gas_SC→Wind,9230582.835999997,390.3846153846154
1239,Hardin County Peaking Facility,TX,30.3038,-94.2526,2001,Gas_SC,172,96045000.0,1176841.821,69936.379,Wind,-143.65888902268154,69936.379,0.009300519214999999,0.009230582835999998,Gas_SC→Wind,9300519.214999998,330.76923076923083
1018,Baconton Power Plant,GA,31.3869,-84.08,2000,Gas_SC,240,153500000.0,1459241.299,86724.126,Wind,-142.84932539261771,86724.126,0.009387243340999997,0.009300519214999999,Gas_SC→Wind,9387243.340999998,461.53846153846155
1280,Algonquin Power Sanger LLC,CA,36.6842,-119.5522,1990,Gas_CC,73,52836000.0,536778.508,31900.404,Solar,-142.27048295875102,31900.404,0.009419143744999997,0.009387243340999997,Gas_CC→Solar,9419143.744999997,228.12499999999997
333,Mustang,OK,35.46988,-97.67498,1950,Gas_SC,995,1161180000.0,10664970.871,629325.727,Wind,-140.3127601644342,629325.727,0.010048469471999997,0.009419143744999997,Gas_SC→Wind,10048469.471999997,1913.4615384615383
154,Big Sandy,KY,38.1707,-82.6176,1963,Coal,1096,948161000.0,9072868.604,539187.029,Wind,-138.10798253692502,539187.029,0.010587656500999996,0.010048469471999997,Coal→Wind,10587656.500999996,2107.6923076923076
827,Indeck Olean Energy Center,NY,42.085944,-78.45425,1994,Gas_CC,90,87172000.0,748123.9500000001,44458.975,Wind,-135.67486832237967,44458.975,0.010632115475999996,0.010587656500999996,Gas_CC→Wind,10632115.475999996,173.0769230769231
