,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,ori_rep,new_capacity,cum_emission,cum_red,cum_red_prev
1092,Limon Generating Station,CO,39.2038,-103.7005,2002,Gas_SC,154,71243000.0,874973.2860000001,52077.904,Wind,-199.90924349904859,52077.904,Gas_SC→Wind,296.1538461538462,52077.904,5.2077904e-05,0.0
1322,Bacliff,TX,29.49233,-94.98483,2018,Gas_SC,426,129998000.0,1566138.4,92408.2,Wind,-198.3932634973979,92408.2,Gas_SC→Wind,819.2307692307693,144486.104,0.000144486104,5.2077903999999996e-05
154,Big Sandy,KY,38.1707,-82.6176,1963,Coal,1096,948161000.0,9072868.604,539187.029,Gas,-194.38035798751443,215642.07429786812,Coal→Gas,1686.1538461538462,683673.1329999999,0.0003601281782978681,0.000144486104
601,Tilton,IL,40.106125,-87.653818,1999,Gas_SC,188,123190000.0,1187466.184,70570.855,Wind,-193.2074297700994,70570.855,Gas_SC→Wind,361.53846153846155,754243.9879999999,0.0004306990332978681,0.0003601281782978681
695,Astoria Generating Station,NY,40.787674,-73.912561,1954,Gas_SC,1345,1522144000.0,8977037.817,533408.173,Wind,-192.07554404444505,533408.173,Gas_SC→Wind,2586.538461538462,1287652.1609999998,0.0009641072062978681,0.0004306990332978681
14,Ocotillo,AZ,33.4225,-111.9122,1960,Gas_SC,1137,778366000.0,6998883.022,415931.12,Solar,-189.15452639858785,415931.12,Gas_SC→Solar,3553.1249999999995,1703583.281,0.001380038326297868,0.0009641072062978681
1049,Zion Energy Center,IL,42.4776,-87.895,2002,Gas_SC,990,582706000.0,6015143.555,358080.61600000004,Wind,-189.04370521052445,358080.61600000004,Gas_SC→Wind,1903.846153846154,2061663.8969999999,0.0017381189422978679,0.001380038326297868
581,Combustion Turbine Project No 2,CA,38.088138,-121.386944,1996,Gas_SC,50,36125000.0,277134.767,16469.095,Wind,-189.02214789328255,16469.095,Gas_SC→Wind,96.15384615384616,2078132.9919999999,0.001754588037297868,0.0017381189422978679
308,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Wind,-188.75086445668845,585379.488,Coal→Wind,2207.692307692308,2663512.48,0.0023399675252978682,0.0017545880372978682
1330,Chamon Power LLC,TX,29.883214,-95.111345,2017,Gas_SC,120,44814000.0,403419.687,23972.504,Wind,-186.17608831111284,23972.504,Gas_SC→Wind,230.76923076923077,2687484.984,0.002363940029297868,0.0023399675252978682
401,Decker Creek,TX,30.3033,-97.6128,1971,Gas_SC,930,718600000.0,8587296.678,486626.463,Wind,-185.99973981310802,486626.463,Gas_SC→Wind,1788.4615384615386,3174111.447,0.0028505664922978684,0.002363940029297868
998,Edward L. Addison Generating Plant,GA,32.9111,-84.3064,2000,Gas_SC,700,369666000.0,3899301.86,231913.1,Wind,-185.03415389975794,231913.1,Gas_SC→Wind,1346.1538461538462,3406024.5470000003,0.0030824795922978683,0.0028505664922978684
1178,Equus Freeport Power,NY,40.6439,-73.5683,2004,Gas_SC,120,72764000.0,614735.0869999999,36532.631,Wind,-183.68577292860056,36532.631,Gas_SC→Wind,230.76923076923077,3442557.1780000003,0.0031190122232978685,0.0030824795922978683
1165,Riverview Energy Center,CA,38.014423,-121.790679,2003,Gas_SC,47,25786000.0,253745.559,15079.223,Wind,-182.57581331170493,15079.223,Gas_SC→Wind,90.38461538461539,3457636.4010000005,0.0031340914462978688,0.0031190122232978685
854,NAEA Lakewood LLC,NJ,40.0613,-74.1686,1994,Gas_CC,235,165175000.0,1943860.847,115518.244,Wind,-180.92719640439293,115518.244,Gas_CC→Wind,451.92307692307696,3573154.6450000005,0.0032496096902978684,0.0031340914462978688
983,Energy Shelby County,IL,39.2794,-88.4772,2000,Gas_SC,480,331805000.0,3069795.5,181122.5,Wind,-177.61716142251518,181122.5,Gas_SC→Wind,923.0769230769231,3754277.1450000005,0.0034307321902978687,0.0032496096902978684
628,Glenwood Landing,NY,40.8275,-73.6478,1967,Gas_SC,122,116181000.0,1116843.675,66625.55,Wind,-173.15951641447054,66625.55,Gas_SC→Wind,234.61538461538464,3820902.6950000003,0.0034973577402978686,0.0034307321902978687
1329,Port Comfort Power LLC,TX,28.64807,-96.54621,2017,Gas_SC,120,50094000.0,444437.984,26412.332,Wind,-172.78605916491034,26412.332,Gas_SC→Wind,230.76923076923077,3847315.0270000002,0.0035237700722978685,0.0034973577402978686
875,De Pere Energy Center,WI,44.44861,-88.07204,1999,Gas_SC,192,127959000.0,1335709.702,79382.394,Wind,-169.86833145016857,79382.394,Gas_SC→Wind,369.2307692307692,3926697.421,0.003603152466297868,0.0035237700722978685
264,Bergen Generating Station,NJ,40.8375,-74.0244,1959,Gas_CC,1415,1137911000.0,13251579.657,787560.252,Wind,-169.62986165424567,787560.252,Gas_CC→Wind,2721.153846153846,4714257.673,0.004390712718297868,0.003603152466297868
212,Black Dog,MN,44.8108,-93.2501,1952,Gas_CC,1678,1610073000.0,13281633.484,789309.6950000001,Wind,-166.9762105041416,789309.6950000001,Gas_CC→Wind,3226.9230769230767,5503567.368000001,0.005180022413297868,0.004390712718297868
385,Cedar Bayou,TX,29.75,-94.9256,1970,Gas_SC,2295,2006819000.0,20382213.632,1211289.521,Wind,-166.18025243151044,1211289.521,Gas_SC→Wind,4413.461538461539,6714856.889,0.0063913119342978685,0.005180022413297868
106,Powerton,IL,40.5408,-89.6786,1972,Coal,1784,1043563000.0,12096674.75,1286625.38,Wind,-164.98798605733367,1286625.38,Coal→Wind,3430.7692307692305,8001482.269,0.007677937314297868,0.0063913119342978685
391,Wilkes,TX,32.848163,-94.547986,1964,Gas_SC,882,751984000.0,7860591.172,467167.276,Wind,-160.12918765345074,467167.276,Gas_SC→Wind,1696.1538461538462,8468649.545,0.008145104590297868,0.007677937314297868
1227,Center Hybrid,CA,33.9296,-118.1046,2007,Gas_SC,59,24636000.0,231665.641,13767.381,Solar,-160.04950817131004,13767.381,Gas_SC→Solar,184.37499999999997,8482416.925999999,0.008158871971297868,0.008145104590297868
460,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498,Wind,-159.3278148445003,642438.498,Gas_SC→Wind,2057.6923076923076,9124855.423999999,0.008801310469297868,0.008158871971297868
1334,Stanton Energy Reliability Center Hybrid,CA,33.806801,-117.985758,2020,Gas_SC,160,49860000.0,474567.421,28204.887,Solar,-156.3561854887319,28204.887,Gas_SC→Solar,500.0,9153060.310999999,0.008829515356297868,0.008801310469297868
92,Larsen Memorial,FL,28.0797,-81.9228,1956,Gas_CC,158,103643000.0,1452965.512,86352.363,Wind,-156.1077036631856,86352.363,Gas_CC→Wind,303.84615384615387,9239412.673999999,0.008915867719297867,0.008829515356297868
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Wind,-152.05621654763678,369870.655,Gas_SC→Wind,1134.6153846153845,9609283.328999998,0.009285738374297867,0.008915867719297867
641,Harlem River Yard,NY,40.7991,-73.9156,2001,Gas_SC,94,68281000.0,612916.188,36424.699,Wind,-143.8911530748994,36424.699,Gas_SC→Wind,180.76923076923077,9645708.027999997,0.009322163073297866,0.009285738374297867
512,Dansby,TX,30.7217,-96.4608,1978,Gas_SC,203,184525000.0,2087481.998,124061.837,Wind,-143.671580234739,124061.837,Gas_SC→Wind,390.3846153846154,9769769.864999996,0.009446224910297864,0.009322163073297866
1239,Hardin County Peaking Facility,TX,30.3038,-94.2526,2001,Gas_SC,172,96045000.0,1176841.821,69936.379,Wind,-143.65888902268154,69936.379,Gas_SC→Wind,330.76923076923083,9839706.243999997,0.009516161289297866,0.009446224910297864
1018,Baconton Power Plant,GA,31.3869,-84.08,2000,Gas_SC,240,153500000.0,1459241.299,86724.126,Wind,-142.84932539261771,86724.126,Gas_SC→Wind,461.53846153846155,9926430.369999997,0.009602885415297866,0.009516161289297866
1280,Algonquin Power Sanger LLC,CA,36.6842,-119.5522,1990,Gas_CC,73,52836000.0,536778.508,31900.404,Solar,-142.27048295875102,31900.404,Gas_CC→Solar,228.12499999999997,9958330.773999996,0.009634785819297866,0.009602885415297866
333,Mustang,OK,35.46988,-97.67498,1950,Gas_SC,995,1161180000.0,10664970.871,629325.727,Wind,-140.3127601644342,629325.727,Gas_SC→Wind,1913.4615384615383,10587656.500999996,0.010264111546297866,0.009634785819297866
827,Indeck Olean Energy Center,NY,42.085944,-78.45425,1994,Gas_CC,90,87172000.0,748123.9500000001,44458.975,Wind,-135.67486832237967,44458.975,Gas_CC→Wind,173.0769230769231,10632115.475999996,0.010308570521297864,0.010264111546297866
1240,Culbertson Generation Station,MT,48.21,-104.391667,2010,Gas_SC,91,52930000.0,478814.661,28455.947,Wind,-135.61076874743827,28455.947,Gas_SC→Wind,175.00000000000003,10660571.422999997,0.010337026468297865,0.010308570521297864
168,R S Nelson,LA,30.2844,-93.2911,1959,Gas_SC,1594,1017215000.0,11279371.814,1182981.035,Wind,-135.28710127172118,1182981.035,Gas_SC→Wind,3065.3846153846152,11843552.457999997,0.011520007503297866,0.010337026468297865
1003,Aurora,IL,41.8151,-88.2265,2001,Gas_SC,1080,824938000.0,7770818.632,461804.32,Wind,-134.8532763411214,461804.32,Gas_SC→Wind,2076.923076923077,12305356.777999997,0.011981811823297866,0.011520007503297866
286,74th Street,NY,40.768,-73.9515,1968,Oil,36,280000.0,2475553.925,147554.775,Gas,-134.7870548494639,147459.22942565492,Oil→Gas,55.38461538461539,12452911.552999998,0.012129271052723522,0.011981811823297866
447,Barney M Davis,TX,27.6064,-97.3117,1974,Gas_CC,1081,1335596000.0,10299947.489,612109.759,Wind,-133.60964525700203,612109.759,Gas_CC→Wind,2078.846153846154,13065021.311999997,0.012741380811723522,0.012129271052723522
