,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
407,O W Sommers,TX,29.308056,-98.3242,1972,Gas_SC,892,979976000.0,10762585.211,639604.099,Gas,-199.82895659243152,305202.7784129095,0.00030520277841290946,0.0,Gas_SC→Gas,639604.099,1372.3076923076924
460,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498,Gas,-199.26151538700464,292396.7081268154,0.0005975994865397248,0.00030520277841290946,Gas_SC→Gas,1282042.597,1646.1538461538462
336,Southwestern,OK,35.1009,-98.3524,1952,Gas_SC,657,504821000.0,6010680.263,356641.376,Gas,-198.4722269779255,184379.18890552456,0.0007819786754452494,0.0005975994865397248,Gas_SC→Gas,1638683.973,1010.7692307692308
447,Barney M Davis,TX,27.6064,-97.3117,1974,Gas_CC,1081,1335596000.0,10299947.489,612109.759,Gas,-194.1203964486049,156358.73431078735,0.0009383374097560367,0.0007819786754452493,Gas_CC→Gas,2250793.732,1663.076923076923
743,Camden Plant Holdings LLC,NJ,39.9175,-75.1192,1993,Gas_CC,172,119443000.0,1073546.751,63797.797,Gas,-190.92342747628544,23039.76115536313,0.0009613771709113999,0.0009383374097560367,Gas_CC→Gas,2314591.5289999996,264.6153846153846
128,Whitewater Valley,IN,39.8028,-84.8953,1955,Coal,93,40843000.0,461185.104,47316.611,Gas,-189.75854549790606,33379.58281080094,0.0009947567537222008,0.0009613771709113999,Coal→Gas,2361908.1399999997,143.07692307692307
863,Milford Power LP,MA,42.129361,-71.511496,1993,Gas_CC,248,207225000.0,1756061.57,104361.763,Gas,-189.5892494292822,33649.50712979518,0.001028406260851996,0.0009947567537222008,Gas_CC→Gas,2466269.9029999995,381.53846153846155
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Gas,-187.59476611933266,165127.4086727236,0.0011935336695247196,0.0010284062608519962,Gas_SC→Gas,2836140.5579999993,907.6923076923076
809,Carr Street Generating Station,NY,43.06132,-76.08239,1993,Gas_CC,121,73459000.0,937994.117,55745.064,Gas,-181.47610462701385,30678.341336376514,0.0012242120108610962,0.0011935336695247196,Gas_CC→Gas,2891885.621999999,186.15384615384616
205,J B Sims,MI,43.0706,-86.235,1983,Coal,80,38619000.0,356919.835,36621.025,Gas,-180.94009663241692,23442.901658456074,0.0012476549125195523,0.0012242120108610962,Coal→Gas,2928506.646999999,123.07692307692308
279,Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,Gas_SC,895,937632000.0,10129449.587,601846.01,Gas,-179.4059076463613,281893.9101274369,0.0015295488226469893,0.0012476549125195523,Gas_SC→Gas,3530352.6569999987,1376.923076923077
170,Teche,LA,29.822222,-91.5425,1953,Gas_SC,467,503159000.0,5116865.048,304082.141,Gas,-171.357112183677,132387.08513610138,0.0016619359077830907,0.0015295488226469893,Gas_SC→Gas,3834434.7979999986,718.4615384615385
166,Cooper,KY,36.9981,-84.5919,1965,Coal,343,176455000.0,1722022.663,176678.565,Gas,-168.599149257694,116466.08528193031,0.001778401993065021,0.0016619359077830907,Coal→Gas,4011113.3629999985,527.6923076923077
740,Masspower,MA,42.1575,-72.5225,1993,Gas_CC,260,256404000.0,2995553.975,178018.8,Gas,-165.94558944780078,90524.9876986657,0.0018689269807636868,0.001778401993065021,Gas_CC→Gas,4189132.1629999983,400.0
95,Arvah B Hopkins,FL,30.4522,-84.4,1970,Gas_CC,1107,1412279000.0,11056639.06,657115.279,Gas,-164.51029898445722,175197.3926054192,0.002044124373369106,0.0018689269807636868,Gas_CC→Gas,4846247.441999998,1703.076923076923
378,Nueces Bay,TX,27.819412,-97.419203,1949,Gas_CC,941,1252086000.0,9111852.548,541505.7170000001,Gas,-162.64586247268238,114251.1598592049,0.0021583755332283106,0.002044124373369106,Gas_CC→Gas,5387753.158999998,1447.6923076923078
116,Harding Street,IN,39.711319,-86.196867,1941,Gas_SC,1176,1737404000.0,17931821.542,1065762.083,Gas,-160.6200690625568,472900.4292520578,0.0026312759624803686,0.0021583755332283106,Gas_SC→Gas,6453515.241999999,1809.2307692307693
17,Yucca,AZ,32.7214,-114.7106,1959,Gas_SC,421,425651000.0,4890130.695,290612.052,Gas,-157.88251732481274,145365.37605159343,0.0027766413385319623,0.0026312759624803686,Gas_SC→Gas,6744127.293999999,647.6923076923077
379,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317,Gas,-157.77829540105367,115897.19420942094,0.002892538532741383,0.0027766413385319623,Gas_CC→Gas,7189709.610999999,1095.3846153846155
551,Hay Road,DE,39.7436,-75.5072,1989,Gas_CC,1193,1209513000.0,14348604.639,852744.125,Gas,-156.21581318919837,440016.9312041788,0.003332555463945562,0.002892538532741383,Gas_CC→Gas,8042453.735999999,1835.3846153846152
321,Conesville,OH,40.1842,-81.8811,1957,Coal,2172,1177468000.0,11834871.111,1213470.392,Gas,-154.47462119017618,811678.0479537781,0.00414423351189934,0.003332555463945562,Coal→Gas,9255924.127999999,3341.5384615384614
308,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Gas,-153.42317804560156,367550.934031972,0.004511784445931311,0.0041442335118993395,Coal→Gas,9841303.615999999,1766.1538461538462
35,AES Huntington Beach LLC,CA,33.6439,-117.9792,1958,Gas_SC,1021,1322790000.0,9458494.236,562099.998,Gas,-152.47664826833685,110718.81840029801,0.00462250326433161,0.004511784445931311,Gas_SC→Gas,10403403.613999998,1570.7692307692307
44,Haynes,CA,33.764741,-118.09913,1962,Gas_SC,2882,3802589000.0,28051436.0,1636605.754,Gas,-148.01787129182065,339032.361131252,0.004961535625462862,0.00462250326433161,Gas_SC→Gas,12040009.367999999,4433.846153846154
223,Jack Watson,MS,30.4392,-89.0286,1957,Gas_SC,1212,2392307000.0,23890945.719,1416769.574,Gas,-147.47845591176176,600432.622840236,0.005561968248303097,0.004961535625462862,Gas_SC→Gas,13456778.941999998,1864.6153846153848
333,Mustang,OK,35.46988,-97.67498,1950,Gas_SC,995,1161180000.0,10664970.871,629325.727,Gas,-146.45824952392587,233091.40550710843,0.005795059653810206,0.005561968248303097,Gas_SC→Gas,14086104.668999998,1530.7692307692307
960,Valmont Combustion Turbine Project,CO,40.0205,-105.2009,2000,Gas_SC,142,11525000.0,112696.771,6697.747,Solar,-143.27103819865448,6697.747,0.0058017574008102065,0.005795059653810206,Gas_SC→Solar,14092802.415999997,443.74999999999994
1153,Island Street Peaking Plant,WI,44.2761,-88.2658,2004,Gas_SC,60,3308000.0,35796.072,2127.082,Solar,-139.802390940718,2127.082,0.005803884482810206,0.0058017574008102065,Gas_SC→Solar,14094929.497999998,187.5
331,Horseshoe Lake,OK,35.50866,-97.17969,1958,Gas_SC,973,1100144000.0,11918441.24,708294.052,Gas,-136.2706354138067,332887.30077755766,0.006136771783587764,0.005803884482810206,Gas_SC→Gas,14803223.549999997,1496.923076923077
958,Kinmundy,IL,38.7619,-89.0128,2001,Gas_SC,270,18249000.0,208157.654,12370.72,Solar,-134.56706185556442,12370.72,0.006149142503587764,0.006136771783587764,Gas_SC→Solar,14815594.269999998,843.75
1079,Green Power 2,TX,29.378097,-94.932773,2003,Gas_CC,861,1322500000.0,48285090.776,2869502.616,Gas,-134.1740786839256,2418220.394316584,0.008567362897904348,0.006149142503587764,Gas_CC→Gas,17685096.885999996,1324.6153846153848
759,Paris Energy Center,TX,33.6968,-95.5577,1989,Gas_CC,264,408641000.0,3474746.948,206500.832,Gas,-128.8812925965986,67058.54969305647,0.008634421447597405,0.008567362897904348,Gas_CC→Gas,17891597.717999995,406.1538461538462
171,Little Gypsy,LA,30.005067,-90.461694,1961,Gas_SC,1249,1713462000.0,18307564.102,1087990.954,Gas,-126.75024518342481,503299.12932694936,0.009137720576924354,0.008634421447597405,Gas_SC→Gas,18979588.671999995,1921.5384615384617
710,Castleton Energy Center,NY,42.5375,-73.7433,1992,Gas_CC,72,81970000.0,739155.058,43928.712,Gas,-124.21905617748338,15957.745110480446,0.009153678322034835,0.009137720576924354,Gas_CC→Gas,19023517.383999996,110.76923076923077
