,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
264,,,Bergen Generating Station,NJ,40.8375,-74.0244,1959,Gas_CC,1415,1137911000.0,13251579.657,787560.252,Gas,-194.46828767413518,399266.108969378,0.000399266108969378,0.0,Gas_CC→Gas,787560.252,2176.9230769230767
19,,,H Wilson Sundt Generating Station,AZ,32.16,-110.9047,1958,Gas_SC,736,1016524000.0,10599106.418,629887.725,Gas,-190.81559629152088,283014.9770873249,0.0006822810860567029,0.000399266108969378,Gas_SC→Gas,1417447.977,1132.3076923076924
308,,,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Wind,-188.75086445668845,585379.488,0.0012676605740567029,0.0006822810860567029,Coal→Wind,2002827.4649999999,2207.692307692308
33,,,AES Alamitos LLC,CA,33.7688,-118.1009,1956,Gas_SC,2055,1785596000.0,15163913.192,901172.842,Gas,-187.17451892303842,291866.4299704946,0.0015595270040271976,0.001267660574056703,Gas_SC→Gas,2904000.307,3161.5384615384614
401,,,Decker Creek,TX,30.3033,-97.6128,1971,Gas_SC,930,718600000.0,8587296.678,486626.463,Wind,-185.99973981310802,486626.463,0.0020461534670271975,0.0015595270040271976,Gas_SC→Wind,3390626.77,1788.4615384615386
45,,,Scattergood,CA,33.918151,-118.427648,1958,Gas_SC,1714,1773127000.0,13597388.757,794092.53,Gas,-177.3332409150218,189040.96713659714,0.002235194434163795,0.0020461534670271975,Gas_SC→Gas,4184719.3,2636.9230769230767
628,,,Glenwood Landing,NY,40.8275,-73.6478,1967,Gas_SC,122,116181000.0,1116843.675,66625.55,Wind,-173.15951641447054,66625.55,0.002301819984163795,0.002235194434163795,Gas_SC→Wind,4251344.85,234.61538461538464
460,,,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498,Gas,-168.94854578799448,292396.7081268154,0.00259421669229061,0.002301819984163795,Gas_SC→Gas,4893783.347999999,1646.1538461538462
212,,,Black Dog,MN,44.8108,-93.2501,1952,Gas_CC,1678,1610073000.0,13281633.484,789309.6950000001,Wind,-166.9762105041416,789309.6950000001,0.00338352638729061,0.0025942166922906097,Gas_CC→Wind,5683093.043,3226.9230769230767
385,,,Cedar Bayou,TX,29.75,-94.9256,1970,Gas_SC,2295,2006819000.0,20382213.632,1211289.521,Wind,-166.18025243151044,1211289.521,0.00459481590829061,0.00338352638729061,Gas_SC→Wind,6894382.563999999,4413.461538461539
