,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
391,Wilkes,TX,32.848163,-94.547986,1964,Gas_SC,882,751984000.0,7860591.172,467167.276,Gas,-198.55904070201217,210564.62179177173,0.00021056462179177174,0.0,Gas_Gas,467167.276
385,Cedar Bayou,TX,29.75,-94.9256,1970,Gas_SC,2295,2006819000.0,20382213.632,1211289.521,Gas,-198.42962395868426,526494.2568514243,0.000737058878643196,0.00021056462179177174,Gas_Gas,1678456.797
3,Greene County,AL,32.6017,-87.7811,1965,Gas_SC,1288,1153839000.0,11641749.925,696954.552,Gas,-192.26441378483406,303225.2307259198,0.0010402841093691158,0.000737058878643196,Gas_Gas,2375411.349
460,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498,Gas,-186.27782253105102,292396.7081268154,0.0013326808174959313,0.001040284109369116,Gas_Gas,3017849.847
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Gas,-177.80722904543725,165127.4086727236,0.0014978082261686552,0.0013326808174959313,Gas_Gas,3387720.5020000003
205,J B Sims,MI,43.0706,-86.235,1983,Coal,80,38619000.0,356919.835,36621.025,Gas,-176.79036297380605,23442.901658456074,0.0015212511278271112,0.0014978082261686552,Coal_Gas,3424341.5270000002
128,Whitewater Valley,IN,39.8028,-84.8953,1955,Coal,93,40843000.0,461185.104,47316.611,Gas,-176.06665734985293,33379.58281080094,0.0015546307106379122,0.0015212511278271112,Coal_Gas,3471658.1380000003
171,Little Gypsy,LA,30.005067,-90.461694,1961,Gas_SC,1249,1713462000.0,18307564.102,1087990.954,Gas,-172.25123555554612,503299.12932694936,0.0020579298399648616,0.0015546307106379122,Gas_Gas,4559649.092
809,Carr Street Generating Station,NY,43.06132,-76.08239,1993,Gas_CC,121,73459000.0,937994.117,55745.064,Gas,-170.72544594374932,30678.341336376514,0.002088608181301238,0.0020579298399648616,Gas_Gas,4615394.156
512,Dansby,TX,30.7217,-96.4608,1978,Gas_SC,203,184525000.0,2087481.998,124061.837,Gas,-170.663220326697,61095.59733562772,0.0021497037786368657,0.002088608181301238,Gas_Gas,4739455.993000001
279,Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,Gas_SC,895,937632000.0,10129449.587,601846.01,Gas,-169.10388403885966,281893.9101274369,0.0024315976887643027,0.0021497037786368657,Gas_Gas,5341302.0030000005
166,Cooper,KY,36.9981,-84.5919,1965,Coal,343,176455000.0,1722022.663,176678.565,Gas,-167.79735767501157,116466.08528193031,0.002548063774046233,0.0024315976887643027,Coal_Gas,5517980.568000001
333,Mustang,OK,35.46988,-97.67498,1950,Gas_SC,995,1161180000.0,10664970.871,629325.727,Gas,-165.80425930574668,233091.40550710843,0.002781155179553341,0.002548063774046233,Gas_Gas,6147306.295000001
551,Hay Road,DE,39.7436,-75.5072,1989,Gas_CC,1193,1209513000.0,14348604.639,852744.125,Gas,-163.64824527705915,440016.9312041788,0.00322117211075752,0.002781155179553341,Gas_Gas,7000050.420000001
35,AES Huntington Beach LLC,CA,33.6439,-117.9792,1958,Gas_SC,1021,1322790000.0,9458494.236,562099.998,Gas,-160.8562064057764,110718.81840029801,0.0033318909291578176,0.0032211721107575195,Gas_Gas,7562150.4180000005
44,Haynes,CA,33.764741,-118.09913,1962,Gas_SC,2882,3802589000.0,28051436.0,1636605.754,Gas,-158.3614601420142,339032.361131252,0.0036709232902890697,0.0033318909291578176,Gas_Gas,9198756.172
17,Yucca,AZ,32.7214,-114.7106,1959,Gas_SC,421,425651000.0,4890130.695,290612.052,Gas,-157.56577276029063,145365.37605159343,0.003816288666340663,0.0036709232902890697,Gas_Gas,9489368.224
331,Horseshoe Lake,OK,35.50866,-97.17969,1958,Gas_SC,973,1100144000.0,11918441.24,708294.052,Gas,-156.79038873670237,332887.30077755766,0.004149175967118221,0.003816288666340663,Gas_Gas,10197662.275999999
782,Frontier,OK,35.439722,-97.625,1989,Gas_CC,131,224609000.0,1829087.25,90563.621,Gas,-148.74250219337813,13919.349899742621,0.004163095317017963,0.004149175967118221,Gas_Gas,10288225.896999998
95,Arvah B Hopkins,FL,30.4522,-84.4,1970,Gas_CC,1107,1412279000.0,11056639.06,657115.279,Gas,-148.5007591268828,175197.3926054192,0.004338292709623382,0.004163095317017963,Gas_Gas,10945341.175999997
447,Barney M Davis,TX,27.6064,-97.3117,1974,Gas_CC,1081,1335596000.0,10299947.489,612109.759,Gas,-148.45085742822502,156358.73431078735,0.0044946514439341695,0.004338292709623382,Gas_Gas,11557450.934999997
404,Sim Gideon,TX,30.1456,-97.2708,1965,Gas_SC,623,680051000.0,6856742.529,407490.218,Gas,-147.7559865575845,175433.56307521457,0.004670085007009384,0.0044946514439341695,Gas_Gas,11964941.152999997
149,Chanute 2,KS,37.6953,-95.4586,1965,Gas_SC,64,243288000.0,3269468.305,193589.122,Gas,-146.65228774696544,110570.93738834411,0.0047806559443977275,0.004670085007009384,Gas_Gas,12158530.274999997
308,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Gas,-145.11591892926958,367550.934031972,0.005148206878429699,0.0047806559443977275,Coal_Gas,12743909.762999997
863,Milford Power LP,MA,42.129361,-71.511496,1993,Gas_CC,248,207225000.0,1756061.57,104361.763,Gas,-143.85553684780032,33649.50712979518,0.005181856385559494,0.005148206878429699,Gas_Gas,12848271.525999997
224,Baxter Wilson,MS,32.2831,-90.9306,1967,Gas_SC,1327,1577580000.0,15533548.14,923362.417,Gas,-143.2767375037772,385038.1770882242,0.0055668945626477185,0.005181856385559494,Gas_Gas,13771633.942999996
854,NAEA Lakewood LLC,NJ,40.0613,-74.1686,1994,Gas_CC,235,165175000.0,1943860.847,115518.244,Gas,-140.86930970289146,59154.885991260315,0.005626049448638979,0.0055668945626477185,Gas_Gas,13887152.186999997
136,Ames Electric Services Power Plant,IA,42.0258,-93.6089,1968,Gas_SC,108,263519000.0,3554398.289,210709.305,Gas,-140.50546661610895,120787.61140771864,0.005746837060046698,0.005626049448638979,Gas_Gas,14097861.491999997
321,Conesville,OH,40.1842,-81.8811,1957,Coal,2172,1177468000.0,11834871.111,1213470.392,Gas,-140.36982897894038,811678.0479537781,0.006558515108000476,0.005746837060046698,Coal_Gas,15311331.883999996
407,O W Sommers,TX,29.308056,-98.3242,1972,Gas_SC,892,979976000.0,10762585.211,639604.099,Gas,-138.82629451659162,305202.7784129095,0.0068637178864133855,0.006558515108000476,Gas_Gas,15950935.982999995
718,Greenleaf 2 Power Plant,CA,39.1365,-121.6397,1989,Gas_SC,49,63901000.0,647270.177,38468.761,Gas,-130.87880431980108,16663.554763484335,0.00688038144117687,0.0068637178864133855,Gas_Gas,15989404.743999995
363,Urquhart,SC,33.435,-81.9111,1953,Gas_CC,755,1363832000.0,15099214.228,899655.8539999999,Gas,-130.39018170842994,434269.7406064751,0.007314651181783345,0.00688038144117687,Gas_Gas,16889060.597999994
116,Harding Street,IN,39.711319,-86.196867,1941,Gas_SC,1176,1737404000.0,17931821.542,1065762.083,Gas,-127.71845139226521,472900.4292520578,0.007787551611035403,0.007314651181783345,Gas_Gas,17954822.680999994
168,R S Nelson,LA,30.2844,-93.2911,1959,Gas_SC,1594,1017215000.0,11279371.814,1182981.035,Gas,-127.18367268886787,835872.4942592089,0.008623424105294611,0.007787551611035403,Gas_Gas,19137803.715999994
378,Nueces Bay,TX,27.819412,-97.419203,1949,Gas_CC,941,1252086000.0,9111852.548,541505.7170000001,Gas,-123.93038788668541,114251.1598592049,0.008737675265153816,0.008623424105294611,Gas_Gas,19679309.432999995
106,Powerton,IL,40.5408,-89.6786,1972,Coal,1784,1043563000.0,12096674.75,1286625.38,Gas,-120.72779079638336,930526.0007133377,0.009668201265867152,0.008737675265153816,Coal_Gas,20965934.812999994
682,Gerald Andrus,MS,33.35,-91.1167,1975,Gas_SC,781,1038230000.0,11519664.597,684678.854,Gas,-120.6561962740212,330399.27667041746,0.00999860054253757,0.009668201265867152,Gas_Gas,21650613.666999992
351,New Castle Plant,PA,40.937939,-80.369007,1939,Gas_SC,424,595298000.0,6338136.165,376668.958,Gas,-116.92428062197868,173532.92472688528,0.010172133467264454,0.00999860054253757,Gas_Gas,22027282.624999993
710,Castleton Energy Center,NY,42.5375,-73.7433,1992,Gas_CC,72,81970000.0,739155.058,43928.712,Gas,-114.80775003806967,15957.745110480446,0.010188091212374935,0.010172133467264454,Gas_Gas,22071211.336999994
370,Allen,TN,35.074087,-90.14868,1959,Gas_CC,2764,3815383000.0,24638356.599,1464222.803,Gas,-114.07795016924713,162283.6598520705,0.010350374872227005,0.010188091212374935,Gas_Gas,23535434.139999993
740,Masspower,MA,42.1575,-72.5225,1993,Gas_CC,260,256404000.0,2995553.975,178018.8,Gas,-111.8772145431326,90524.9876986657,0.01044089985992567,0.010350374872227005,Gas_Gas,23713452.939999994
379,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317,Gas,-111.51998531591288,115897.19420942094,0.010556797054135092,0.01044089985992567,Gas_Gas,24159035.256999996
155,E W Brown,KY,37.78831,-84.71257,1957,Gas_SC,1748,1458548000.0,15795745.82,1516834.619,Gas,-109.93603312849982,1019128.1676790903,0.011575925221814182,0.010556797054135092,Gas_Gas,25675869.875999995
334,Seminole,OK,34.96645,-96.7258,1971,Gas_SC,1724,2667360000.0,28228357.389,1677574.715,Gas,-109.43816086637227,767380.2750533259,0.012343305496867508,0.011575925221814182,Gas_Gas,27353444.590999994
