,name,transition_type,state,retirement_year
0,J K Smith,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
1,Apache Station,2,AZ,2025
2,Thomas Fitzhugh,2,AR,2030
3,Dynegy Moss Landing Power Plant Hybrid,3,CA,2023
4,Limestone,3,TX,2023
5,El Segundo Power,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2024
6,AES Huntington Beach LLC,3,CA,2023
7,El Centro Hybrid,4,CA,2024
8,Scattergood,4,CA,2027
9,Valley (CA),"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
10,Glenarm,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
11,Cherokee,4,CO,2028
12,Middletown,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
13,Christiana,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
14,Crist,8,FL,2022
15,Lansing Smith,8,FL,2021
16,Northside Generating Station,9,FL,2021
17,Jack McDonough,9,GA,2022
18,E D Edwards,1,IL,2027
19,Kincaid Generation LLC,1,IL,2022
20,Powerton,1,IL,2022
21,Waukegan,1,IL,2025
22,Joppa Steam,1,IL,2023
23,Harding Street,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2028
24,Cayuga,1,IN,2021
25,Edwardsport,1,IN,2023
26,R Gallagher,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
27,Cane Run,1,KY,2033
28,Shawnee,1,KY,2026
29,Cooper,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2033
30,R S Nelson,1,LA,2022
31,Perryman,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
32,Exelon Medway LLC,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2023
33,Kendall Square Station,1,MA,2023
34,Canal,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2025
35,Cleary Flood Hybrid,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
36,J H Campbell,1,MI,2021
37,Delray,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2025
38,Monroe (MI),2,MI,2029
39,Erickson Station,2,MI,2021
40,Allen S King,2,MN,2023
41,Chevron Oil,2,MS,2022
42,Jack Watson,2,MS,2028
43,New Madrid,2,MO,2023
44,Canaday,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2028
45,Bergen Generating Station,2,NJ,2031
46,PSEG Burlington Generating Station,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
47,PSEG Essex Generating Station,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2028
48,PSEG Linden Generating Station,2,NJ,2022
49,PSEG Sewaren Generating Station,2,NJ,2022
50,Oswego Harbor Power,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2024
51,Hillburn,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2026
52,Plant No 2 Freeport,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2034
53,S A Carlson,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
54,L V Sutton Steam,3,NC,2030
55,G G Allen,3,NC,2027
56,Buck,3,NC,2022
57,Manchester Street,3,RI,2023
58,Darlington County,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2028
59,W S Lee,3,SC,2031
60,Urquhart,3,SC,2027
61,Cumberland (TN),3,TN,2022
62,Gallatin (TN),3,TN,2034
63,John Sevier,3,TN,2023
64,Kingston,3,TN,2035
65,Laredo,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2025
66,Lake Hubbard,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2031
67,Mountain Creek,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
68,Newman,3,TX,2022
69,Handley,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2026
70,Permian Basin,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2024
71,Ray Olinger,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2023
72,J Robert Massengale,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2023
73,Leon Creek,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2025
74,Yorktown,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2022
75,FirstEnergy Harrison Power Station,4,WV,2021
76,Dave Johnston,4,WY,2022
77,Powerlane Plant,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2027
78,John P Madgett,4,WI,2027
79,Thomas C Ferguson,4,TX,2025
80,Barney M Davis,4,TX,2022
81,Pleasants Power Station,4,WV,2022
82,Big Cajun 2,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
83,Cascade Creek,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
84,Nearman Creek,4,KS,2025
85,Somerset Operating Co LLC,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2023
86,Lewis & Clark,4,MT,2028
87,Sooner,4,OK,2039
88,Wyodak,4,WY,2028
89,Boardman,4,OR,2032
90,Fort St Vrain,4,CO,2027
91,Welsh,4,TX,2036
92,Martin Lake,4,TX,2037
93,Hunter,4,UT,2023
94,Rockport,4,IN,2026
95,Fayette Power Project,5,TX,2028
96,Merom,5,IN,2027
97,Pawnee,5,CO,2022
98,Scherer,5,GA,2029
99,Harry Allen,5,NV,2025
100,Angus Anson,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2031
101,Tiger Bay,5,FL,2033
102,Smarr Energy Center,6,GA,2022
103,Minnesota River,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2023
104,Sumpter,6,MI,2023
105,Pyramid,6,NM,2023
106,Sylvarena,6,MS,2035
107,Columbia (WI),6,WI,2029
108,Belews Creek,6,NC,2025
109,Anclote,6,FL,2022
110,Las Vegas Generating Station,7,NV,2021
111,Newark Bay Cogeneration Partnership LP,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
112,Parlin Power Plant,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
113,Northampton Generating Company LP,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2021
114,Dighton Power Plant,8,MA,2027
115,Lincoln Generating Facility,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2023
116,Jonesboro City Water & Light Plant,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2039
117,Pio Pico Energy Center,"Series([], Name: rep_fuel, dtype: object)","Series([], Name: state, dtype: object)",2044
