,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
512,Dansby,TX,30.7217,-96.4608,1978,Gas_SC,203,184525000.0,2087481.998,124061.837,Gas,-194.2093087151162,61095.59733562772,6.109559733562772e-05,0.0,Gas_SC→Gas,124061.837,312.3076923076923
3,Greene County,AL,32.6017,-87.7811,1965,Gas_SC,1288,1153839000.0,11641749.925,696954.552,Gas,-192.26441378058203,303225.2307259198,0.00036432082806154756,6.109559733562771e-05,Gas_SC→Gas,821016.389,1981.5384615384617
551,Hay Road,DE,39.7436,-75.5072,1989,Gas_CC,1193,1209513000.0,14348604.639,852744.125,Gas,-190.5908116152667,440016.9312041788,0.0008043377592657263,0.00036432082806154756,Gas_CC→Gas,1673760.514,1835.3846153846152
460,Greenwood (MI),MI,43.1056,-82.6964,1979,Gas_SC,1070,1025811000.0,10833548.402,642438.498,Gas,-186.27782253105102,292396.7081268154,0.0010967344673925418,0.0008043377592657263,Gas_SC→Gas,2316199.012,1646.1538461538462
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Gas,-177.8072290396422,165127.4086727236,0.0012618618760652654,0.0010967344673925418,Gas_SC→Gas,2686069.6670000004,907.6923076923076
205,J B Sims,MI,43.0706,-86.235,1983,Coal,80,38619000.0,356919.835,36621.025,Gas,-176.79036297380605,23442.901658456074,0.0012853047777237215,0.0012618618760652654,Coal→Gas,2722690.6920000003,123.07692307692308
743,Camden Plant Holdings LLC,NJ,39.9175,-75.1192,1993,Gas_CC,172,119443000.0,1073546.751,63797.797,Gas,-176.3979990495144,23039.76115536313,0.0013083445388790847,0.0012853047777237215,Gas_CC→Gas,2786488.489,264.6153846153846
128,Whitewater Valley,IN,39.8028,-84.8953,1955,Coal,93,40843000.0,461185.104,47316.611,Gas,-176.06665735297526,33379.58281080094,0.0013417241216898857,0.0013083445388790847,Coal→Gas,2833805.1,143.07692307692307
171,Little Gypsy,LA,30.005067,-90.461694,1961,Gas_SC,1249,1713462000.0,18307564.102,1087990.954,Gas,-172.25123553817122,503299.12932694936,0.001845023251016835,0.0013417241216898857,Gas_SC→Gas,3921796.054,1921.5384615384617
809,Carr Street Generating Station,NY,43.06132,-76.08239,1993,Gas_CC,121,73459000.0,937994.117,55745.064,Gas,-170.72544593515963,30678.341336376514,0.0018757015923532114,0.001845023251016835,Gas_CC→Gas,3977541.118,186.15384615384616
