,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
341,Brunot Island,PA,40.464851,-80.043761,1972,Gas_CC,414,96989000.0,1344596.326,79904.876,Gas,-199.71093196364228,46802.44425135921,4.680244425135921e-05,0.0,Gas_Gas,79904.876
1144,Shoreham Energy LLC,NY,40.957053,-72.865877,2002,Oil,100,41560000.0,340518.171,27632.448,Gas,-189.4245937657553,13447.983127968002,6.025042737932721e-05,4.680244425135921e-05,Oil_Gas,107537.32400000001
478,Somerset Operating Co LLC,NY,43.358889,-78.604722,1984,Coal,655,160448000.0,1699406.1590000002,174360.03000000003,Gas,-188.10800309776974,119598.98525053443,0.00017984941262986164,6.0250427379327214e-05,Coal_Gas,281897.35400000005
565,Sherman Avenue,NJ,39.451,-75.0578,1991,Gas_SC,112,18248000.0,216920.721,12892.044,Gas,-182.8155813853797,6663.9854103744,0.00018651339804023602,0.0001798494126298616,Gas_Gas,294789.39800000004
196,Cleary Flood Hybrid,MA,41.8653,-71.1061,1966,Gas_CC,149,52643000.0,560039.6190000001,33339.974,Gas,-181.12478305917887,15372.871395130402,0.00020188626943536643,0.00018651339804023602,Gas_Gas,328129.37200000003
361,Hagood,SC,32.8265,-79.9634,1991,Gas_SC,176,18096000.0,242570.411,16567.102,Gas,-180.30558828436438,10390.9211452288,0.00021227719058059522,0.00020188626943536643,Gas_Gas,344696.47400000005
209,Syl Laskin,MN,47.5306,-92.1619,1953,Gas_SC,116,16321000.0,231467.104,13757.691,Gas,-178.8218009671383,8187.3192200088015,0.00022046450980060402,0.00021227719058059522,Gas_Gas,358454.16500000004
773,Indeck Yerkes Energy Center,NY,42.9671,-78.9182,1989,Gas_CC,59,23979000.0,227488.85,13520.075,Gas,-177.44935644029488,5336.021025831201,0.00022580053082643523,0.00022046450980060402,Gas_Gas,371974.24000000005
184,Dickerson,MD,39.2097,-77.4644,1959,Coal,933,282632000.0,2854660.235,267877.677,Gas,-174.39605245514835,171415.12464888964,0.0003972156554753248,0.0002258005308264352,Coal_Gas,639851.9170000001
47,Glenarm,CA,34.126,-118.1494,1976,Gas_SC,263,59400000.0,553801.559,32911.778,Gas,-171.71344859989122,12638.505300320001,0.00040985416077564483,0.0003972156554753248,Gas_Gas,672763.6950000002
737,Brush Generation Facility,CO,40.2415,-103.631,1990,Gas_CC,294,106917000.0,1205080.811,71619.13799999999,Gas,-170.6515156603082,35128.2710432376,0.0004449824318188824,0.00040985416077564483,Gas_Gas,744382.8330000002
258,Merrimack,NH,43.1411,-71.4692,1960,Coal,494,143744000.0,1432798.63,144674.354,Gas,-167.16304880308613,95614.39927032319,0.0005405968310892056,0.00044498243181888237,Coal_Gas,889057.1870000002
259,Schiller,NH,43.0978,-70.7842,1952,Coal,171,26631000.0,516433.601,50943.944,Gas,-166.7239670554178,41854.7600729768,0.0005824515911621824,0.0005405968310892056,Coal_Gas,940001.1310000002
353,TalenEnergy Martins Creek,PA,40.797762,-75.105416,1954,Gas_SC,2107,429311000.0,4799172.85,286181.735,Gas,-162.48919167529928,139657.5098152808,0.0007221091009774632,0.0005824515911621824,Gas_Gas,1226182.8660000002
319,Avon Lake,OH,41.504453,-82.054619,1949,Coal,873,273478000.0,2536566.807,260085.369,Gas,-162.43226453843658,166747.08497031842,0.0008888561859477816,0.0007221091009774632,Coal_Gas,1486268.235
571,Van Sant Station,DE,39.145036,-75.548172,1991,Gas_SC,45,7595000.0,99860.114,6053.573,Gas,-162.15725414137677,3461.3927617160007,0.0008923175787094978,0.0008888561859477816,Gas_Gas,1492321.8080000002
410,Sam Rayburn,TX,28.8947,-97.135,1963,Gas_CC,238,89517000.0,972792.196,59365.893,Gas,-161.35326292780516,28813.6614805176,0.0009211312401900153,0.0008923175787094978,Gas_Gas,1551687.7010000001
427,Blount Street,WI,43.0789,-89.3744,1925,Gas_SC,187,32919000.0,447227.249,26577.625,Gas,-161.20259589498383,15342.3410942632,0.0009364735812842786,0.0009211312401900153,Gas_Gas,1578265.3260000001
40,Grayson,CA,34.1556,-118.2782,1953,Gas_CC,353,116596000.0,1676318.122,99537.634,Gas,-159.25078970484714,59743.31575602881,0.0009962168970403073,0.0009364735812842786,Gas_Gas,1677802.9600000002
405,J Robert Massengale,TX,33.6039,-101.8408,1952,Gas_CC,106,53979000.0,455395.248,27060.001,Gas,-155.6646374381502,8636.9204098312,0.0010048538174501386,0.0009962168970403073,Gas_Gas,1704862.9610000001
400,Trinidad (TX),TX,32.124519,-96.101277,1965,Gas_SC,243,47639000.0,637461.958,37882.898,Gas,-153.04770373914235,21623.6650346792,0.0010264774824848178,0.0010048538174501386,Gas_Gas,1742745.8590000002
89,J D Kennedy,FL,30.364818,-81.625967,1973,Gas_SC,538,134223000.0,1300445.788,77451.624,Gas,-152.6411777146015,31641.195017354396,0.001058118677502172,0.0010264774824848175,Gas_Gas,1820197.4830000002
16,Saguaro,AZ,32.5517,-111.3,1954,Gas_SC,435,87338000.0,1160786.078,68982.795,Gas,-151.52563639662247,39174.2581137264,0.0010972929356158985,0.001058118677502172,Gas_Gas,1889180.2780000002
