,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
92,Larsen Memorial,FL,28.0797,-81.9228,1956,Gas_CC,158,103643000.0,1452965.512,86352.363,Gas,-198.57432408760104,50985.827421977854,5.098582742197785e-05,0.0,Gas_CC→Gas,86352.363
3,Greene County,AL,32.6017,-87.7811,1965,Gas_SC,1288,1153839000.0,11641749.925,696954.552,Gas,-198.50111355569288,303225.2307259198,0.0003542110581478977,5.0985827421977885e-05,Gas_SC→Gas,783306.915
44,Haynes,CA,33.764741,-118.09913,1962,Gas_SC,2882,3802589000.0,28051436.0,1636605.754,Gas,-188.5744351503555,339032.361131252,0.0006932434192791498,0.0003542110581478977,Gas_SC→Gas,2419912.6689999998
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Gas,-186.99747596761082,165127.4086727236,0.0008583708279518733,0.0006932434192791498,Gas_SC→Gas,2789783.324
35,AES Huntington Beach LLC,CA,33.6439,-117.9792,1958,Gas_SC,1021,1322790000.0,9458494.236,562099.998,Gas,-185.3323707348348,110718.81840029801,0.0009690896463521713,0.0008583708279518733,Gas_SC→Gas,3351883.322
333,Mustang,OK,35.46988,-97.67498,1950,Gas_SC,995,1161180000.0,10664970.871,629325.727,Gas,-179.46026619373666,233091.40550710843,0.0012021810518592795,0.0009690896463521712,Gas_SC→Gas,3981209.049
279,Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,Gas_SC,895,937632000.0,10129449.587,601846.01,Gas,-178.7772206534626,281893.9101274369,0.0014840749619867166,0.0012021810518592795,Gas_SC→Gas,4583055.059
331,Horseshoe Lake,OK,35.50866,-97.17969,1958,Gas_SC,973,1100144000.0,11918441.24,708294.052,Gas,-171.27492048287885,332887.30077755766,0.0018169622627642742,0.0014840749619867164,Gas_SC→Gas,5291349.1110000005
128,Whitewater Valley,IN,39.8028,-84.8953,1955,Coal,93,40843000.0,461185.104,47316.611,Gas,-171.0709684321079,33379.58281080094,0.0018503418455750752,0.0018169622627642742,Coal→Gas,5338665.722
17,Yucca,AZ,32.7214,-114.7106,1959,Gas_SC,421,425651000.0,4890130.695,290612.052,Gas,-162.06738511694303,145365.37605159343,0.0019957072216266686,0.0018503418455750752,Gas_SC→Gas,5629277.774
404,Sim Gideon,TX,30.1456,-97.2708,1965,Gas_SC,623,680051000.0,6856742.529,407490.218,Gas,-158.15722228989293,175433.56307521457,0.0021711407847018827,0.001995707221626668,Gas_SC→Gas,6036767.992000001
308,G G Allen,NC,35.1897,-81.0122,1957,Coal,1148,638355000.0,5705477.373,585379.488,Gas,-157.6671038985103,367550.934031972,0.002538691718733855,0.0021711407847018827,Coal→Gas,6622147.48
321,Conesville,OH,40.1842,-81.8811,1957,Coal,2172,1177468000.0,11834871.111,1213470.392,Gas,-155.61825299108713,811678.0479537781,0.003350369766687633,0.002538691718733855,Coal→Gas,7835617.872
255,Fort Churchill,NV,39.1281,-119.1322,1968,Gas_SC,230,660444000.0,7254595.796,431131.175,Gas,-155.1458270007123,205765.09891872815,0.003556134865606361,0.003350369766687633,Gas_SC→Gas,8266749.047
170,Teche,LA,29.822222,-91.5425,1953,Gas_SC,467,503159000.0,5116865.048,304082.141,Gas,-154.33884457278916,132387.08513610138,0.0036885219507424628,0.003556134865606361,Gas_SC→Gas,8570831.188000001
407,O W Sommers,TX,29.308056,-98.3242,1972,Gas_SC,892,979976000.0,10762585.211,639604.099,Gas,-149.56479841396504,305202.7784129095,0.003993724729155372,0.0036885219507424628,Gas_SC→Gas,9210435.287
166,Cooper,KY,36.9981,-84.5919,1965,Coal,343,176455000.0,1722022.663,176678.565,Gas,-147.33999372494034,116466.08528193031,0.004110190814437302,0.003993724729155372,Coal→Gas,9387113.852
224,Baxter Wilson,MS,32.2831,-90.9306,1967,Gas_SC,1327,1577580000.0,15533548.14,923362.417,Gas,-143.79727376155415,385038.1770882242,0.004495228991525526,0.004110190814437302,Gas_SC→Gas,10310476.269
95,Arvah B Hopkins,FL,30.4522,-84.4,1970,Gas_CC,1107,1412279000.0,11056639.06,657115.279,Gas,-133.07550904513224,175197.3926054192,0.004670426384130945,0.004495228991525526,Gas_CC→Gas,10967591.547999999
378,Nueces Bay,TX,27.819412,-97.419203,1949,Gas_CC,941,1252086000.0,9111852.548,541505.7170000001,Gas,-130.74560317219382,114251.1598592049,0.00478467754399015,0.004670426384130945,Gas_CC→Gas,11509097.264999999
334,Seminole,OK,34.96645,-96.7258,1971,Gas_SC,1724,2667360000.0,28228357.389,1677574.715,Gas,-123.80515925710878,767380.2750533259,0.005552057819043476,0.00478467754399015,Gas_SC→Gas,13186671.979999999
42,El Centro Hybrid,CA,32.802222,-115.54,1952,Gas_CC,435,660521000.0,5363384.605,318738.575,Gas,-123.5507250428622,93346.22388578329,0.005645404042929259,0.005552057819043476,Gas_CC→Gas,13505410.554999998
106,Powerton,IL,40.5408,-89.6786,1972,Coal,1784,1043563000.0,12096674.75,1286625.38,Gas,-120.4277032451861,930526.0007133377,0.006575930043642597,0.00564540404292926,Coal→Gas,14792035.934999999
379,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317,Gas,-119.66299131653257,115897.19420942094,0.0066918272378520185,0.006575930043642597,Gas_CC→Gas,15237618.251999998
116,Harding Street,IN,39.711319,-86.196867,1941,Gas_SC,1176,1737404000.0,17931821.542,1065762.083,Gas,-115.71380711057944,472900.4292520578,0.007164727667104077,0.0066918272378520185,Gas_SC→Gas,16303380.334999999
370,Allen,TN,35.074087,-90.14868,1959,Gas_CC,2764,3815383000.0,24638356.599,1464222.803,Gas,-114.71437287457024,162283.6598520705,0.0073270113269561475,0.007164727667104077,Gas_CC→Gas,17767603.138
19,H Wilson Sundt Generating Station,AZ,32.16,-110.9047,1958,Gas_SC,736,1016524000.0,10599106.418,629887.725,Gas,-112.3642315671943,283014.9770873249,0.007610026304043472,0.0073270113269561475,Gas_SC→Gas,18397490.863
171,Little Gypsy,LA,30.005067,-90.461694,1961,Gas_SC,1249,1713462000.0,18307564.102,1087990.954,Gas,-109.40580828339624,503299.12932694936,0.00811332543337042,0.007610026304043472,Gas_SC→Gas,19485481.817
371,Bull Run,TN,36.0211,-84.1567,1967,Coal,950,739769000.0,7270929.042,745998.767,Gas,-107.40031088786708,493564.2884725754,0.008606889721842996,0.008113325433370422,Coal→Gas,20231480.584000003
351,New Castle Plant,PA,40.937939,-80.369007,1939,Gas_SC,424,595298000.0,6338136.165,376668.958,Gas,-106.69568554661363,173532.92472688528,0.008780422646569882,0.008606889721842996,Gas_SC→Gas,20608149.542000003
168,R S Nelson,LA,30.2844,-93.2911,1959,Gas_SC,1594,1017215000.0,11279371.814,1182981.035,Gas,-102.58575909530144,835872.4942592089,0.00961629514082909,0.008780422646569882,Gas_SC→Gas,21791130.577000003
185,Morgantown Generating Plant,MD,38.3592,-76.9767,1970,Coal,1548,1259835000.0,12531503.731,1284643.79,Gas,-96.25407965663175,854745.009089205,0.010471040149918296,0.00961629514082909,Coal→Gas,23075774.367000002
352,Brunner Island,PA,40.096111,-76.6962,1961,Gas_SC,1621,2060637000.0,19918795.885,1342783.238,Gas,-95.52241530465349,639623.4319939135,0.01111066358191221,0.010471040149918296,Gas_SC→Gas,24418557.605000004
8,Lowman Energy Center,AL,31.488019,-87.910747,1969,Coal,538,394730000.0,4043808.636,414894.287,Gas,-95.12062673374514,280198.91356703604,0.011390862495479244,0.01111066358191221,Coal→Gas,24833451.892000005
305,Roxboro,NC,36.4833,-79.0731,1966,Coal,2573,2310556000.0,55418825.502,5681613.894,Gas,-91.46101352255553,4893173.17944125,0.016284035674920497,0.011390862495479244,Coal→Gas,30515065.786000006
107,Waukegan,IL,42.3833,-87.8133,1952,Coal,914,747412000.0,7877858.9,832780.45,Gas,-88.50892910367884,577737.918527149,0.016861773593447645,0.016284035674920497,Coal→Gas,31347846.236000005
155,E W Brown,KY,37.78831,-84.71257,1957,Gas_SC,1748,1458548000.0,15795745.82,1516834.619,Gas,-84.3939262039034,1019128.1676790903,0.017880901761126736,0.016861773593447645,Gas_SC→Gas,32864680.855000004
100,Yates,GA,33.4622,-84.8986,1950,Gas_SC,1484,2428382000.0,25020975.687,1486953.61,Gas,-82.37894280030496,658306.635288456,0.01853920839641519,0.017880901761126736,Gas_SC→Gas,34351634.465
103,Grand Tower Energy Center LLC,IL,37.6577,-89.511161,1951,Gas_CC,639,1171248000.0,11380872.664,676329.532,Gas,-81.17200796131706,276659.664641015,0.018815868061056205,0.01853920839641519,Gas_CC→Gas,35027963.997
376,Kingston,TN,35.8992,-84.5194,1954,Coal,1700,1746724000.0,18878690.876,1958476.24,Gas,-80.25615768476631,1362434.283563143,0.02017830234461935,0.018815868061056205,Coal→Gas,36986440.237
335,Northeastern,OK,36.4317,-95.7008,1961,Coal,1949,3054286000.0,34998029.009,2688246.005,Gas,-79.16185570986995,1646019.1832710365,0.021824321527890385,0.02017830234461935,Coal→Gas,39674686.242000006
197,Dan E Karn,MI,43.644996,-83.840074,1959,Gas_SC,1945,1828950000.0,20504908.273,2109575.665,Gas,-75.81937365561834,1485475.3857199368,0.02330979691361032,0.021824321527890385,Gas_SC→Gas,41784261.907000005
363,Urquhart,SC,33.435,-81.9111,1953,Gas_CC,755,1363832000.0,15099214.228,899655.8539999999,Gas,-73.02846116213549,434269.7406064751,0.023744066654216796,0.02330979691361032,Gas_CC→Gas,42683917.76100001
84,Crist,FL,30.5661,-87.2244,1945,Coal,1226,1308078000.0,14486362.104,1263481.962,Gas,-72.4456720901546,817121.0198637433,0.02456118767408054,0.023744066654216796,Coal→Gas,43947399.723000005
134,George Neal North,IA,42.299794,-96.361707,1964,Coal,1080,942043000.0,9719747.225,1019408.05,Gas,-71.56250274254653,697950.7660973079,0.025259138440177846,0.02456118767408054,Coal→Gas,44966807.773
203,St Clair,MI,42.7642,-82.4719,1953,Coal,1923,1885094000.0,19903603.932,2087492.367,Gas,-70.48280192733256,1444233.8351269737,0.02670337227530482,0.025259138440177846,Coal→Gas,47054300.14
631,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,1965,Gas_CC,2785,5013603000.0,53789560.455,3196640.9220000003,Gas,-69.84348600072693,1485828.1428101026,0.028189200418114922,0.02670337227530482,Gas_CC→Gas,50250941.062
