,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
17,Yucca,AZ,32.7214,-114.7106,1959,Gas_SC,421,425651000.0,4890130.695,290612.052,Gas,-125.10558888923543,145365.37605159343,0.00014536537605159343,0.0,Gas_SC→Gas,29320192.906,647.6923076923077
19,H Wilson Sundt Generating Station,AZ,32.16,-110.9047,1958,Gas_SC,736,1016524000.0,10599106.418,629887.725,Gas,-101.8149019213735,283014.9770873249,0.0004283803531389183,0.0001453653760515934,Gas_SC→Gas,56689929.47999999,1132.3076923076924
1102,Sundance,AZ,32.9285,-111.5899,2002,Gas_SC,690,470536000.0,4685144.242,278431.814,Solar,-59.33076738258882,278431.814,0.0007068121671389183,0.0004283803531389183,Gas_SC→Solar,143379618.517,2156.2499999999995
25,Apache Station,AZ,32.0603,-109.8931,1963,Gas_SC,658,2354923000.0,24173837.737,1683841.084,Gas,-39.61249643591267,880260.8319520793,0.0015870729990909976,0.0007068121671389182,Gas_SC→Gas,335668979.20399994,1012.3076923076924
855,Yuma Cogeneration Associates,AZ,32.728822,-114.654053,1994,Gas_CC,62,113945000.0,1041395.097,61884.789,Gas,-34.52061298332381,23002.858754467416,0.001610075857845465,0.0015870729990909976,Gas_CC→Gas,401379253.06299984,95.38461538461539
13,Cholla,AZ,34.9394,-110.3033,1962,Coal,1127,3529723000.0,40707844.837,4176620.563,Gas,-28.749533193948903,2972158.3797356887,0.004582234237581154,0.0016100758578454647,Coal→Gas,511056852.26099986,1733.8461538461538
499,Coronado,AZ,34.5789,-109.2708,1979,Coal,820,3000622000.0,32998176.892,3460853.88,Gas,-23.907167930155154,2436939.050062658,0.007019173287643811,0.004582234237581153,Coal→Gas,627131764.7069999,1261.5384615384614
15,West Phoenix,AZ,33.4417,-112.1583,1948,Gas_CC,1324,2726067000.0,20384204.648,1211403.972,Gas,-23.133924689087756,281176.69622091134,0.007300349983864722,0.007019173287643811,Gas_CC→Gas,650792673.173,2036.923076923077
692,Springerville,AZ,34.3186,-109.1639,1985,Coal,2176,8527353000.0,83732537.387,8777652.853,Gas,-16.295281654851667,5867828.424327983,0.013168178408192706,0.007300349983864723,Coal→Gas,833616277.1389998,3347.6923076923076
1260,Coolidge Generation Station,AZ,32.917399,-111.503327,2011,Gas_SC,720,586213000.0,5214119.697,309870.42,Solar,25.73859313070214,309870.42,0.013478048828192705,0.013168178408192706,Gas_SC→Solar,1094795169.0519998,2249.9999999999995
1230,Black Mountain Generating Station,AZ,35.0361,-114.1594,2008,Gas_SC,120,180993000.0,1687855.524,100307.529,Wind,61.22802847986464,100307.529,0.013578356357192704,0.013478048828192705,Gas_SC→Wind,1119552726.2050004,230.76923076923077
687,Santan,AZ,33.3325,-111.7503,1974,Gas_CC,1321,4900374000.0,34689677.238,2061555.255,Gas,79.10312587864588,389380.0823726668,0.013967736439565372,0.013578356357192704,Gas_CC→Gas,1145788702.711,2032.3076923076924
24,Kyrene,AZ,33.3556,-111.9353,1952,Gas_CC,572,1697711000.0,11461683.53,681150.912,Gas,108.95434609584716,101833.86711805384,0.014069570306683425,0.013967736439565372,Gas_CC→Gas,1221460164.5470004,880.0
919,Desert Basin,AZ,32.9042,-111.7889,2001,Gas_CC,646,1856180000.0,14023585.181,833394.723,Gas,138.40502877307875,200002.63661487855,0.014269572943298302,0.014069570306683425,Gas_CC→Gas,1301386901.0320005,993.8461538461538
915,Griffith Energy LLC,AZ,35.054029,-114.133272,2002,Gas_CC,653,2447489000.0,17111808.528,1016928.412,Wind,151.75773291186616,1016928.412,0.015286501355298304,0.014269572943298302,Gas_CC→Wind,1349444258.0250006,1255.7692307692307
942,South Point Energy Center,AZ,34.8678,-114.5317,2001,Gas_CC,708,3164007000.0,23297818.77,1384558.425,Gas,152.30983838621813,304891.0462613383,0.015591392401559642,0.015286501355298304,Gas_CC→Gas,1350828816.4500005,1089.2307692307693
1005,Arlington Valley Energy Facility,AZ,33.3417,-112.8897,2002,Gas_CC,713,2197057000.0,15561216.584,924781.924,Solar,176.52831014790337,924781.924,0.016516174325559643,0.015591392401559642,Gas_CC→Solar,1403240338.4750001,2228.1249999999995
