,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
1280,Algonquin Power Sanger LLC,CA,36.6842,-119.5522,1990,Gas_CC,73,52836000.0,536778.508,31900.404,Gas,-195.74202827246347,13870.954121085088,1.3870954121085087e-05,0.0,Gas_CC→Gas,176386.508,112.3076923076923
700,Gilroy Power Plant,CA,37.0001,-121.5367,1987,Gas_CC,130,116154000.0,940467.78,55885.3,Gas,-194.75910487277008,16249.583419723633,3.012053754080872e-05,1.3870954121085087e-05,Gas_CC→Gas,232271.80800000002,200.0
33,AES Alamitos LLC,CA,33.7688,-118.1009,1956,Gas_SC,2055,1785596000.0,15163913.192,901172.842,Gas,-191.65362094199688,291866.4299704946,0.0003219869675113033,3.0120537540808726e-05,Gas_SC→Gas,2573303.6909999996,3161.5384615384614
581,Combustion Turbine Project No 2,CA,38.088138,-121.386944,1996,Gas_SC,50,36125000.0,277134.767,16469.095,Wind,-189.02214789328255,16469.095,0.00033845606251130337,0.00032198696751130335,Gas_SC→Wind,3317724.057,96.15384615384616
1165,Riverview Energy Center,CA,38.014423,-121.790679,2003,Gas_SC,47,25786000.0,253745.559,15079.223,Wind,-182.57581331170493,15079.223,0.00035353528551130333,0.00033845606251130337,Gas_SC→Wind,4697227.466,90.38461538461539
45,Scattergood,CA,33.918151,-118.427648,1958,Gas_SC,1714,1773127000.0,13597388.757,794092.53,Gas,-181.45612363965785,189040.96713659714,0.0005425762526479004,0.00035353528551130333,Gas_SC→Gas,5491319.996,2636.9230769230767
1227,Center Hybrid,CA,33.9296,-118.1046,2007,Gas_SC,59,24636000.0,231665.641,13767.381,Solar,-160.04950817131004,13767.381,0.0005563436336479006,0.0005425762526479004,Gas_SC→Solar,10535827.334000003,184.37499999999997
1334,Stanton Energy Reliability Center Hybrid,CA,33.806801,-117.985758,2020,Gas_SC,160,49860000.0,474567.421,28204.887,Solar,-156.3561854887319,28204.887,0.0005845485206479005,0.0005563436336479006,Gas_SC→Solar,11340963.052000001,500.0
718,Greenleaf 2 Power Plant,CA,39.1365,-121.6397,1989,Gas_SC,49,63901000.0,647270.177,38468.761,Gas,-126.68877304187777,16663.554763484335,0.0006012120754113848,0.0005845485206479005,Gas_SC→Gas,28818871.549,75.38461538461539
44,Haynes,CA,33.764741,-118.09913,1962,Gas_SC,2882,3802589000.0,28051436.0,1636605.754,Gas,-121.98319534881341,339032.361131252,0.0009402444365426368,0.0006012120754113848,Gas_SC→Gas,33840737.74299999,4433.846153846154
35,AES Huntington Beach LLC,CA,33.6439,-117.9792,1958,Gas_SC,1021,1322790000.0,9458494.236,562099.998,Gas,-113.31359434525143,110718.81840029801,0.001050963254942935,0.0009402444365426369,Gas_SC→Gas,41671358.45299999,1570.7692307692307
1225,Mira Loma Peaker,CA,34.0053,-117.5604,2007,Gas_SC,49,25125000.0,208546.398,12392.979,Solar,-105.40487922083281,12392.979,0.001063356233942935,0.001050963254942935,Gas_SC→Solar,51316302.29599998,153.12499999999997
42,El Centro Hybrid,CA,32.802222,-115.54,1952,Gas_CC,435,660521000.0,5363384.605,318738.575,Gas,-98.08212501746483,93346.22388578329,0.0011567024578287182,0.001063356233942935,Gas_CC→Gas,62693122.83699999,669.2307692307692
800,Salinas River Cogeneration,CA,35.9515,-120.8679,1991,Gas_SC,38,260005000.0,3338059.135,198378.541,Gas,-86.09049136044911,109655.94436574928,0.0012663584021944676,0.0011567024578287182,Gas_SC→Gas,88772132.305,58.46153846153846
568,Redding Power,CA,40.507292,-122.423281,1989,Gas_CC,180,340140000.0,2737669.894,162700.347,Gas,-69.16751505454418,46632.94822238403,0.0013129913504168517,0.0012663584021944676,Gas_CC→Gas,114873869.20400001,276.92307692307696
733,Bear Mountain Limited,CA,35.419181,-118.926643,1995,Gas_SC,46,43642000.0,397448.05,23620.25,Gas,-62.54987123410303,8728.107301544316,0.001321719457718396,0.0013129913504168517,Gas_SC→Gas,130546470.107,70.76923076923077
1277,Mariposa Energy Project,CA,37.789167,-121.601944,2012,Gas_SC,196,130768000.0,1143482.591,67953.93,Wind,-51.46363633423512,67953.93,0.001389673387718396,0.001321719457718396,Gas_SC→Wind,185106526.52099997,376.92307692307696
1188,Riverside Energy Resource Center,CA,33.9636,-117.4528,2006,Gas_SC,196,125585000.0,1047800.734,62271.338,Solar,-48.91593107248985,62271.338,0.0014519447257183961,0.001389673387718396,Gas_SC→Solar,201234619.29899997,612.4999999999999
570,Almond Power Plant,CA,37.5744,-120.985,1996,Gas_SC,223,266714000.0,2568416.243,152638.392,Gas,-47.58104901180557,61626.455157602555,0.0015135711808759984,0.0014519447257183957,Gas_SC→Gas,216612263.5229999,343.0769230769231
1155,Feather River Energy Center,CA,39.109344,-121.60931,2003,Gas_SC,47,34524000.0,339638.412,20184.611,Wind,-43.01748158795658,20184.611,0.0015337557918759985,0.0015135711808759984,Gas_SC→Wind,267817900.1389999,90.38461538461539
