,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
92,Larsen Memorial,FL,28.0797,-81.9228,1956,Gas_CC,158,103643000.0,1452965.512,86352.363,Gas,-161.90681720706803,50985.827421977854,5.098582742197785e-05,0.0,Gas_CC→Gas,10054892.677000003,243.0769230769231
95,Arvah B Hopkins,FL,30.4522,-84.4,1970,Gas_CC,1107,1412279000.0,11056639.06,657115.279,Gas,-113.62480177060773,175197.3926054192,0.00022618322002739707,5.098582742197785e-05,Gas_CC→Gas,40961624.56899998,1703.076923076923
631,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,1965,Gas_CC,2785,5013603000.0,53789560.455,3196640.9220000003,Gas,-101.37250595731877,1485828.1428101026,0.0017120113628374997,0.00022618322002739715,Gas_CC→Gas,60182229.38899999,4284.615384615385
679,Anclote,FL,28.184444,-82.788611,1974,Gas_SC,1112,2373107000.0,25707131.313,1527741.288,Gas,-94.51572558752083,717956.0333667551,0.0024299673962042546,0.0017120113628374995,Gas_SC→Gas,72833177.84400001,1710.7692307692307
96,S O Purdom,FL,30.162304,-84.200673,1963,Gas_CC,350,663452000.0,6650960.348,395280.832,Gas,-94.40604428899243,168888.32346290682,0.0025988557196671615,0.0024299673962042546,Gas_CC→Gas,73492490.59300001,538.4615384615385
86,Big Bend,FL,27.7944,-82.4036,1969,Coal,2076,3335206000.0,40258076.805,2852606.378,Gas,-81.41362138182033,1714520.0464674032,0.004313375766134565,0.002598855719667162,Coal→Gas,101394581.32200001,3193.846153846154
93,C D McIntosh Jr,FL,28.0801,-81.9229,1970,Gas_CC,1409,2031202000.0,21820771.667,1583518.393,Gas,-76.8638488576993,890402.8154969391,0.005203778581631504,0.004313375766134565,Gas_CC→Gas,106327078.55000003,2167.6923076923076
87,Deerhaven Generating Station,FL,29.7592,-82.3878,1972,Coal,469,750718000.0,8258550.147,622402.804,Gas,-69.41996325069854,366232.1522814891,0.005570010733912993,0.005203778581631504,Coal→Gas,113589686.18100001,721.5384615384614
84,Crist,FL,30.5661,-87.2244,1945,Coal,1226,1308078000.0,14486362.104,1263481.962,Gas,-67.93773146956052,817121.0198637433,0.006387131753776736,0.005570010733912993,Coal→Gas,120125752.525,1886.1538461538462
592,Tiger Bay,FL,27.746369,-81.849446,1997,Gas_CC,277,517793000.0,5725426.534,340251.62,Gas,-59.845104401911726,163562.94293979506,0.006550694696716531,0.006387131753776736,Gas_CC→Gas,139322562.28399998,426.1538461538462
