,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
998,Edward L. Addison Generating Plant,GA,32.9111,-84.3064,2000,Gas_SC,700,369666000.0,3899301.86,231913.1,Wind,-185.03415389975794,231913.1,0.0002319131,0.0,Gas_SC→Wind,4645615.612,1346.1538461538462
1018,Baconton Power Plant,GA,31.3869,-84.08,2000,Gas_SC,240,153500000.0,1459241.299,86724.126,Wind,-142.84932539261771,86724.126,0.00031863722600000005,0.00023191310000000005,Gas_SC→Wind,15003268.064000001,461.53846153846155
918,Walton County Power LLC,GA,33.8148,-83.6954,2001,Gas_SC,492,318036000.0,3151280.794,187275.659,Wind,-121.21771308748441,187275.659,0.000505912885,0.00031863722600000005,Gas_SC→Wind,34295945.69699999,946.1538461538462
100,Yates,GA,33.4622,-84.8986,1950,Gas_SC,1484,2428382000.0,25020975.687,1486953.61,Gas,-105.4846766969847,658306.635288456,0.001164219520288456,0.000505912885,Gas_SC→Gas,51303909.31699998,2283.076923076923
604,Sowega Power,GA,31.3869,-84.08,1999,Gas_SC,98,76468000.0,731632.018,43481.607,Wind,-97.89162478972814,43481.607,0.001207701127288456,0.001164219520288456,Gas_SC→Wind,62736604.44399999,188.46153846153848
609,Sewell Creek Energy,GA,33.9486,-85.2769,2000,Gas_SC,570,426763000.0,4639901.166999999,275741.619,Wind,-93.3055002428323,275741.619,0.0014834427462884561,0.001207701127288456,Gas_SC→Wind,77302554.04300001,1096.1538461538462
643,Talbot County Energy,GA,32.5892,-84.6917,2002,Gas_SC,726,504779000.0,5623401.582,334272.254,Wind,-66.38274266065925,334272.254,0.001817715000288456,0.0014834427462884561,Gas_SC→Wind,121215266.989,1396.1538461538462
613,Smarr Energy Center,GA,32.9842,-83.8464,1999,Gas_SC,242,277558000.0,3503189.2800000003,208189.588,Gas,-64.04590062815359,113477.30755689558,0.0019311923078453516,0.001817715000288456,Gas_SC→Gas,126207659.48,372.3076923076923
1058,Effingham County Power Project,GA,32.277252,-81.284411,2003,Gas_CC,595,1905950000.0,20766046.055,1234096.351,Gas,-41.20059631799283,583721.0387750422,0.002514913346620394,0.0019311923078453518,Gas_CC→Gas,301324973.5799999,915.3846153846154
518,Scherer,GA,33.0606,-83.8075,1982,Coal,3564,6455829000.0,71558364.304,7505037.866,Gas,-40.218182421954474,5302088.260005122,0.007817001606625516,0.002514913346620394,Coal→Gas,331295960.0889999,5483.076923076923
648,Wansley Unit 9,GA,33.4083,-85.0403,2004,Gas_CC,592,2138515000.0,22487977.908,1336428.957,Gas,-34.03067030936443,606694.5144266083,0.008423696121052123,0.007817001606625514,Gas_CC→Gas,414524108.1119999,910.7692307692307
926,Hawk Road Facility,GA,33.358472,-84.991391,2001,Gas_SC,495,643567000.0,7035119.319,418089.721,Gas,-30.849941984584923,198482.65441237733,0.008622178775464501,0.008423696121052123,Gas_SC→Gas,472220518.53899986,761.5384615384615
97,Bowen,GA,34.1256,-84.9222,1971,Coal,3538,8768072000.0,84573288.441,8677220.883,Gas,-28.25712395980066,5685254.900360942,0.014307433675825444,0.008622178775464501,Coal→Gas,529210997.89399993,5443.076923076923
1046,Thomas A Smith Energy Facility,GA,34.7094,-84.9175,2002,Gas_CC,1192,7359362000.0,52711239.017,3132551.997,Gas,153.70091749075678,621286.0359168183,0.01492871971174226,0.014307433675825444,Gas_CC→Gas,1354705728.8200004,1833.8461538461538
98,Jack McDonough,GA,33.8239,-84.4758,1963,Gas_CC,3443,18976953000.0,127623709.352,7584444.817,Gas,162.86813300287875,1108859.5537699303,0.016037579265512192,0.014928719711742259,Gas_CC→Gas,1379346448.897,5296.923076923077
1189,McIntosh Combined Cycle Facility,GA,32.3478,-81.1817,2005,Gas_CC,1374,8722374000.0,60743931.837,3609919.419,Wind,163.15914065480118,3609919.419,0.01964749868451219,0.016037579265512192,Gas_CC→Wind,1382956368.316,2642.307692307693
644,Chattahoochee Energy Facility,GA,33.4072,-85.0386,2003,Gas_CC,539,3464723000.0,23652938.358,1405661.706,Wind,184.96024285556862,1405661.706,0.02105316039051219,0.01964749868451219,Gas_CC→Wind,1424157945.2130005,1036.5384615384614
1166,Wansley Combined Cycle,GA,33.406385,-85.036988,2002,Gas_CC,1238,8625756000.0,58146792.939,3455591.238,Wind,189.0396211357046,3455591.238,0.02450875162851219,0.02105316039051219,Gas_CC→Wind,1436757229.5470004,2380.769230769231
