,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
136,Ames Electric Services Power Plant,IA,42.0258,-93.6089,1968,Gas_SC,108,263519000.0,3554398.289,210709.305,Gas,-126.3983008400848,120787.61140771864,0.00012078761140771864,0.0,Gas_SC→Gas,29029580.854,166.15384615384616
134,George Neal North,IA,42.299794,-96.361707,1964,Coal,1080,942043000.0,9719747.225,1019408.05,Wind,-107.33071254795219,1019408.05,0.0011401956614077186,0.00012078761140771862,Coal→Wind,49110685.45299998,2076.923076923077
660,Greater Des Moines,IA,41.5563,-93.5283,2003,Gas_CC,575,457689000.0,4992929.627,296722.743,Wind,-92.80546197687126,296722.743,0.0014369184044077186,0.0011401956614077186,Gas_CC→Wind,77752674.48600002,1105.769230769231
575,George Neal South,IA,42.3006,-96.3617,1979,Coal,695,759395000.0,7135139.05,748335.0499999999,Wind,-80.74365635433911,748335.0499999999,0.0021852534544077183,0.0014369184044077186,Coal→Wind,102990661.709,1336.5384615384614
129,Lansing,IA,43.3359,-91.1675,1948,Coal,339,405557000.0,4329877.575,453574.457,Gas,-55.85172494955674,315184.5409476286,0.002500437995355347,0.0021852534544077183,Coal→Gas,165567863.37299997,521.5384615384615
138,Muscatine Plant #1,IA,41.3917,-91.0569,1958,Coal,293,811937000.0,9568391.947,1003529.785,Gas,-46.08880882251519,726469.1171535216,0.0032269071125088688,0.002500437995355347,Coal→Gas,240421492.9049999,450.7692307692308
517,Ottumwa,IA,41.0961,-92.555833,1981,Coal,725,2751569000.0,28662182.975,3005151.0130000003,Gas,-35.07014822591673,2066221.58280324,0.0052931286953121085,0.0032269071125088688,Coal→Gas,383396204.36099994,1115.3846153846155
534,Louisa,IA,41.3181,-91.0931,1983,Coal,811,2046614000.0,19483009.331,2043380.589,Gas,-32.895927218719784,1345005.9100976312,0.006638134605409739,0.0052931286953121085,Coal→Gas,424286204.6129999,1247.6923076923078
135,Burlington (IA),IA,40.7412,-91.116667,1968,Coal,288,1224617000.0,12458284.273,1305468.737,Gas,-32.28610577929727,887587.5419366504,0.007525722147346391,0.006638134605409739,Coal→Gas,430629617.0539999,443.0769230769231
133,Walter Scott Jr Energy Center,IA,41.18,-95.8408,1954,Coal,1777,5450692000.0,52232489.325,5478142.3,Gas,-30.708513317643,3618179.8081496996,0.01114390195549609,0.007525722147346391,Coal→Gas,477698660.83899987,2733.846153846154
676,Emery Station,IA,43.094,-93.292222,2004,Gas_CC,602,2657240000.0,19742336.388,1173262.183,Wind,84.06114774430479,1173262.183,0.01231716413849609,0.01114390195549609,Gas_CC→Wind,1166169082.384,1157.6923076923076
1296,Marshalltown Generating Station,IA,42.043333,-92.872778,2017,Gas_CC,706,2737902000.0,19623687.102,1166207.249,Wind,105.71320152554911,1166207.249,0.01348337138749609,0.01231716413849609,Gas_CC→Wind,1217786088.6960003,1357.6923076923076
