,state,neg_MACC,high_MACC,num_solar,num_wind
0,KY,11,1,0,4
1,KS,7,1,0,2
2,IA,10,2,0,5
3,UT,4,3,0,0
4,WY,10,0,0,1
5,SD,3,1,0,3
6,TN,7,1,0,5
7,CA,27,19,16,10
8,VA,8,4,0,8
9,CT,2,5,0,5
10,OR,1,4,0,1
11,NC,10,4,0,4
12,NH,2,0,0,1
13,TX,52,32,0,40
14,MO,10,2,0,4
15,RI,3,2,0,2
16,WI,10,4,0,8
17,OK,10,5,0,10
18,FL,20,15,0,9
19,SC,9,3,0,1
20,WV,10,0,0,1
21,ME,1,1,0,1
22,MA,5,3,0,6
23,DE,1,1,0,1
24,MN,7,1,0,7
25,WA,4,5,0,3
26,AR,7,4,0,6
27,ND,7,0,0,1
28,LA,8,8,0,7
29,NJ,7,5,0,9
30,MI,12,4,0,9
31,MS,7,8,0,7
32,NE,9,0,0,1
33,NV,3,6,3,3
34,MT,5,0,0,2
35,OH,8,8,0,10
36,AL,5,9,0,6
37,AZ,9,7,3,2
38,CO,14,3,1,2
39,NY,29,7,0,16
40,GA,13,5,0,9
41,IL,19,4,0,15
42,NM,10,2,0,3
43,MD,4,3,0,5
44,IN,17,4,0,4
45,ID,3,0,0,2
46,PA,21,12,0,13
