,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
740,Masspower,MA,42.1575,-72.5225,1993,Gas_CC,260,256404000.0,2995553.975,178018.8,Gas,-128.66533848792938,90524.9876986657,9.052498769866571e-05,0.0,Gas_CC→Gas,28023933.610999998,400.0
874,Dighton Power Plant,MA,41.8312,-71.1239,1999,Gas_CC,200,216922000.0,1689282.333,100391.37,Wind,-83.85330696543865,100391.37,0.0001909163576986657,9.052498769866571e-05,Gas_CC→Wind,90402414.97100002,384.61538461538464
963,ANP Blackstone Energy Project,MA,42.059876,-71.515811,2001,Gas_CC,578,951288000.0,10517931.658,625063.477,Gas,-42.39708904909494,300451.4829729501,0.0004913678406716158,0.0001909163576986657,Gas_CC→Gas,276076579.5679999,889.2307692307692
893,Millennium Power,MA,42.112291,-72.015113,2001,Gas_CC,427,686521000.0,7559875.478,449275.269,Gas,-40.95797733840227,215010.8288394552,0.000706378669511071,0.0004913678406716157,Gas_CC→Gas,310675809.9279999,656.9230769230769
962,ANP Bellingham Energy Project,MA,42.110577,-71.453468,2002,Gas_CC,578,971792000.0,10925397.196,649280.37,Gas,-40.91959388483285,317671.71005733823,0.0010240503795684091,0.000706378669511071,Gas_CC→Gas,311325090.2979999,889.2307692307692
1335,Salem Harbor Station NGCC,MA,42.525486,-70.878239,2018,Gas_CC,796,865595000.0,6190364.34,367883.891,Wind,2.194547044120992,367883.891,0.0013919342705684093,0.0010240503795684091,Gas_CC→Wind,1045310597.8509997,1530.7692307692307
1317,Exelon West Medway II LLC,MA,42.137218,-71.4447,2019,Gas_SC,200,208911000.0,1940048.243,115862.331,Wind,9.204633509895245,115862.331,0.0015077966015684093,0.0013919342705684093,Gas_SC→Wind,1080650619.9409997,384.61538461538464
1021,Fore River Generating Station,MA,42.2422,-70.9661,2003,Gas_CC,871,3410507000.0,24815891.781,1475845.104,Wind,94.18772148209884,1475845.104,0.0029836417055684097,0.0015077966015684095,Gas_CC→Wind,1185543992.6050003,1675.0
879,Berkshire Power,MA,42.0476,-72.6478,1999,Gas_CC,289,634499000.0,4525904.71,268970.39,Wind,110.19453087058073,268970.39,0.0032526120955684097,0.0029836417055684097,Gas_CC→Wind,1224312368.5740006,555.7692307692308
189,Kendall Square Station,MA,42.3633,-71.0792,1949,Gas_CC,294,2027427000.0,13292160.9,789389.602,Wind,120.62357497642238,789389.602,0.004042001697568409,0.0032526120955684097,Gas_CC→Wind,1251846122.2280004,565.3846153846154
