,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
224,Baxter Wilson,MS,32.2831,-90.9306,1967,Gas_SC,1327,1577580000.0,15533548.14,923362.417,Gas,-130.4870992369089,385038.1770882242,0.0003850381770882242,0.0,Gas_SC→Gas,25600873.343,2041.5384615384617
682,Gerald Andrus,MS,33.35,-91.1167,1975,Gas_SC,781,1038230000.0,11519664.597,684678.854,Gas,-123.74343715371378,330399.27667041746,0.0007154374537586416,0.00038503817708822417,Gas_SC→Gas,30596182.082999997,1201.5384615384614
223,Jack Watson,MS,30.4392,-89.0286,1957,Gas_SC,1212,2392307000.0,23890945.719,1416769.574,Gas,-97.19235176857217,600432.622840236,0.0013158700765988776,0.0007154374537586415,Gas_SC→Gas,65785133.93799999,1864.6153846153848
652,Kemper County,MS,32.7976,-88.606,2002,Gas_SC,372,237128000.0,2844636.671,169112.43,Wind,-94.82251361636922,169112.43,0.0014849825065988776,0.0013158700765988776,Gas_SC→Wind,69189981.383,715.3846153846154
221,Chevron Oil,MS,30.34,-88.4919,1967,Gas_SC,169,600125000.0,6774642.308,402605.776,Gas,-87.55771978137584,197822.60527201512,0.0016828051118708926,0.0014849825065988776,Gas_SC→Gas,82892139.87000002,260.0
1133,Choctaw County,MS,33.2881,-89.4201,2003,Gas_CC,899,3511191000.0,37344958.965,2219356.867,Gas,-42.789723507771576,1021218.4358205558,0.0027040235476914485,0.0016828051118708929,Gas_CC→Gas,270205202.9999999,1383.0769230769229
225,Moselle,MS,31.528,-89.3004,1970,Gas_CC,509,1882630000.0,15859938.67,942495.124,Gas,-38.202326231922896,300077.39318121015,0.003004100940872659,0.0027040235476914485,Gas_CC→Gas,356977574.8739999,783.0769230769231
473,Victor J Daniel Jr,MS,30.5322,-88.5553,1977,Gas_CC,2226,11271082000.0,86375917.652,6399159.56,Gas,7.711926895187087,2553080.9772128845,0.005557181918085544,0.003004100940872659,Gas_CC→Gas,1080534757.6099997,3424.6153846153848
663,Sylvarena,MS,31.982076,-89.412714,2003,Gas_SC,141,239332000.0,2170681.193,128997.608,Gas,26.161743910425066,47329.34586016233,0.005604511263945706,0.005557181918085544,Gas_SC→Gas,1094924166.6599998,216.9230769230769
886,Batesville Generation Facility,MS,34.3356,-89.9275,2000,Gas_CC,1180,3964559000.0,31032589.753,1844228.465,Gas,64.00028654100453,491385.3697145693,0.006095896633660275,0.005604511263945706,Gas_CC→Gas,1122349180.9390004,1815.3846153846152
1072,Magnolia Power Plant,MS,34.835,-89.2026,2003,Gas_CC,1002,5376643000.0,39801866.898,2365371.562,Gas,119.78051905708517,530677.1209878358,0.0066265737546481115,0.006095896633660275,Gas_CC→Gas,1246874224.1800005,1541.5384615384614
1128,Quantum Choctaw Power LLC,MS,33.3792,-89.2089,2006,Gas_CC,850,3036637000.0,21958130.614,1304939.435,Wind,129.06101468745175,1304939.435,0.007931513189648113,0.0066265737546481115,Gas_CC→Wind,1274348297.2460005,1634.6153846153845
968,Attala,MS,33.0147,-89.6753,2001,Gas_CC,550,1992302000.0,13944152.135,828680.025,Wind,134.8681168660309,828680.025,0.008760193214648113,0.007931513189648113,Gas_CC→Wind,1286370902.1950006,1057.6923076923078
999,TVA Southaven Combined Cycle,MS,34.9939,-90.0378,2003,Gas_CC,903,4825238000.0,32473408.66,1929843.826,Wind,141.52487629741836,1929843.826,0.010690037040648113,0.008760193214648113,Gas_CC→Wind,1314011556.9050007,1736.5384615384617
967,Hinds Energy Facility,MS,32.378969,-90.219906,2001,Gas_CC,599,3086898000.0,20977381.988,1246659.052,Wind,148.1046504984826,1246659.052,0.011936696092648112,0.010690037040648113,Gas_CC→Wind,1333979962.6450007,1151.923076923077
952,Caledonia,MS,33.6464,-88.2717,2003,Gas_CC,801,4612607000.0,31395597.479,1865796.315,Wind,174.89029995301118,1865796.315,0.013802492407648111,0.011936696092648112,Gas_CC→Wind,1402315556.551,1540.3846153846155
1268,Ratcliffe,MS,32.654722,-88.762222,2014,Gas_CC,839,4609735000.0,31651622.68,1881009.101,Wind,197.01782379268846,1881009.101,0.015683501508648112,0.013802492407648111,Gas_CC→Wind,1458979146.193,1613.4615384615383
