,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
744,Las Vegas Generating Station,NV,36.2319,-115.1222,1994,Gas_CC,354,270089000.0,2819195.911,167537.117,Solar,-97.34810394685157,167537.117,0.00016753711699999999,0.0,Gas_CC→Solar,64368364.36399999,1106.25
255,Fort Churchill,NV,39.1281,-119.1322,1968,Gas_SC,230,660444000.0,7254595.796,431131.175,Gas,-69.78683771706741,205765.09891872815,0.00037330221591872815,0.00016753711699999999,Gas_SC→Gas,112408215.33000001,353.84615384615387
693,North Valmy,NV,40.881317,-117.151605,1981,Coal,566,1085346000.0,10399050.569,1090649.724,Gas,-26.14890468408153,720292.5563816945,0.0010935947723004226,0.00037330221591872815,Coal→Gas,582235247.0409998,870.7692307692307
1197,TS Power Plant,NV,40.7461,-116.5297,2008,Coal,406,1143626000.0,11928645.191,1249532.799,Gas,2.7062464632676124,859288.5025501563,0.001952883274850579,0.0010935947723004226,Coal→Gas,1046560130.6499997,624.6153846153846
256,Tracy,NV,39.5625,-119.525,1961,Gas_CC,1179,4752087000.0,37371457.612,2220932.507,Gas,13.395536596773882,599357.9293116226,0.0025522412041622017,0.0019528832748505792,Gas_CC→Gas,1087062732.9989996,1813.8461538461538
892,Desert Star Energy Center,NV,35.788889,-114.994167,2000,Gas_CC,535,1052953000.0,8026666.717,477014.132,Solar,123.04186608976347,477014.132,0.003029255336162202,0.0025522412041622017,Gas_CC→Solar,1252678790.6590004,1671.8749999999998
1023,Chuck Lenzie Generating Station,NV,36.383719,-114.921779,2006,Gas_CC,1462,6351277000.0,46868347.229,2785324.351,Wind,124.35471782102296,2785324.351,0.0058145796871622015,0.003029255336162202,Gas_CC→Wind,1255464115.0100005,2811.538461538462
546,Harry Allen,NV,36.430554,-114.902405,1995,Gas_CC,743,3529996000.0,25457435.529,1512898.14,Gas,126.40255231136027,308342.7998007017,0.006122922486962903,0.0058145796871622015,Gas_CC→Gas,1266872617.9330006,1143.0769230769229
1154,Silverhawk,NV,36.4078,-114.9606,2004,Gas_CC,664,2626535000.0,19774016.517,1175139.812,Wind,134.65747495598148,1175139.812,0.007298062298962903,0.006122922486962903,Gas_CC→Wind,1284883709.2090006,1276.923076923077
1098,Apex Generating Station,NV,36.415999,-114.960916,2003,Gas_CC,600,2818786000.0,19243962.735,1143652.533,Wind,156.18905411489527,1143652.533,0.008441714831962904,0.007298062298962904,Gas_CC→Wind,1361795712.5230005,1153.8461538461538
1126,Higgins Generating Station,NV,35.6139,-115.3561,2004,Gas_CC,688,1842700000.0,13480493.969,801130.104,Solar,164.68076660599485,801130.104,0.009242844935962904,0.008441714831962904,Gas_CC→Solar,1385889674.6560001,2149.9999999999995
