,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
286,74th Street,NY,40.768,-73.9515,1968,Oil,36,280000.0,2475553.925,147554.775,Gas,-193.67438250821183,147459.22942565492,0.00014745922942565492,0.0,Oil→Gas,379826.583,55.38461538461539
279,Arthur Kill Generating Station,NY,40.591564,-74.200035,1959,Gas_SC,895,937632000.0,10129449.587,601846.01,Gas,-192.48660066580052,281893.9101274369,0.00042935313955309184,0.00014745922942565492,Gas_SC→Gas,1138722.676,1376.923076923077
695,Astoria Generating Station,NY,40.787674,-73.912561,1954,Gas_SC,1345,1522144000.0,8977037.817,533408.173,Wind,-192.07554404444505,533408.173,0.0009627613125530918,0.00042935313955309184,Gas_SC→Wind,1672130.849,2586.538461538462
291,Port Jefferson,NY,40.949696,-73.078507,1948,Gas_SC,590,600008000.0,6140145.224,369870.655,Gas,-190.40280954377175,165127.4086727236,0.0011278887212258155,0.0009627613125530918,Gas_SC→Gas,2943174.346,907.6923076923076
1178,Equus Freeport Power,NY,40.6439,-73.5683,2004,Gas_SC,120,72764000.0,614735.0869999999,36532.631,Wind,-183.68577292860056,36532.631,0.0011644213522258155,0.0011278887212258155,Gas_SC→Wind,4682148.243,230.76923076923077
710,Castleton Energy Center,NY,42.5375,-73.7433,1992,Gas_CC,72,81970000.0,739155.058,43928.712,Gas,-158.92879927496193,15957.745110480446,0.0011803790973362958,0.0011644213522258155,Gas_CC→Gas,11222194.544000002,110.76923076923077
280,East River,NY,40.7281,-73.9742,1951,Gas_SC,716,2593206000.0,36564742.325,2173868.175,Gas,-149.276079180642,1288977.6154818414,0.0024693567128181372,0.001180379097336296,Gas_SC→Gas,14580593.310000002,1101.5384615384614
813,Nassau Energy Corp,NY,40.7264,-73.5892,1991,Gas_CC,55,141677000.0,1775502.244,105527.713,Gas,-148.9785283078544,57182.676083976316,0.0025265393889021136,0.0024693567128181372,Gas_CC→Gas,14686121.023000002,84.61538461538461
641,Harlem River Yard,NY,40.7991,-73.9156,2001,Gas_SC,94,68281000.0,612916.188,36424.699,Wind,-143.8911530748994,36424.699,0.0025629640879021136,0.0025265393889021136,Gas_SC→Wind,14846607.559,180.76923076923077
287,E F Barrett,NY,40.616689,-73.647881,1956,Gas_SC,684,1469493000.0,15812832.339,941535.239,Gas,-142.77847565372957,440093.97942478023,0.003003058067326894,0.0025629640879021136,Gas_SC→Gas,15944803.303000001,1052.3076923076924
290,Northport,NY,40.923565,-73.342323,1967,Gas_SC,1564,3136361000.0,31779700.968,1892666.569,Gas,-140.24267639279537,822432.9507911378,0.0038254910181180317,0.003003058067326894,Gas_SC→Gas,19644424.553999998,2406.1538461538457
827,Indeck Olean Energy Center,NY,42.085944,-78.45425,1994,Gas_CC,90,87172000.0,748123.9500000001,44458.975,Wind,-135.67486832237967,44458.975,0.003869949993118032,0.0038254910181180317,Gas_CC→Wind,20385838.081,173.0769230769231
