,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
782,Frontier,OK,35.439722,-97.625,1989,Gas_CC,131,224609000.0,1829087.25,90563.621,Gas,-156.98885927744564,13919.349899742621,1.3919349899742621e-05,0.0,Gas_CC→Gas,11312758.165000001,201.53846153846155
333,Mustang,OK,35.46988,-97.67498,1950,Gas_SC,995,1161180000.0,10664970.871,629325.727,Wind,-140.3127601644342,629325.727,0.0006432450768997426,1.3919349899742637e-05,Gas_SC→Wind,17751757.985,1913.4615384615383
331,Horseshoe Lake,OK,35.50866,-97.17969,1958,Gas_SC,973,1100144000.0,11918441.24,708294.052,Wind,-122.55543569428177,708294.052,0.0013515391288997426,0.0006432450768997426,Gas_SC→Wind,32204131.988999996,1871.1538461538462
334,Seminole,OK,34.96645,-96.7258,1971,Gas_SC,1724,2667360000.0,28228357.389,1677574.715,Gas,-95.4097173038085,767380.2750533259,0.0021189194039530684,0.0013515391288997424,Gas_SC→Gas,67462708.653,2652.3076923076924
26,GREC,OK,36.190278,-95.2894,1981,Gas_CC,1734,2615424000.0,17736827.73,1099988.09,Wind,-94.77042926940389,1099988.09,0.0032189074939530686,0.002118919403953069,Gas_CC→Wind,71305436.55600001,3334.6153846153848
483,Sooner,OK,36.45307,-97.05279,1979,Coal,2088,2562602000.0,26416800.709,2765181.454,Wind,-61.41572410134801,2765181.454,0.005984088947953069,0.0032189074939530686,Coal→Wind,134536968.37399998,4015.3846153846152
335,Northeastern,OK,36.4317,-95.7008,1961,Coal,1949,3054286000.0,34998029.009,2688246.005,Gas,-61.26232201010363,1646019.1832710365,0.007630108131224105,0.005984088947953069,Coal→Gas,137225214.37899998,2998.461538461538
332,Muskogee,OK,35.76135,-95.28732,1956,Gas_SC,1889,2887174000.0,31639775.147,2623045.207,Gas,-53.11815978623705,1637842.7139137278,0.009267950845137833,0.007630108131224105,Gas_SC→Gas,177044352.35599995,2906.153846153846
1299,Charles D. Lamb Energy Center,OK,36.813889,-97.125278,2015,Gas_SC,122,118247000.0,1401776.227,83307.952,Wind,-20.938865955122502,83307.952,0.009351258797137833,0.009267950845137833,Gas_SC→Wind,703677582.6159999,234.61538461538464
1075,McClain Energy Facility,OK,35.29774,-97.58985,2001,Gas_CC,550,2027271000.0,20765777.089,1234080.628,Gas,-20.882915616179417,542306.4421139052,0.009893565239251736,0.009351258797137831,Gas_CC→Gas,704911663.244,846.1538461538462
1089,Kiamichi Energy Facility,OK,34.6831,-95.9349,2003,Gas_CC,1366,5360668000.0,41298343.444,2454302.362,Wind,79.15047811942479,2454302.362,0.012347867601251736,0.009893565239251736,Gas_CC→Wind,1148243005.073,2626.923076923077
1076,Redbud Power Plant,OK,35.6856,-97.2264,2004,Gas_CC,1428,6086733000.0,44912352.005,2669066.3,Wind,87.16740729144729,2669066.3,0.015016933901251738,0.012347867601251736,Gas_CC→Wind,1176273890.627,2746.153846153846
928,Green Country Energy LLC,OK,35.9833,-95.9346,2002,Gas_CC,903,4330907000.0,30928885.454,1838053.253,Wind,99.19217661457455,1838053.253,0.016854987154251735,0.015016933901251734,Gas_CC→Wind,1197327396.6610005,1736.5384615384617
973,Oneta Energy Center,OK,36.0119,-95.6967,2002,Gas_CC,1214,6575696000.0,47218564.498,2806134.957,Wind,100.78409675097247,2806134.957,0.019661122111251733,0.016854987154251735,Gas_CC→Wind,1201617996.6350005,2334.6153846153848
599,Chouteau,OK,36.222058,-95.277064,2000,Gas_CC,1068,6282371000.0,43467959.588,2583233.637,Wind,109.17481370454956,2583233.637,0.022244355748251735,0.019661122111251733,Gas_CC→Wind,1224043398.1840005,2053.846153846154
