,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
860,Grays Ferry Cogeneration,PA,39.942219,-75.188069,1997,Gas_SC,192,865346000.0,12846683.748,638441.926,Gas,-141.96297522476087,343156.2810813933,0.0003431562810813933,0.0,Gas_SC→Gas,17122432.258,295.38461538461536
351,New Castle Plant,PA,40.937939,-80.369007,1939,Gas_SC,424,595298000.0,6338136.165,376668.958,Gas,-134.0664551623592,173532.92472688528,0.0005166892058082786,0.0003431562810813933,Gas_SC→Gas,22739830.482,652.3076923076924
352,Brunner Island,PA,40.096111,-76.6962,1961,Gas_SC,1621,2060637000.0,19918795.885,1342783.238,Gas,-104.81764827162493,639623.4319939135,0.001156312637802192,0.0005166892058082785,Gas_SC→Gas,52659085.53399998,2493.846153846154
348,Shawville,PA,41.06755,-78.366228,1954,Gas_SC,632,1481276000.0,15157043.114,900764.211,Gas,-102.56912257007916,395302.1889158233,0.0015516148267180154,0.001156312637802192,Gas_SC→Gas,55614459.437999986,972.3076923076924
357,Hunlock Power Station,PA,41.200556,-76.07,1959,Gas_CC,145,269228000.0,2075792.719,123361.755,Gas,-70.92580901012049,31491.955393661454,0.0015831067821116768,0.0015516148267180154,Gas_CC→Gas,111977084.15500002,223.0769230769231
694,Cheswick Power Plant,PA,40.5383,-79.7906,1970,Coal,637,645388000.0,6543784.6620000005,665475.228,Wind,-66.52178584065972,665475.228,0.002248582010111677,0.0015831067821116768,Coal→Wind,120880994.735,1225.0000000000002
717,Foster Wheeler Mt Carmel Cogen,PA,40.811189,-76.452951,1990,Coal,47,41791000.0,774489.808,91160.458,Gas,-65.33240818079975,76899.93979480406,0.002325481949906481,0.002248582010111677,Coal→Gas,122111081.872,72.3076923076923
978,Liberty Electric Power Plant,PA,39.8614,-75.3358,2002,Gas_CC,614,2411821000.0,27416463.35,1629330.79,Gas,-64.4517777630039,806334.9947767728,0.003131816944683254,0.002325481949906481,Gas_CC→Gas,124040993.65200001,944.6153846153846
1029,Ironwood LLC,PA,40.3509,-76.3658,2001,Gas_CC,777,3300793000.0,35940023.9,2135860.525,Gas,-59.794622856870156,1009517.0857886064,0.00414133403047186,0.003131816944683254,Gas_CC→Gas,141458422.809,1195.3846153846155
1170,Hunterstown Power Plant,PA,39.8725,-77.1672,2003,Gas_CC,898,4282993000.0,46596373.326,2769155.771,Gas,-56.81165221528871,1307652.106353861,0.005448986136825722,0.00414133403047186,Gas_CC→Gas,164005572.34499997,1381.5384615384614
