,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
1322,Bacliff,TX,29.49233,-94.98483,2018,Gas_SC,426,129998000.0,1566138.4,92408.2,Wind,-198.3932634973979,92408.2,9.24082e-05,0.0,Gas_SC→Wind,144486.104,819.2307692307693
1330,Chamon Power LLC,TX,29.883214,-95.111345,2017,Gas_SC,120,44814000.0,403419.687,23972.504,Wind,-186.17608831111284,23972.504,0.000116380704,9.24082e-05,Gas_SC→Wind,3927076.049,230.76923076923077
401,Decker Creek,TX,30.3033,-97.6128,1971,Gas_SC,930,718600000.0,8587296.678,486626.463,Wind,-185.99973981310802,486626.463,0.000603007167,0.00011638070400000003,Gas_SC→Wind,4413702.512,1788.4615384615386
1329,Port Comfort Power LLC,TX,28.64807,-96.54621,2017,Gas_SC,120,50094000.0,444437.984,26412.332,Wind,-172.78605916491034,26412.332,0.000629419499,0.000603007167,Gas_SC→Wind,5814373.072000001,230.76923076923077
385,Cedar Bayou,TX,29.75,-94.9256,1970,Gas_SC,2295,2006819000.0,20382213.632,1211289.521,Wind,-166.18025243151044,1211289.521,0.00184070902,0.000629419499,Gas_SC→Wind,8681914.934000002,4413.461538461539
391,Wilkes,TX,32.848163,-94.547986,1964,Gas_SC,882,751984000.0,7860591.172,467167.276,Wind,-160.12918765345074,467167.276,0.002307876296,0.00184070902,Gas_SC→Wind,10522059.953000003,1696.1538461538462
512,Dansby,TX,30.7217,-96.4608,1978,Gas_SC,203,184525000.0,2087481.998,124061.837,Gas,-145.40978411509775,61095.59733562772,0.002368971893335628,0.002307876296,Gas_SC→Gas,14810182.860000001,312.3076923076923
1239,Hardin County Peaking Facility,TX,30.3038,-94.2526,2001,Gas_SC,172,96045000.0,1176841.821,69936.379,Wind,-143.65888902268154,69936.379,0.002438908272335628,0.002368971893335628,Gas_SC→Wind,14916543.938000001,330.76923076923083
447,Barney M Davis,TX,27.6064,-97.3117,1974,Gas_CC,1081,1335596000.0,10299947.489,612109.759,Wind,-133.60964525700203,612109.759,0.003051018031335628,0.002438908272335628,Gas_CC→Wind,23351940.241,2078.846153846154
404,Sim Gideon,TX,30.1456,-97.2708,1965,Gas_SC,623,680051000.0,6856742.529,407490.218,Gas,-132.66927681513113,175433.56307521457,0.0032264515944108426,0.003051018031335628,Gas_SC→Gas,24037906.827,958.4615384615385
407,O W Sommers,TX,29.308056,-98.3242,1972,Gas_SC,892,979976000.0,10762585.211,639604.099,Gas,-130.91599306402188,305202.7784129095,0.0035316543728237523,0.003226451594410843,Gas_SC→Gas,24677510.926,1372.3076923076924
1079,Green Power 2,TX,29.378097,-94.932773,2003,Gas_CC,861,1322500000.0,48285090.776,2869502.616,Gas,-107.60792667938493,2418220.394316584,0.0059498747671403365,0.0035316543728237523,Gas_CC→Gas,48091277.40299998,1324.6153846153848
378,Nueces Bay,TX,27.819412,-97.419203,1949,Gas_CC,941,1252086000.0,9111852.548,541505.7170000001,Wind,-106.34507044222951,541505.7170000001,0.006491380484140337,0.0059498747671403365,Gas_CC→Wind,49652191.16999998,1809.6153846153845
379,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317,Gas,-102.51843296196832,115897.19420942094,0.006607277678349757,0.006491380484140337,Gas_CC→Gas,56060041.75499999,1095.3846153846155
713,Bayou Cogen Plant,TX,29.6225,-95.0458,1984,Gas_SC,620,2322614000.0,32623627.833,1890563.488,Gas,-99.28744990432203,1098008.1715289182,0.007705285849878676,0.006607277678349757,Gas_SC→Gas,62072792.87699999,953.8461538461538
759,Paris Energy Center,TX,33.6968,-95.5577,1989,Gas_CC,264,408641000.0,3474746.948,206500.832,Gas,-94.31047207016752,67058.54969305647,0.007772344399571733,0.007705285849878676,Gas_CC→Gas,73698991.42500001,406.1538461538462
873,Sweeny Cogen Facility,TX,29.0728,-95.745,1997,Gas_SC,572,3243291000.0,55995276.912,3327820.999,Gas,-93.76250115524222,2221099.208417143,0.009993443607988876,0.007772344399571732,Gas_SC→Gas,77026812.42400001,880.0
394,Plant X,TX,34.1661,-102.4114,1952,Gas_SC,434,976440000.0,10435557.995,620181.384,Gas,-90.24305972206379,286986.66752321,0.010280430275512085,0.009993443607988876,Gas_SC→Gas,78715368.86900002,667.6923076923077
446,Thomas C Ferguson,TX,30.558,-98.3705,1974,Gas_CC,1020,2336710000.0,23833676.627,1416400.308,Gas,-85.63566876954887,619034.9543290321,0.010899465229841119,0.010280430275512085,Gas_CC→Gas,90188532.613,1569.2307692307693
384,Sabine,TX,30.0242,-93.878,1962,Gas_SC,2049,4956860000.0,50392669.797,2994758.426,Gas,-83.05870217311887,1303308.298685325,0.012202773528526443,0.010899465229841119,Gas_SC→Gas,95649681.18800001,3152.3076923076924
572,San Jacinto Steam Electric Station,TX,29.694838,-95.040622,1995,Gas_SC,176,932261000.0,12785306.369,759890.8809999999,Gas,-82.64773458919356,441771.5499838917,0.012644545078510337,0.012202773528526443,Gas_SC→Gas,96409572.069,270.7692307692308
393,Nichols,TX,35.283357,-101.746423,1960,Gas_SC,473,1351105000.0,14264860.448,847745.3369999999,Gas,-80.77053688370641,386702.1111946526,0.01303124718970499,0.012644545078510337,Gas_SC→Gas,102242326.65900001,727.6923076923077
796,Optim Energy Altura Cogen LLC,TX,29.8161,-95.10773,1985,Gas_CC,638,3400434000.0,38558836.591,2291515.129,Gas,-74.34839320912572,1131170.7734553309,0.01416241796316032,0.01303124718970499,Gas_CC→Gas,109854685.99200001,981.5384615384615
392,Jones,TX,33.5239,-101.7392,1971,Gas_SC,858,2817409000.0,28763007.782,1709344.851,Gas,-72.85525306927275,747948.5614643845,0.014910366524624706,0.01416241796316032,Gas_SC→Gas,111655542.14800002,1320.0
822,C R Wing Cogen Plant,TX,32.273178,-101.422386,1987,Gas_CC,229,643828000.0,6149831.097,365478.925,Gas,-69.65688156232532,145782.79628771995,0.015056149320912425,0.014910366524624706,Gas_CC→Gas,112773694.25500001,352.3076923076923
906,Sabine Cogen,TX,30.0444,-93.771389,2000,Gas_CC,105,114266000.0,1585069.487,94199.018,Gas,-64.49887734862621,55207.551578164675,0.015111356872490588,0.015056149320912425,Gas_CC→Gas,122411662.862,161.53846153846155
382,Newman,TX,31.983587,-106.431777,1960,Gas_CC,879,3118790000.0,29565593.574,1757096.285,Gas,-59.97835384380205,692858.492815485,0.015804215365306074,0.015111356872490588,Gas_CC→Gas,138982310.66399997,1352.3076923076924
383,Lewis Creek,TX,30.4356,-95.5214,1970,Gas_SC,542,2362997000.0,23027716.052,1368501.96,Gas,-58.60452929874404,562166.5830690004,0.016366381948375076,0.015804215365306074,Gas_SC→Gas,156992993.852,833.8461538461539
1238,San Jacinto County Peaking Facility,TX,30.4193,-95.0118,2001,Gas_SC,170,239685000.0,2826051.008,167945.994,Gas,-42.86552445378197,86157.27618964872,0.016452539224564723,0.016366381948375076,Gas_SC→Gas,267985846.1329999,261.53846153846155
933,Lost Pines 1 Power Project,TX,30.1478,-97.2714,2001,Gas_CC,608,1940683000.0,21070905.502,1252212.01,Gas,-42.2062767627221,589984.6105117302,0.017042523835076456,0.016452539224564727,Gas_CC→Gas,283237046.9099999,935.3846153846154
20,Oklaunion,TX,34.0825,-99.1753,1986,Coal,720,1209201000.0,12914358.63,1354458.972,Gas,-38.99818477632056,941838.2432727348,0.01798436207834919,0.017042523835076453,Coal→Gas,337023438.17599994,1107.6923076923078
507,Tolk,TX,34.186494,-102.56999,1982,Coal,1134,2029709000.0,21336678.285,2222219.412,Gas,-37.38644927014699,1529613.2971487148,0.019513975375497903,0.01798436207834919,Coal→Gas,363819690.7529999,1744.6153846153848
493,Welsh,TX,33.05522,-94.839993,1977,Coal,1674,3587706000.0,38601790.456,4048551.427,Gas,-35.10182641875136,2824303.461459795,0.0223382788369577,0.019513975375497906,Coal→Gas,380391053.34799993,2575.3846153846157
388,W A Parish,TX,29.4828,-95.6311,1958,Coal,4005,11731786000.0,116339094.918,11373985.015,Gas,-28.836446115882683,7370698.474059058,0.029708977311016762,0.0223382788369577,Coal→Gas,506880231.69799984,6161.538461538461
547,J K Spruce,TX,29.309722,-98.3203,1992,Coal,1444,5671932000.0,61814937.049,6342205.970000001,Gas,-28.28657003054702,4406748.8250493305,0.034115726136066095,0.029708977311016765,Coal→Gas,520533777.0109999,2221.5384615384614
543,Major Oak Power,TX,31.091925,-96.69503,1990,Coal,948,2702959000.0,28259329.438,3076585.624,Gas,-28.06480768678271,2154243.5879779323,0.036269969724044025,0.034115726136066095,Coal→Gas,534145567.1309999,1458.4615384615383
