,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
617,Louisa Generation Facility,VA,38.1181,-78.2139,2003,Gas_SC,507,378549000.0,4005133.685,238054.684,Wind,-59.648760288902125,238054.684,0.000238054684,0.0,Gas_SC→Wind,141696477.49299997,975.0
732,Hopewell Cogeneration,VA,37.291667,-77.281111,1990,Gas_CC,399,1501401000.0,17264209.884,1025984.208,Gas,-59.56688104936705,513654.8477597713,0.0007517095317597712,0.000238054684,Gas_CC→Gas,142722461.70099998,613.8461538461539
616,Marsh Run Generation Facility,VA,38.5283,-77.7681,2004,Gas_SC,708,596322000.0,5981067.2530000005,355516.912,Wind,-46.88689498392264,355516.912,0.0011072264437597713,0.0007517095317597712,Gas_SC→Wind,223689369.7599999,1361.5384615384617
618,Remington,VA,38.5442,-77.7714,2000,Gas_SC,704,720233000.0,7055949.974,419713.811,Wind,-36.21214888316907,419713.811,0.0015269402547597713,0.0011072264437597713,Gas_SC→Wind,367520606.8889999,1353.8461538461538
416,Chesterfield,VA,37.3822,-77.3833,1952,Coal,1797,3645796000.0,30464363.285,2020768.003,Gas,-35.36154861838049,776697.7431251332,0.0023036379978849044,0.0015269402547597713,Coal→Gas,376342501.92099994,2764.6153846153843
811,Doswell Energy Center,VA,37.820805,-77.446246,1991,Gas_CC,1313,5804767000.0,52120200.275,3097620.62,Gas,-20.671447035315968,1116835.6308774462,0.0034204736287623506,0.002303637997884904,Gas_CC→Gas,715405281.6179999,2020.0
558,Clover,VA,36.869,-78.704,1995,Coal,848,1360680000.0,13959582.122,1432252.161,Gas,-15.694545016547375,967941.6177862454,0.0043884152465485955,0.0034204736287623506,Coal→Gas,835235345.2249998,1304.6153846153848
417,Possum Point,VA,38.5367,-77.2806,1948,Oil,2081,3862181000.0,26901544.118,1604137.311,Gas,-4.676645354886413,286229.0900370681,0.004674644336585664,0.0043884152465485955,Oil→Gas,1006953082.4479997,3201.5384615384614
619,Ladysmith,VA,38.0722,-77.5133,2001,Gas_SC,890,1184227000.0,11435831.524,682849.364,Wind,4.1479398359020685,682849.364,0.005357493700585665,0.004674644336585664,Gas_SC→Wind,1062139213.2899997,1711.5384615384614
1140,Buchanan Generation LLC,VA,37.175278,-81.961388,2002,Gas_SC,88,461314000.0,4357006.208,258931.451,Gas,9.969262873101059,101515.33998777816,0.005459009040573442,0.005357493700585665,Gas_SC→Gas,1080909551.3919997,135.3846153846154
866,Gordonsville Energy LP,VA,38.124688,-78.203543,1994,Gas_CC,300,1189547000.0,9992829.717,594369.426,Gas,15.26334790247907,188455.3141233705,0.005647464354696813,0.005459009040573442,Gas_CC→Gas,1089493842.7089996,461.53846153846155
1297,Brunswick County Power Station,VA,36.765,-77.713889,2016,Gas_CC,1470,10165534000.0,69586192.378,4135381.48,Wind,168.2523300381331,4135381.48,0.009782845834696812,0.005647464354696812,Gas_CC→Wind,1393050779.3960001,2826.923076923077
1319,Greensville County Power Station,VA,36.718236,-77.649559,2018,Gas_CC,1770,10939560000.0,70502052.51,4189822.459,Wind,176.74701606914203,4189822.459,0.013972668293696814,0.009782845834696815,Gas_CC→Wind,1409152465.7290003,3403.8461538461543
1069,Tenaska Virginia Generating Station,VA,37.8667,-78.3813,2004,Gas_CC,1011,4572029000.0,32395611.093,1925324.45,Wind,186.83443010505235,1925324.45,0.015897992743696812,0.013972668293696814,Gas_CC→Wind,1427899937.2680006,1944.2307692307693
1308,Stonewall,VA,39.058056,-77.545,2017,Gas_CC,812,5067700000.0,33868405.689,2012750.541,Wind,194.11458980488632,2012750.541,0.017910743284696815,0.015897992743696816,Gas_CC→Wind,1454429434.425,1561.5384615384617
