,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission,new_capacity
1035,Pleasants Energy LLC,WV,39.3325,-81.3642,2002,Gas_SC,344,1712479000.0,17086432.614,1015467.083,Gas,-94.78493701197334,431110.6915397395,0.0004311106915397395,0.0,Gas_SC→Gas,70205448.466,529.2307692307692
1007,Big Sandy Peaker Plant,WV,38.3441,-82.5938,2001,Gas_SC,348,269174000.0,2687489.8,158624.9,Wind,-79.3447192751692,158624.9,0.0005897355915397395,0.0004311106915397395,Gas_SC→Wind,103149286.60900001,669.2307692307692
423,Mitchell (WV),WV,39.8297,-80.8153,1971,Coal,1632,3956208000.0,39052565.323,4000630.396,Gas,-55.57077923500412,2650636.9474694114,0.003240372539009151,0.0005897355915397396,Coal→Gas,172120654.58899996,2510.769230769231
424,Mt Storm,WV,39.2008,-79.2636,1965,Coal,1680,5067481000.0,50102368.115,5140495.682,Gas,-52.192339581663276,3411297.8869009465,0.006651670425910097,0.003240372539009151,Coal→Gas,185038572.59099996,2584.6153846153848
420,John E Amos,WV,38.4731,-81.8233,1971,Coal,2932,11396439000.0,109028027.615,11181736.999,Gas,-45.23859757708923,7292882.321344402,0.013944552747254499,0.006651670425910096,Coal→Gas,251603229.90399992,4510.769230769231
451,Pleasants Power Station,WV,39.366667,-81.294444,1979,Coal,1368,5439737000.0,51133697.24,5246313.091,Gas,-42.77969577438127,3390088.8197459504,0.017334641567000448,0.013944552747254499,Coal→Gas,275451516.0909999,2104.6153846153848
520,Mountaineer,WV,38.9794,-81.9344,1980,Coal,1300,5764921000.0,53620440.307,5491899.428,Gas,-40.33983765802598,3524711.2565751383,0.020859352823575587,0.017334641567000448,Coal→Gas,323790922.22299993,2000.0
421,FirstEnergy Fort Martin Power Station,WV,39.710833,-79.9275,1967,Coal,1152,5568901000.0,50443729.948,5175523.081,Gas,-35.77441585494374,3275223.6363005694,0.024134576459876156,0.020859352823575587,Coal→Gas,372696129.9699999,1772.3076923076924
422,FirstEnergy Harrison Power Station,WV,39.384167,-80.3325,1972,Coal,2052,11779753000.0,104654602.334,10737557.678,Gas,-31.38559082338156,6717903.156471164,0.03085247961634732,0.024134576459876156,Coal→Gas,461250686.23899984,3156.9230769230767
1247,Longview Power Plant,WV,39.707893,-79.958974,2011,Coal,807,5487405000.0,46366753.596,4757227.216,Gas,-4.39956641553594,2884736.99318209,0.033737216609529413,0.030852479616347322,Coal→Gas,1011710309.6639997,1241.5384615384614
