,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,ori_rep,cum_emission,cum_red,cum_red_prev
478,Somerset Operating Co LLC,NY,43.358889,-78.604722,1984,Coal,655,160448000.0,1699406.1590000002,174360.03000000003,Gas,-196.24363137297414,119598.98525053443,Coal_Gas,174360.03000000003,0.00011959898525053443,0.0
326,West Lorain,OH,41.429444,-82.264444,1973,Gas_SC,555,73356000.0,888018.975,51151.294,Gas,-193.2753914443748,26114.826118556804,Gas_Gas,225511.32400000002,0.00014571381136909125,0.00011959898525053443
159,Paddys Run,KY,38.223592,-85.841704,1968,Gas_SC,226,37974000.0,373420.159,22061.642,Gas,-188.89498335264028,9101.082109467201,Gas_Gas,247572.96600000001,0.00015481489347855844,0.00014571381136909125
772,Indeck Oswego Energy Center,NY,43.471745,-76.493474,1990,Gas_CC,57,20428000.0,184664.225,10974.925,Gas,-187.31569485147995,4002.8304762784,Gas_Gas,258547.891,0.00015881772395483687,0.00015481489347855844
683,Waterford 1 & 2,LA,29.998884,-90.47684,1975,Gas_SC,931,134210000.0,1479339.405,88188.89199999999,Gas,-185.62149874843809,42382.89992888799,Gas_Gas,346736.783,0.00020120062388372486,0.00015881772395483687
184,Dickerson,MD,39.2097,-77.4644,1959,Coal,933,282632000.0,2854660.235,267877.677,Gas,-184.79202932416814,171415.12464888964,Coal_Gas,614614.46,0.0003726157485326145,0.00020120062388372486
145,Gordon Evans Energy Center,KS,37.7903,-97.521667,1961,Gas_SC,902,134118000.0,1473745.773,87637.59,Gas,-182.2685473683606,41862.9976105104,Gas_Gas,702252.0499999999,0.0004144787461431249,0.0003726157485326145
254,Clark (NVE),NV,36.0875,-115.0507,1955,Gas_SC,1556,305307000.0,2762815.958,164189.31399999998,Gas,-177.95952311644598,59987.76403162959,Gas_Gas,866441.364,0.0004744665101747545,0.0004144787461431249
708,Carson Cogeneration,CA,33.8759,-118.2491,1989,Gas_CC,55,21575000.0,188613.65,11209.479,Gas,-177.35066020460408,3845.91235866,Gas_Gas,877650.843,0.0004783124225334145,0.0004744665101747545
258,Merrimack,NH,43.1411,-71.4692,1960,Coal,494,143744000.0,1432798.63,144674.354,Gas,-176.73963549178382,95614.39927032319,Coal_Gas,1022325.1969999999,0.0005739268218037377,0.00047831242253341445
319,Avon Lake,OH,41.504453,-82.054619,1949,Coal,873,273478000.0,2536566.807,260085.369,Gas,-173.4361873140378,166747.08497031842,Coal_Gas,1282410.5659999999,0.0007406739067740562,0.0005739268218037377
341,Brunot Island,PA,40.464851,-80.043761,1972,Gas_CC,414,96989000.0,1344596.326,79904.876,Gas,-172.75710214922267,46802.44425135921,Gas_Gas,1362315.4419999998,0.0007874763510254154,0.0007406739067740562
259,Schiller,NH,43.0978,-70.7842,1952,Coal,171,26631000.0,516433.601,50943.944,Gas,-167.83876181660258,41854.7600729768,Coal_Gas,1413259.3859999997,0.0008293311110983922,0.0007874763510254154
361,Hagood,SC,32.8265,-79.9634,1991,Gas_SC,176,18096000.0,242570.411,16567.102,Gas,-159.0522933970864,10390.9211452288,Gas_Gas,1429826.4879999997,0.000839722032243621,0.0008293311110983922
565,Sherman Avenue,NJ,39.451,-75.0578,1991,Gas_SC,112,18248000.0,216920.721,12892.044,Gas,-156.66850917259544,6663.9854103744,Gas_Gas,1442718.5319999997,0.0008463860176539953,0.000839722032243621
196,Cleary Flood Hybrid,MA,41.8653,-71.1061,1966,Gas_CC,149,52643000.0,560039.6190000001,33339.974,Gas,-155.91076542140806,15372.871395130402,Gas_Gas,1476058.5059999996,0.0008617588890491257,0.0008463860176539953
1144,Shoreham Energy LLC,NY,40.957053,-72.865877,2002,Oil,100,41560000.0,340518.171,27632.448,Gas,-154.06548458595003,13447.983127968002,Oil_Gas,1503690.9539999997,0.0008752068721770938,0.0008617588890491257
773,Indeck Yerkes Energy Center,NY,42.9671,-78.9182,1989,Gas_CC,59,23979000.0,227488.85,13520.075,Gas,-153.41650009861215,5336.021025831201,Gas_Gas,1517211.0289999996,0.000880542893202925,0.0008752068721770938
209,Syl Laskin,MN,47.5306,-92.1619,1953,Gas_SC,116,16321000.0,231467.104,13757.691,Gas,-151.78159259112218,8187.3192200088015,Gas_Gas,1530968.7199999997,0.0008887302124229337,0.000880542893202925
47,Glenarm,CA,34.126,-118.1494,1976,Gas_SC,263,59400000.0,553801.559,32911.778,Gas,-147.92501230098907,12638.505300320001,Gas_Gas,1563880.4979999997,0.0009013687177232538,0.0008887302124229337
737,Brush Generation Facility,CO,40.2415,-103.631,1990,Gas_CC,294,106917000.0,1205080.811,71619.13799999999,Gas,-144.87111870068225,35128.2710432376,Gas_Gas,1635499.6359999997,0.0009364969887664914,0.0009013687177232538
108,Will County,IL,41.6334,-88.0629,1955,Coal,1267,372616000.0,4087933.475,431771.475,Gas,-144.4515885060778,304597.3036150848,Coal_Gas,2067271.1109999996,0.0012410942923815763,0.0009364969887664914
410,Sam Rayburn,TX,28.8947,-97.135,1963,Gas_CC,238,89517000.0,972792.196,59365.893,Gas,-137.2348548518345,28813.6614805176,Gas_Gas,2126637.0039999997,0.001269907953862094,0.0012410942923815763
353,TalenEnergy Martins Creek,PA,40.797762,-75.105416,1954,Gas_SC,2107,429311000.0,4799172.85,286181.735,Gas,-136.94828685415584,139657.5098152808,Gas_Gas,2412818.7389999996,0.0014095654636773747,0.001269907953862094
571,Van Sant Station,DE,39.145036,-75.548172,1991,Gas_SC,45,7595000.0,99860.114,6053.573,Gas,-136.3644080542603,3461.3927617160007,Gas_Gas,2418872.3119999995,0.0014130268564390906,0.0014095654636773747
427,Blount Street,WI,43.0789,-89.3744,1925,Gas_SC,187,32919000.0,447227.249,26577.625,Gas,-134.33778905307895,15342.3410942632,Gas_Gas,2445449.9369999995,0.0014283691975333537,0.0014130268564390906
405,J Robert Massengale,TX,33.6039,-101.8408,1952,Gas_CC,106,53979000.0,455395.248,27060.001,Gas,-133.7299067401163,8636.9204098312,Gas_Gas,2472509.9379999996,0.001437006117943185,0.0014283691975333537
40,Grayson,CA,34.1556,-118.2782,1953,Gas_CC,353,116596000.0,1676318.122,99537.634,Gas,-132.11208539989926,59743.31575602881,Gas_Gas,2572047.5719999997,0.0014967494336992136,0.001437006117943185
89,J D Kennedy,FL,30.364818,-81.625967,1973,Gas_SC,538,134223000.0,1300445.788,77451.624,Gas,-128.45748519507723,31641.195017354396,Gas_Gas,2649499.1959999995,0.001528390628716568,0.0014967494336992136
400,Trinidad (TX),TX,32.124519,-96.101277,1965,Gas_SC,243,47639000.0,637461.958,37882.898,Gas,-126.25219012844069,21623.6650346792,Gas_Gas,2687382.0939999996,0.0015500142937512472,0.001528390628716568
466,Big Cajun 2,LA,30.7261,-91.3692,1981,Coal,2632,1373749000.0,15225489.627,1075686.12,Gas,-125.06259998189488,606824.3675098873,Coal_Gas,3763068.2139999997,0.0021568386612611347,0.0015500142937512475
16,Saguaro,AZ,32.5517,-111.3,1954,Gas_SC,435,87338000.0,1160786.078,68982.795,Gas,-124.76183791047758,39174.2581137264,Gas_Gas,3832051.0089999996,0.002196012919374861,0.0021568386612611347
261,Carlls Corner,NJ,39.4547,-75.2014,1973,Gas_SC,82,8936000.0,235613.9,14599.0,Gas,-119.19941449616222,11549.1352719808,Gas_Gas,3846650.0089999996,0.0022075620546468423,0.002196012919374861
101,Ponca,OK,36.71979,-97.085758,1977,Gas_SC,48,13725000.0,123333.719,7329.908,Gas,-118.89726266267829,2645.553323180001,Gas_Gas,3853979.9169999994,0.002210207607970022,0.0022075620546468423
140,Earl F Wisdom,IA,43.1606,-95.2569,1960,Gas_SC,118,26047000.0,338633.074,20167.172,Gas,-118.17726907181947,11277.307791101599,Gas_Gas,3874147.088999999,0.0022214849157611237,0.002210207607970022
739,Selkirk Cogen,NY,42.5744,-73.8592,1992,Gas_CC,445,156371000.0,1250217.304,74291.378,Gas,-113.05538105844633,20921.816967648803,Gas_Gas,3948438.4669999992,0.002242406732728773,0.0022214849157611237
712,King City Power Plant,CA,36.225,-121.1278,1989,Gas_CC,132,76789000.0,633703.0889999999,37661.669,Gas,-112.88641132206627,11453.515172799202,Gas_Gas,3986100.1359999995,0.002253860247901572,0.002242406732728773
368,Aberdeen CT,SD,45.429884,-98.49396,1978,Gas_SC,110,30024000.0,326966.2,19346.300000000003,Gas,-112.00503161985719,9099.082162707204,Gas_Gas,4005446.4359999993,0.002262959330064279,0.002253860247901572
