,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red,cum_red,cum_red_prev,ori_rep,cum_emission
339,Anadarko Plant,OK,35.0847,-98.23,1953,Gas_CC,534,563726000.0,5410401.36,175547.163,Wind,-38.55628110124864,175547.163,0.000175547163,0.0,Gas_Wind,175547.163
782,Frontier,OK,35.439722,-97.625,1989,Gas_CC,131,224609000.0,1829087.25,90563.621,Wind,-4.500231184789194,90563.621,0.00026611078399999997,0.000175547163,Gas_Wind,266110.784
250,Sheldon,NE,40.5589,-96.7847,1961,Coal,227,563013000.0,5786358.566,606873.678,Wind,8.266911740045472,606873.678,0.0008729844619999999,0.00026611078399999997,Coal_Wind,872984.4619999999
424,Mt Storm,WV,39.2008,-79.2636,1965,Coal,1680,5067481000.0,50102368.115,5140495.682,Wind,10.071192604801947,5140495.682,0.006013480144,0.0008729844620000003,Coal_Wind,6013480.144
9,Platte,NE,40.854765,-98.348222,1982,Coal,109,409993000.0,4842587.007,507889.874,Wind,10.124189404959544,507889.874,0.006521370018,0.006013480144,Coal_Wind,6521370.018
431,South Oak Creek,WI,42.8457,-87.8294,1959,Coal,1258,3381674000.0,33900439.978,3553613.478,Wind,14.225558171010713,3553613.478,0.010074983495999999,0.006521370017999999,Coal_Wind,10074983.496
10,Whelan Energy Center,NE,40.580872,-98.312437,1981,Coal,324,1163179000.0,11683032.735,1225316.813,Wind,14.659555905954756,1225316.813,0.011300300309,0.010074983495999999,Coal_Wind,11300300.309
252,North Omaha,NE,41.32909,-95.94466,1954,Coal,642,1947607000.0,20227757.291,2105599.714,Wind,15.68361235154653,2105599.714,0.013405900023,0.011300300309,Coal_Wind,13405900.023
506,Harrington,TX,35.29816,-101.747187,1976,Coal,1080,3689626000.0,35342404.537,3685235.861,Wind,15.686180035846176,3685235.861,0.017091135884,0.013405900023,Coal_Wind,17091135.884
121,Michigan City,IN,41.7208,-86.9086,1950,Coal,680,1658109000.0,16260738.308,1705426.85,Wind,15.84721025201445,1705426.85,0.018796562734000002,0.017091135884,Coal_Wind,18796562.734
485,Big Stone,SD,45.303652,-96.510067,1975,Coal,451,1744633000.0,19793030.226,2075891.345,Wind,16.218783777077775,2075891.345,0.020872454079,0.018796562734000002,Coal_Wind,20872454.079
133,Walter Scott Jr Energy Center,IA,41.18,-95.8408,1954,Coal,1777,5450692000.0,52232489.325,5478142.3,Wind,16.5806151351969,5478142.3,0.026350596379000002,0.020872454079,Coal_Wind,26350596.379
492,Flint Creek,AR,36.2561,-94.5241,1978,Coal,558,1992327000.0,20074444.36,2105410.454,Wind,17.64753112097981,2105410.454,0.028456006833,0.026350596379000002,Coal_Wind,28456006.833
471,Jeffrey Energy Center,KS,39.286453,-96.117231,1978,Coal,2160,7742614000.0,77712558.28,8145164.31,Wind,17.986869370337324,8145164.31,0.036601171143,0.028456006833,Coal_Wind,36601171.143
