,fuel_price_per_mmbtu
0,7.85009
71,21.71
131,2.06
185,9.48855
194,10.76406
196,10.76406
134,2.06
198,10.76406
317,2.06
334,6.385845999999999
366,6.07682
376,12.73436
379,12.73436
410,7.6738
418,6.5979125
439,6.91679
446,9.06338
201,10.76406
466,10.76406
548,9.48855
565,6.5331
608,6.07682
612,2.06
628,6.19089
202,10.76406
652,7.10345
677,7.09308
731,6.31533
745,21.71
757,7.051750457589285
777,6.07682
798,6.83383
820,7.52
412,7.6738
824,6.874756933333333
837,6.77161
933,2.06
449,9.06338
955,8.51377
971,7.79824
984,6.5331
1013,9.06338
987,6.5331
1030,7.85009
1089,6.07682
1148,6.874756933333333
1033,7.85009
1035,7.85009
2,7.85009
1158,6.293941875
1180,6.953987745535715
678,7.09308
1204,2.06
839,6.77161
337,6.385845999999999
205,10.76406
1236,2.06
1281,6.77161
206,10.76406
1391,2.06
1282,6.77161
4,7.85009
1160,6.293941875
1406,6.293941875
1422,7.47677
841,6.77161
1440,6.5979125
1037,7.85009
1284,6.77161
1468,7.60121
208,10.76406
1487,8.46192
1490,2.06
1516,2.06
380,12.73436
1547,9.83076
1552,7.47677
383,12.73436
6,7.85009
567,6.5331
8,7.85009
1587,2.06
1443,6.5979125
1614,2.06
1629,2.06
1675,6.86494
1680,2.06
1687,2.06
569,6.5331
1697,8.59673
842,6.77161
450,9.06338
631,6.19089
1710,8.59673
1731,7.79824
1183,6.953987745535715
1750,6.811608571428571
440,6.91679
469,10.76406
1765,2.06
1769,2.06
1286,6.77161
1787,2.06
1039,7.85009
1797,6.60569
1798,6.60569
1621,2.06
321,2.06
1091,6.07682
1826,8.90783
1040,7.85009
551,9.48855
552,9.48855
1835,7.62195
10,7.85009
1844,6.07682
989,6.5331
570,6.5331
1470,7.60121
973,7.79824
1850,7.60121
1151,6.874756933333333
822,7.52
1874,2.06
1892,2.06
1092,6.07682
1289,6.77161
1924,8.46192
13,7.85009
14,7.85009
572,6.5331
1828,8.90783
555,9.48855
16,7.85009
19,7.85009
210,10.76406
213,10.76406
215,10.76406
217,10.76406
1445,6.5979125
1163,6.293941875
369,6.07682
680,7.09308
1712,8.59673
1555,7.47677
1926,8.46192
1941,21.71
1095,6.07682
1966,6.811608571428571
1715,8.59673
219,10.76406
1096,6.07682
557,9.48855
1210,2.06
1425,7.47677
20,7.85009
1968,6.60569
470,10.76406
472,10.76406
22,7.85009
1987,9.9681625
420,6.5979125
1716,8.59673
1929,8.46192
24,7.85009
139,2.06
844,6.77161
1291,6.77161
220,10.76406
1997,6.07682
1677,6.86494
2019,8.90783
991,6.5331
847,6.77161
1293,6.77161
1295,6.77161
2028,7.44566
2053,7.051750457589285
2075,6.385845999999999
2090,9.89946125
975,7.79824
2108,7.62195
1691,2.06
2121,2.06
1408,6.293941875
2160,8.8145
1164,6.293941875
2167,2.06
758,7.051750457589285
2181,21.71
956,8.51377
223,10.76406
2031,7.44566
2184,8.51377
617,2.06
1427,7.47677
1971,6.60569
385,12.73436
826,6.874756933333333
143,2.06
1853,7.60121
1695,2.06
936,2.06
2032,7.44566
1396,2.06
2193,2.06
1297,6.77161
1298,6.77161
2253,2.06
2263,2.06
1185,6.953987745535715
2111,7.62195
475,10.76406
2125,2.06
2297,2.06
760,7.051750457589285
2315,6.19089
225,10.76406
2333,21.71
633,6.19089
2131,2.06
1212,2.06
452,9.06338
1633,2.06
1836,7.62195
2342,7.09308
2169,2.06
1300,6.77161
476,10.76406
1303,6.77161
423,6.5979125
2021,8.90783
938,2.06
2301,2.06
226,10.76406
683,7.09308
26,7.85009
1590,2.06
2355,2.06
1410,6.293941875
1596,2.06
2369,4.40725
1429,7.47677
1877,2.06
2374,6.91679
2392,8.86635
1098,6.07682
228,10.76406
1634,2.06
1243,2.06
654,7.10345
1153,6.874756933333333
849,6.77161
1042,7.85009
1800,6.60569
1855,7.60121
2403,21.71
387,12.73436
2370,4.40725
2407,2.06
635,6.19089
2451,21.71
656,7.10345
658,7.10345
1999,6.07682
851,6.77161
2462,7.6738
1948,21.71
1305,6.77161
1599,2.06
230,10.76406
2465,6.424215
661,7.10345
478,10.76406
455,9.06338
1015,9.06338
959,8.51377
2485,21.71
325,2.06
389,12.73436
2510,6.953987745535715
1624,2.06
480,10.76406
1473,7.60121
339,6.385845999999999
1973,6.60569
2412,2.06
233,10.76406
2001,6.07682
371,6.07682
1245,2.06
1044,7.85009
1753,6.811608571428571
1557,7.47677
2517,6.83383
733,6.31533
2034,7.44566
1641,2.06
73,21.71
1046,7.85009
1307,6.77161
2134,2.06
1518,2.06
853,6.77161
992,6.5331
2528,7.9563825
2269,2.06
1048,7.85009
340,6.385845999999999
146,2.06
2077,6.385845999999999
235,10.76406
483,10.76406
237,10.76406
685,7.09308
1857,7.60121
485,10.76406
637,6.19089
1718,8.59673
2273,2.06
1642,2.06
1559,7.47677
687,7.09308
2537,6.31533
1186,6.953987745535715
29,7.85009
2037,7.44566
2093,9.89946125
2542,7.9563825
688,7.09308
1308,6.77161
1051,7.85009
1523,2.06
2550,2.06
238,10.76406
2560,12.73436
2022,8.90783
1188,6.953987745535715
1549,9.83076
855,6.77161
1954,21.71
2563,12.73436
735,6.31533
856,6.77161
151,2.06
575,6.5331
1699,8.59673
576,6.5331
2196,2.06
240,10.76406
2095,9.89946125
2571,2.06
2573,2.06
2600,2.06
391,12.73436
1430,7.47677
1311,6.77161
2187,8.51377
2039,7.44566
1101,6.07682
977,7.79824
30,7.85009
2139,2.06
1733,7.79824
2553,2.06
2317,6.19089
1735,7.79824
2096,9.89946125
2621,9.89946125
690,7.09308
1312,6.77161
1975,6.60569
487,10.76406
859,6.77161
978,7.79824
763,7.051750457589285
2622,6.424215
1497,2.06
765,7.051750457589285
2631,8.86635
1803,6.60569
1880,2.06
994,6.5331
2040,7.44566
2545,7.9563825
489,10.76406
1216,2.06
2274,2.06
1897,2.06
1903,2.06
801,6.83383
1413,6.293941875
2637,2.06
2667,21.71
1649,2.06
155,2.06
693,7.09308
1560,7.47677
242,10.76406
490,10.76406
1847,6.07682
245,10.76406
2372,4.40725
1053,7.85009
1055,7.85009
493,10.76406
2098,9.89946125
695,7.09308
247,10.76406
2043,7.44566
