,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions
527,Stock Island,FL,24.563333,-81.7342,1965,Oil,129,2103000.0,16961.092999999997,1376.082
402,Silas Ray,TX,25.9131,-97.5214,1952,Gas_CC,168,116528000.0,1470921.537,87410.28
77,Lauderdale,FL,26.0686,-80.1984,1957,Gas_SC,3003,411469000.0,3872543.989,230719.654
78,Port Everglades,FL,26.0856,-80.1253,1960,Gas_CC,3060,6500494000.0,40796329.79,2425341.361
914,Magic Valley Generating Station,TX,26.3403,-98.19,2002,Gas_CC,801,3521852000.0,23012859.884,1367622.259
91,Tom G Smith,FL,26.612767,-80.0677,1961,Gas_SC,143,142000.0,966.052,57.174
76,Fort Myers,FL,26.6967,-81.7831,1958,Gas_CC,3298,9991866000.0,67975741.038,4041413.56
1218,West County Energy Center,FL,26.6986,-80.3747,2009,Gas_CC,4263,20305240000.0,130326163.705,7745813.823
79,Riviera,FL,26.7653,-80.0525,1962,Gas_CC,1915,6701391000.0,41590560.008,2474489.893
463,Martin,FL,27.0536,-80.5628,1980,Gas_CC,6069,11444544000.0,78574021.87,4670052.302
1217,Treasure Coast Energy Center,FL,27.383889,-80.3775,2008,Gas_CC,410,1939531000.0,13851910.346,823197.605
1063,Vandolah Power Station,FL,27.523607,-81.923951,2002,Gas_SC,728,586287000.0,5852124.626,348686.199
377,Laredo,TX,27.5667,-99.5089,1951,Gas_SC,448,78048000.0,700677.91,41638.487
462,Manatee,FL,27.6058,-82.3456,1976,Gas_SC,2949,9844684000.0,74676196.824,4450233.3780000005
447,Barney M Davis,TX,27.6064,-97.3117,1974,Gas_CC,1081,1335596000.0,10299947.489,612109.759
1325,Okeechobee Clean Energy Center,FL,27.634167,-80.791111,2019,Gas_CC,1721,9720678000.0,57924032.765,3442747.613
804,Hardee Power Station,FL,27.6364,-81.9636,1993,Gas_CC,466,12159000.0,157271.376,9346.594
579,Midulla Generating Station,FL,27.641667,-81.9625,2002,Gas_CC,1408,2970151000.0,31501150.87,1872084.595
561,Polk,FL,27.7286,-81.9897,1996,Gas_CC,3346,6723242000.0,46535344.085,2765306.193
592,Tiger Bay,FL,27.746369,-81.849446,1997,Gas_CC,277,517793000.0,5725426.534,340251.62
567,Hines Energy Complex,FL,27.788215,-81.869983,1999,Gas_CC,3296,7497927000.0,82539135.494,4905994.901000001
86,Big Bend,FL,27.7944,-82.4036,1969,Coal,2076,3335206000.0,40258076.805,2852606.378
959,Corpus Christi Energy Center,TX,27.8139,-97.4283,2002,Gas_CC,591,2744112000.0,21227036.807,1261492.905
378,Nueces Bay,TX,27.819412,-97.419203,1949,Gas_CC,941,1252086000.0,9111852.548,541505.7170000001
841,Mulberry Cogeneration Facility,FL,27.8489,-81.8775,1994,Gas_CC,125,473102000.0,3516748.231,208992.09
83,P L Bartow,FL,27.859535,-82.601759,1958,Gas_CC,1966,7013834000.0,51241127.322,3045188.213
839,Orange Cogeneration Facility,FL,27.87082,-81.825061,1995,Gas_CC,136,468223000.0,3417799.753,203113.618
895,Gregory Power Plant,TX,27.88929,-97.258417,2000,Gas_CC,432,645490000.0,4464191.792,265300.42000000004
631,H L Culbreath Bayside Power Station,FL,27.9072,-82.4231,1965,Gas_CC,2785,5013603000.0,53789560.455,3196640.9220000003
1061,Osprey Energy Center Power Plant,FL,28.0525,-81.8083,2004,Gas_CC,644,2446131000.0,17320023.553,1029307.08
92,Larsen Memorial,FL,28.0797,-81.9228,1956,Gas_CC,158,103643000.0,1452965.512,86352.363
93,C D McIntosh Jr,FL,28.0801,-81.9229,1970,Gas_CC,1409,2031202000.0,21820771.667,1583518.393
679,Anclote,FL,28.184444,-82.788611,1974,Gas_SC,1112,2373107000.0,25707131.313,1527741.288
680,Intercession City,FL,28.262778,-81.548611,1974,Gas_SC,1190,338375000.0,4261053.072,255443.943
560,Cane Island,FL,28.2764,-81.533,1994,Gas_CC,705,4016957000.0,28456574.801,1691151.239
1009,Oleander Power Project LP,FL,28.3661,-80.7947,2002,Gas_SC,990,105597000.0,1100562.498,65406.168000000005
1062,Shady Hills Generating Station,FL,28.3665,-82.558611,2002,Gas_SC,1058,223631000.0,2197261.534,130693.851
842,Orlando Cogen LP,FL,28.442623,-81.412343,1993,Gas_CC,122,971585000.0,7335540.345,435944.713
75,Cape Canaveral,FL,28.4698,-80.7644,1965,Gas_CC,2099,6512104000.0,41643131.499,2477298.379
62,Stanton Energy Center,FL,28.4822,-81.1678,1987,Coal,1260,5925807000.0,54802139.683,4917903.897
1151,Curtis H Stanton Energy Center,FL,28.488246,-81.166944,2003,Gas_CC,1016,1944268000.0,15784197.49,938035.342
94,Indian River Plant,FL,28.493232,-80.780124,1989,Gas_SC,342,23594000.0,330808.612,19692.638
1329,Port Comfort Power LLC,TX,28.64807,-96.54621,2017,Gas_SC,120,50094000.0,444437.984,26412.332
1341,Victoria Port Power LLC,TX,28.695805,-96.945409,2019,Gas_SC,100,89423000.0,759650.819,45147.231
504,San Miguel,TX,28.7044,-98.4775,1982,Coal,410,2610918000.0,29608943.004,3223528.661
500,Coleto Creek,TX,28.7128,-97.214167,1980,Coal,622,2705523000.0,28661161.895,3005980.887
1340,Victoria City Power LLC,TX,28.7853,-97.0093,2020,Gas_SC,100,100374000.0,841447.719,50007.763
379,Victoria,TX,28.7883,-97.01,1955,Gas_CC,712,966155000.0,7497727.98,445582.317
80,Sanford,FL,28.8419,-81.3256,1959,Gas_CC,2532,9918293000.0,67973650.826,4039583.507
410,Sam Rayburn,TX,28.8947,-97.135,1963,Gas_CC,238,89517000.0,972792.196,59365.893
464,DeBary,FL,28.903863,-81.332329,1975,Oil,808,151523000.0,1880178.913,113573.26
82,Crystal River,FL,28.9656,-82.6977,1966,Coal,5299,15609828000.0,116870276.679,8557198.43
873,Sweeny Cogen Facility,TX,29.0728,-95.745,1997,Gas_SC,572,3243291000.0,55995276.912,3327820.999
408,V H Braunig,TX,29.2567,-98.3825,1966,Gas_SC,1138,4133757000.0,32127964.626,1909358.638
761,Newgulf Cogen,TX,29.2639,-95.8997,1984,Gas_SC,113,11313000.0,132822.986,7893.285
1215,Colorado Bend Energy Center,TX,29.2878,-96.0683,2002,Gas_CC,580,2293136000.0,18406654.52,1093882.665
1321,Colorado Bend II,TX,29.289415,-96.065399,2017,Gas_CC,1228,5779141000.0,37756059.193,2243788.309
407,O W Sommers,TX,29.308056,-98.3242,1972,Gas_SC,892,979976000.0,10762585.211,639604.099
547,J K Spruce,TX,29.309722,-98.3203,1992,Coal,1444,5671932000.0,61814937.049,6342205.970000001
406,Leon Creek,TX,29.3525,-98.5761,1953,Gas_SC,416,135777000.0,1268963.726,75409.791
1079,Green Power 2,TX,29.378097,-94.932773,2003,Gas_CC,861,1322500000.0,48285090.776,2869502.616
815,Texas City Power Plant,TX,29.378697,-94.943829,1987,Gas_CC,450,2498476000.0,18672472.948,1109683.367
1037,Jack Fusco Energy Center,TX,29.4731,-95.6244,2003,Gas_CC,1075,3527252000.0,24895043.695,1479473.957
1300,W.A. Parish Carbon Capture Plant,TX,29.475278,-95.634167,2013,Gas_SC,102,154859000.0,1955909.002,116237.519
388,W A Parish,TX,29.4828,-95.6311,1958,Coal,4005,11731786000.0,116339094.918,11373985.015
1322,Bacliff,TX,29.49233,-94.98483,2018,Gas_SC,426,129998000.0,1566138.4,92408.2
176,Houma,LA,29.5806,-90.7225,1948,Gas_SC,94,28765000.0,339518.653,20176.954
923,Rio Nogales Power Project,TX,29.593056,-97.973215,2002,Gas_CC,940,4406314000.0,29134738.74,1731435.086
713,Bayou Cogen Plant,TX,29.6225,-95.0458,1984,Gas_SC,620,2322614000.0,32623627.833,1890563.488
932,Guadalupe Generating Station,TX,29.6244,-98.1419,2000,Gas_CC,1086,6232194000.0,48079114.507,2857265.997
88,John R Kelly,FL,29.6461,-82.3208,1958,Gas_CC,237,833568000.0,6915963.718,410986.712
1332,Friendswood Energy,TX,29.647267,-95.451516,2018,Gas_SC,121,26054000.0,303172.882,18016.349
1305,LEPA Unit No. 1,LA,29.691111,-91.192778,2016,Gas_CC,74,210844000.0,1635772.625,97208.075
572,San Jacinto Steam Electric Station,TX,29.694838,-95.040622,1995,Gas_SC,176,932261000.0,12785306.369,759890.8809999999
1040,Exelon LaPorte Generating Station,TX,29.7028,-95.0718,2001,Gas_SC,236,94127000.0,1125209.3,66387.1
1077,Deer Park Energy Center,TX,29.713414,-95.134508,2003,Gas_CC,1176,7606662000.0,74957014.012,4454592.061
1017,Channel Energy Center LLC,TX,29.7189,-95.2319,2001,Gas_CC,923,6321357000.0,41304301.868,2454647.917
882,Pasadena Cogeneration,TX,29.72475,-95.176479,1998,Gas_CC,815,4292438000.0,28465346.669,1691662.0699999998
22,Seminole (FL),FL,29.733056,-81.632778,1984,Coal,2278,7093448000.0,68315035.552,7009117.937
385,Cedar Bayou,TX,29.75,-94.9256,1970,Gas_SC,2295,2006819000.0,20382213.632,1211289.521
1253,Cedar Bayou 4,TX,29.751645,-94.92312,2009,Gas_CC,534,1142069000.0,12884676.997,765719.9619999999
