,primary_fuel
1196,6.9
286,24.48
491,2.55
528,6.9
33,6.9
35,6.9
119,2.55
38,6.9
736,2.55
1125,6.9
1175,6.9
962,6.9
963,6.9
368,6.9
940,6.9
961,6.9
23,6.9
1164,6.9
1280,6.9
727,6.9
1135,6.9
370,6.9
215,2.55
922,6.9
570,6.9
1320,6.9
610,6.9
136,6.9
524,24.48
339,6.9
679,6.9
574,6.9
876,6.9
559,6.9
1205,6.9
1285,6.9
525,2.55
25,6.9
1098,6.9
955,6.9
764,6.9
1005,6.9
1033,6.9
279,6.9
95,6.9
302,6.9
988,6.9
695,6.9
1057,6.9
968,6.9
981,6.9
1003,6.9
319,2.55
1322,6.9
1018,6.9
734,6.9
111,2.55
447,6.9
1226,6.9
0,2.55
937,6.9
850,6.9
886,6.9
224,6.9
1262,6.9
713,6.9
1067,6.9
1130,6.9
1024,6.9
1254,6.9
733,6.9
666,6.9
678,2.55
459,2.55
714,6.9
1138,6.9
264,6.9
879,6.9
294,6.9
1127,6.9
765,6.9
86,2.55
177,6.9
466,2.55
154,2.55
1007,6.9
485,2.55
837,2.55
1339,6.9
212,6.9
887,6.9
1230,6.9
427,6.9
674,6.9
1117,6.9
238,6.9
934,6.9
1171,6.9
1013,6.9
487,2.55
607,2.55
939,6.9
97,2.55
297,6.9
995,6.9
606,6.9
505,2.55
73,2.55
624,6.9
865,6.9
639,6.9
880,6.9
64,6.9
936,6.9
869,6.9
894,6.9
352,6.9
341,6.9
1297,6.9
737,6.9
1140,6.9
309,6.9
763,6.9
371,2.55
135,2.55
93,6.9
822,6.9
245,6.9
729,6.9
731,6.9
1333,6.9
1256,6.9
1181,6.9
1259,6.9
1200,6.9
1095,6.9
1097,6.9
1094,6.9
1088,6.9
935,6.9
952,6.9
1059,6.9
1014,6.9
219,6.9
743,6.9
243,6.9
190,24.48
560,6.9
157,6.9
1204,6.9
1265,6.9
75,6.9
780,6.9
316,2.55
261,6.9
809,6.9
1315,6.9
708,6.9
585,6.9
730,6.9
1306,6.9
1056,6.9
467,6.9
1169,6.9
710,6.9
122,2.55
385,6.9
1253,6.9
1227,6.9
1070,6.9
1002,6.9
183,6.9
1119,6.9
1330,6.9
1017,6.9
947,6.9
149,6.9
1299,6.9
644,6.9
1122,6.9
48,6.9
881,6.9
416,2.55
694,2.55
221,6.9
1281,6.9
1133,6.9
13,2.55
599,6.9
67,24.48
1023,6.9
1105,6.9
141,6.9
254,6.9
210,2.55
1295,6.9
1328,6.9
196,6.9
1267,6.9
115,2.55
414,6.9
558,2.55
458,2.55
150,6.9
5,2.55
500,2.55
1215,6.9
1321,6.9
475,2.55
673,2.55
1071,6.9
1047,6.9
1233,6.9
705,2.55
49,2.55
684,6.9
1109,6.9
581,6.9
1045,24.48
554,6.9
345,2.55
321,2.55
1260,6.9
166,2.55
556,6.9
948,6.9
499,2.55
959,6.9
1168,6.9
1038,6.9
169,6.9
1309,6.9
691,2.55
457,2.55
1112,6.9
993,6.9
1272,6.9
84,2.55
21,2.55
1051,6.9
82,2.55
1240,6.9
449,6.9
372,2.55
277,6.9
1184,6.9
1151,6.9
1096,6.9
540,2.55
113,2.55
197,6.9
311,6.9
512,6.9
278,6.9
990,6.9
557,6.9
359,24.48
812,6.9
1257,6.9
441,2.55
875,6.9
464,24.48
1137,6.9
897,6.9
1010,6.9
401,6.9
1242,6.9
751,24.48
1077,6.9
87,2.55
1293,6.9
1030,6.9
199,6.9
1027,6.9
18,6.9
919,6.9
892,6.9
56,24.48
184,2.55
874,6.9
943,6.9
6,2.55
1176,6.9
811,6.9
989,6.9
1036,6.9
1241,2.55
31,6.9
633,6.9
4,6.9
102,2.55
287,6.9
155,6.9
783,6.9
117,6.9
140,6.9
542,6.9
455,2.55
288,24.48
280,6.9
941,6.9
728,2.55
206,2.55
1304,6.9
355,6.9
69,6.9
433,2.55
1143,6.9
998,6.9
123,2.55
1058,6.9
1264,6.9
42,6.9
34,6.9
1068,6.9
814,6.9
1053,6.9
627,6.9
220,6.9
1182,2.55
160,2.55
798,6.9
954,6.9
676,6.9
511,6.9
1207,6.9
1231,6.9
629,6.9
699,6.9
983,6.9
971,6.9
1178,6.9
207,2.55
11,2.55
1104,6.9
192,6.9
615,6.9
597,6.9
651,6.9
1040,6.9
188,24.48
1317,6.9
1173,6.9
786,6.9
126,2.55
1016,6.9
1191,6.9
1099,6.9
501,2.55
1155,6.9
844,6.9
421,2.55
422,2.55
492,2.55
1021,6.9
548,6.9
1083,6.9
255,6.9
142,6.9
76,6.9
488,6.9
832,6.9
717,2.55
1073,6.9
272,2.55
1177,6.9
1093,6.9
1150,6.9
74,6.9
620,6.9
974,6.9
1132,6.9
707,6.9
1332,6.9
1006,6.9
782,6.9
611,6.9
308,2.55
26,6.9
411,6.9
996,6.9
373,2.55
1043,6.9
153,6.9
1275,6.9
1228,6.9
689,2.55
440,2.55
134,2.55
575,2.55
600,6.9
682,6.9
476,2.55
516,24.48
156,2.55
489,2.55
956,6.9
263,6.9
1149,6.9
700,6.9
992,6.9
47,6.9
242,6.9
289,6.9
628,6.9
856,6.9
1085,6.9
1087,6.9
1114,6.9
145,6.9
866,6.9
395,6.9
103,6.9
938,6.9
1224,6.9
544,6.9
860,6.9
665,6.9
40,6.9
143,6.9
660,6.9
928,6.9
1079,6.9
3,6.9
293,6.9
1251,6.9
718,6.9
1319,6.9
975,6.9
460,6.9
895,6.9
915,6.9
1202,6.9
932,6.9
594,6.9
631,6.9
461,2.55
19,6.9
361,6.9
1301,6.9
1302,6.9
605,6.9
1209,6.9
200,6.9
396,6.9
980,6.9
1129,6.9
1139,6.9
43,6.9
804,6.9
1239,6.9
1142,2.55
116,6.9
1208,6.9
641,6.9
506,2.55
1123,6.9
