,Plant Name,Planned Retirement Year,name,state,lat,lon,commissioning_year,primary_fuel,capacity,generation,fuel_consumption,emissions,rep_fuel,metric,em_red
0,,,Barry,AL,31.0069,-88.0103,1954,Coal,2839,11673453000.0,91895874.8,6846726.2,Gas,-4.790255804054783,2863344.873302883
3,,,Greene County,AL,32.6017,-87.7811,1965,Gas_SC,1288,1153839000.0,11641749.925,696954.552,Gas,-154.70478198107548,303225.2307259198
4,,,E C Gaston,AL,33.244211,-86.458056,1960,Gas_SC,2033,4159470000.0,44005747.7,3832358.702,Gas,-49.36427036648057,2413005.3087103833
5,,,Colbert,AL,34.7439,-87.8486,1955,Coal,1822,3731000.0,53425.0,3304.1,Wind,-82473.19064664328,3304.1
8,,,Lowman Energy Center,AL,31.488019,-87.910747,1969,Coal,538,394730000.0,4043808.636,414894.287,Wind,-109.9850619205565,414894.287
9,,,Platte,NE,40.854765,-98.348222,1982,Coal,109,409993000.0,4842587.007,507889.874,Gas,-78.31107890275135,367986.2430626474
10,,,Whelan Energy Center,NE,40.580872,-98.312437,1981,Coal,324,1163179000.0,11683032.735,1225316.813,Gas,-62.27125954395248,828400.3643531236
12,,,Holcomb,KS,37.9308,-100.9725,1983,Coal,348,1590954000.0,15249576.28,1599375.823,Gas,-24.415886035550542,1056487.916976471
13,,,Cholla,AZ,34.9394,-110.3033,1962,Coal,1127,3529723000.0,40707844.837,4176620.563,Gas,-66.32273510587835,2972158.3797356887
14,,,Ocotillo,AZ,33.4225,-111.9122,1960,Gas_SC,1137,778366000.0,6998883.022,415931.12,Gas,-287.56235896018256,150326.02528330148
15,,,West Phoenix,AZ,33.4417,-112.1583,1948,Gas_CC,1324,2726067000.0,20384204.648,1211403.972,Gas,-86.05298957379607,281176.69622091134
16,,,Saguaro,AZ,32.5517,-111.3,1954,Gas_SC,435,87338000.0,1160786.078,68982.795,Solar,-765.420523738746,68982.795
17,,,Yucca,AZ,32.7214,-114.7106,1959,Gas_SC,421,425651000.0,4890130.695,290612.052,Gas,-216.94232029318044,145365.37605159343
19,,,H Wilson Sundt Generating Station,AZ,32.16,-110.9047,1958,Gas_SC,736,1016524000.0,10599106.418,629887.725,Gas,-190.81559629152088,283014.9770873249
23,,,Agua Fria,AZ,33.5561,-112.2153,1957,Gas_SC,611,346970000.0,3546740.864,210779.456,Gas,-299.0889518774284,92381.42767675247
24,,,Kyrene,AZ,33.3556,-111.9353,1952,Gas_CC,572,1697711000.0,11461683.53,681150.912,Gas,75.84502289747142,101833.86711805384
25,,,Apache Station,AZ,32.0603,-109.8931,1963,Gas_SC,658,2354923000.0,24173837.737,1683841.084,Gas,-103.22229031690692,880260.8319520793
26,,,GREC,OK,36.190278,-95.2894,1981,Gas_CC,1734,2615424000.0,17736827.73,1099988.09,Wind,-94.77042926940389,1099988.09
27,,,Lake Catherine,AR,34.4341,-92.9049,1950,Gas_SC,751,499406000.0,5247637.251,311859.148,Wind,-225.4450424821472,311859.148
28,,,Thomas Fitzhugh,AR,35.462382,-93.804926,1963,Gas_CC,185,434792000.0,3751482.31,223336.403,Gas,-87.99433670655881,74970.50528342093
31,,,Dynegy Moss Landing Power Plant Hybrid,CA,36.804837,-121.782241,1967,Gas_SC,2802,5487443000.0,38567163.41,2185318.142,Gas,-10.610475589998227,312814.9522827149
33,,,AES Alamitos LLC,CA,33.7688,-118.1009,1956,Gas_SC,2055,1785596000.0,15163913.192,901172.842,Gas,-187.17451892303842,291866.4299704946
34,,,El Segundo Power,CA,33.909804,-118.424172,1955,Gas_SC,996,440008000.0,3540209.776,210389.773,Solar,-459.03182165484867,210389.773
35,,,AES Huntington Beach LLC,CA,33.6439,-117.9792,1958,Gas_SC,1021,1322790000.0,9458494.236,562099.998,Gas,-110.26087547424429,110718.81840029801
36,,,Long Beach Generation LLC,CA,33.7641,-118.2248,1976,Gas_CC,587,37891000.0,573005.9990000001,34052.905,Solar,-2411.0334280808434,34052.905
