,name,PM25RT
0,7-Mile Ridge Wind Project,
1,Agrium Kenai Nitrogen Operations,
2,Agrium Kenai Nitrogen Operations,
3,Agrium Kenai Nitrogen Operations,
4,Agrium Kenai Nitrogen Operations,
5,Agrium Kenai Nitrogen Operations,
6,Agrium Kenai Nitrogen Operations,
7,Agrium Kenai Nitrogen Operations,
8,Agrium Kenai Nitrogen Operations,
9,Agrium Kenai Nitrogen Operations,
10,Agrium Kenai Nitrogen Operations,
11,Agrium Kenai Nitrogen Operations,
12,Agrium Kenai Nitrogen Operations,
13,Alakanuk,
14,Alakanuk,
15,Alakanuk,
16,Alakanuk,
17,Alakanuk,
18,Allison Creek Hydro,
19,Ambler,0.31
20,Ambler,0.31
21,Ambler,0.31
22,Ambler,0.31
23,Anchorage 1,
24,Anchorage 1,
25,Anchorage 1,
26,Anchorage 1,0.001
27,Anchorage 1,0.001
28,Anchorage 1,
29,Anchorage 1,
30,Anchorage 1,0.31
31,Angoon,
32,Angoon,0.31
33,Angoon,0.31
34,Angoon,0.31
35,Aniak,0.31
36,Aniak,0.31
37,Aniak,
38,Aniak,
39,Aniak,
40,Aniak,0.31
41,Annex Creek,
42,Annex Creek,
43,Auke Bay,0.018
44,Auke Bay,0.018
45,Auke Bay,0.31
46,Aurora Energy LLC Chena,0.0089
47,Aurora Energy LLC Chena,0.0089
48,Aurora Energy LLC Chena,0.0089
49,Aurora Energy LLC Chena,0.0089
50,Barrow,
51,Barrow,0.001
52,Barrow,0.001
53,Barrow,0.001
54,Barrow,0.001
55,Barrow,0.001
56,Barrow,
57,Battery Energy Storage System,
58,Beaver Falls,
59,Beaver Falls,
60,Beaver Falls,
61,Beluga,0.001
62,Beluga,0.001
63,Beluga,0.001
64,Beluga,0.001
65,Beluga,0.001
66,Beluga,0.001
67,Beluga,
68,Bernice Lake,0.001
69,Bernice Lake,0.001
70,Bernice Lake,0.001
71,Bethel,0.31
72,Bethel,0.31
73,Bethel,0.31
74,Bethel,0.31
75,Bethel,0.31
76,Bethel,0.31
77,Black Bear Lake,
78,Blue Lake Hydro,
79,Blue Lake Hydro,
80,Blue Lake Hydro,
81,Blue Lake Hydro,
82,Blue Lake Hydro,
83,Bradley Lake,
84,Bradley Lake,
85,Brevig Mission,0.31
86,Brevig Mission,0.31
87,Brevig Mission,
88,Brevig Mission,0.31
89,Centennial,0.31
90,Centennial,
91,Chester Lake,
92,Chevak,
93,Chevak,0.31
94,Chevak,
95,Chevak,0.31
96,Chevak,
97,Chevak,0.31
98,Cooper Lake,
99,Cooper Lake,
100,Craig (AK),0.31
101,Craig (AK),
102,Craig (AK),0.31
103,Craig (AK),0.31
104,Craig (AK),0.31
105,Delta Power,0.018
106,Delta Wind Farm,
107,Delta Wind Farm,
108,Delta Wind Farm,
109,Dillingham,0.31
110,Dillingham,0.31
111,Dillingham,0.31
112,Dillingham,0.31
113,Dillingham,0.31
114,Dillingham,0.31
115,Dillingham,0.31
116,Dillingham,0.31
117,Dillingham,0.31
118,Dillingham,
119,Dillingham,
120,Dillingham,
121,Dillingham,
122,Dillingham,
123,Dillingham,
124,Dutch Harbor,
125,Dutch Harbor,0.31
126,Dutch Harbor,0.31
127,Dutch Harbor,0.31
128,Dutch Harbor,0.31
129,Dutch Harbor,0.31
130,Dutch Harbor,
131,Dutch Harbor,
132,Dutch Harbor,
133,Dutch Harbor,
134,Dutch Harbor,
135,Dutch Harbor,0.31
136,Dutch Harbor,0.31
137,Eielson AFB Central Heat & Power Plant,0.0089
138,Eielson AFB Central Heat & Power Plant,0.0089
139,Eielson AFB Central Heat & Power Plant,0.0089
140,Eielson AFB Central Heat & Power Plant,0.0089
141,Eielson AFB Central Heat & Power Plant,
142,Eielson AFB Central Heat & Power Plant,0.0089
143,Eielson AFB Central Heat & Power Plant,0.0089
144,Eielson AFB Central Heat & Power Plant,
145,Eielson AFB Central Heat & Power Plant,
146,Eielson AFB Central Heat & Power Plant,
147,Eielson AFB Central Heat & Power Plant,
148,Eklutna Generation Station,0.0004
149,Eklutna Generation Station,0.0004
150,Eklutna Generation Station,0.0004
151,Eklutna Generation Station,0.0004
152,Eklutna Generation Station,0.0004
153,Eklutna Generation Station,0.0004
154,Eklutna Generation Station,0.0004
155,Eklutna Generation Station,0.0004
156,Eklutna Generation Station,0.0004
157,Eklutna Generation Station,0.0004
158,Eklutna Hydro Project,
159,Eklutna Hydro Project,
160,Elim,0.31
161,Elim,0.31
162,Elim,0.31
163,Elim,
164,Emmonak,
165,Emmonak,0.31
166,Emmonak,
167,Emmonak,0.31
168,Emmonak,
169,Emmonak,
170,Emmonak,0.31
171,Emmonak,0.31
172,ESS Battery Microgrid,
173,Eva Creek Wind,
174,Eyak Service Center BESS,
175,Fairbanks,0.31
176,Fairbanks,0.31
177,Fairbanks,0.018
178,Fairbanks,0.018
179,False Island,0.31
180,False Island,
181,Fire Island Wind,
182,Flywheel Energy Storage System Microgrid,
183,Fort Greely Power Plant,
184,Fort Greely Power Plant,
185,Fort Greely Power Plant,
186,Fort Greely Power Plant,0.31
187,Fort Greely Power Plant,0.31
188,Fort Greely Power Plant,0.31
189,Fort Greely Power Plant,0.31
190,Galena Electric Utility,0.31
191,Galena Electric Utility,
192,Galena Electric Utility,0.31
193,Galena Electric Utility,
194,Galena Electric Utility,0.31
195,Galena Electric Utility,
196,Galena Electric Utility,0.31
197,Galena Electric Utility,
198,Galena Electric Utility,0.31
199,Galena Electric Utility,
200,Galena Electric Utility,
201,Gambell,0.31
202,Gambell,
203,Gambell,0.31
204,Gambell,0.31
205,George M Sullivan Generation Plant 2,0.0062
206,George M Sullivan Generation Plant 2,
207,George M Sullivan Generation Plant 2,0.0062
208,George M Sullivan Generation Plant 2,
209,George M Sullivan Generation Plant 2,0.0062
210,George M Sullivan Generation Plant 2,
211,George M Sullivan Generation Plant 2,
212,George M Sullivan Generation Plant 2,0.001
213,Glennallen,
214,Glennallen,
215,Glennallen,
216,Glennallen,
217,Glennallen,
218,Glennallen,0.31
219,Glennallen,0.31
220,Glennallen,0.31
221,Glennallen,0.31
222,Goat Lake Hydro,
223,Gold Creek,
224,Gold Creek,
225,Gold Creek,
226,Gold Creek,0.31
227,Gold Creek,0.31
228,Gold Creek,0.31
229,Gold Creek,0.31
230,Gold Creek,0.31
231,Green Lake,
232,Green Lake,
233,Gwitchyaa Zhee,
234,Gwitchyaa Zhee,0.31
235,Gwitchyaa Zhee,
236,Gwitchyaa Zhee,
237,Gwitchyaa Zhee,
238,Gwitchyaa Zhee,
239,Gwitchyaa Zhee,
240,Gwitchyaa Zhee,0.31
241,Gwitchyaa Zhee,0.31
242,Gwitchyaa Zhee,0.31
243,Haines,0.31
244,Haines,0.31
245,Haines,
246,Haines,0.31
247,Haines,0.31
248,Haines,
249,Haines,0.31
250,Healy Power Plant,0.0116
251,Healy Power Plant,0.0116
252,Healy Power Plant,
253,Hiilangaay Hydro,
254,Hoonah,
255,Hoonah,0.31
256,Hoonah,
257,Hoonah,0.31
258,Hoonah,0.31
259,Hooper Bay,
260,Hooper Bay,0.31
261,Hooper Bay,
262,Hooper Bay,0.31
263,Hooper Bay,
264,Hooper Bay,0.31
265,Hooper Bay,0.31
266,Humpback Creek,
267,Humpback Creek,
268,Humpback Creek,
269,Hydaburg,0.31
270,Hydaburg,0.31
271,Hydaburg,0.31
272,Industrial Plant,0.018
273,International,0.001
274,International,0.001
275,International,
276,Jarvis Street,
277,Jarvis Street,
278,Jarvis Street,
279,Jarvis Street,
280,Jarvis Street,
281,JBER Landfill Gas Power Plant,0.0147
282,JBER Landfill Gas Power Plant,0.0147
283,JBER Landfill Gas Power Plant,0.0147
284,JBER Landfill Gas Power Plant,0.0147
285,JBER Landfill Gas Power Plant,0.0147
286,Kake,
287,Kake,
288,Kake,0.31
289,Kake,0.31
290,Kake,0.31
291,Kake,
292,Kake,0.31
293,Kake,0.31
294,Kasidaya Creek Hydro,
295,Kasigluk,0.31
296,Kasigluk,0.31
297,Kasigluk,
298,Kasigluk,0.31
299,Ketchikan,
300,Ketchikan,
301,Ketchikan,
302,Kiana,
303,Kiana,0.31
304,Kiana,
305,Kiana,
306,Kiana,0.31
307,Kiana,0.31
308,King Cove,0.31
309,King Cove,0.31
310,King Cove,0.31
311,King Cove,
312,King Cove,0.31
313,Kivalina,0.31
314,Kivalina,0.31
