,Operation_Date_OM,O_M_Cost_2021_kW
0,2001,48.19957943
1,2004,27.48146348
2,2005,35.150395605
3,2006,33.18568635
4,2007,24.094122755
5,2008,28.37124195142857
6,2009,29.913910515555553
7,2010,28.440062660000002
8,2011,28.959975755000002
9,2012,34.019584135
10,2014,36.7221941125
11,2015,31.802351543999997
12,2016,26.882335238000003
13,2017,30.080545153333333
14,2018,22.680626153333332
15,2019,18.735715999
16,2020,21.678975166058823
17,"[2020 2021 2022 2023 2024 2025 2026 2027 2028 2029 2030 2031 2032 2033
 2034 2035 2036 2037 2038 2039]",
